"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Nurkic vs Lopez (Gibson gains possession)","0","-80","0","0","0","10","201577","1610612743","203994","0","0","201959","1610612741"
"3","2","11:41","[CHI] Gibson Jump Shot: Missed","-61","31","2","0","1","2","","1610612741","201959","0","0","","1610612741"
"4","3","11:40","[DEN] Nurkic Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612743","203994","0","0","","1610612741"
"5","5","11:18","[DEN] Faried Hook Shot: Missed","-47","47","2","0","3","2","","1610612743","202702","0","0","","1610612743"
"6","6","11:18","[CHI] Rondo Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612741","200765","0","0","","1610612743"
"7","7","11:07","[CHI 2-0] Butler Jump Shot: Made (2 PTS) Assist: Rondo (1 AST)","92","170","2","0","1","1","","1610612741","202710","0","2","200765","1610612741"
"8","8","10:54","[DEN] Barton Jump Shot: Missed","171","105","2","0","1","2","","1610612743","203115","0","2","","1610612743"
"9","9","10:53","[CHI] Butler Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612741","202710","0","2","","1610612743"
"10","10","10:45","[CHI] Rondo Turnover : Bad Pass (1 TO) Steal:Faried (1 ST)","0","-80","1","0","1","5","202702","1610612741","200765","0","2","","1610612741"
"11","11","10:36","[DEN] Gallinari Cutting Layup Shot: Missed","19","0","2","0","98","2","","1610612743","201568","0","2","","1610612743"
"12","13","10:34","[DEN] Faried Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612743","202702","0","2","","1610612743"
"13","12","10:33","[DEN 2-2] Faried Putback Layup Shot: Made (2 PTS)","0","31","2","0","72","1","","1610612743","202702","2","2","","1610612743"
"14","14","10:20","[CHI 4-2] Gibson Turnaround Jump Shot: Made (2 PTS)","-32","56","2","0","47","1","","1610612741","201959","2","4","","1610612741"
"15","15","10:01","[DEN] Barton Jump Shot: Missed","143","61","2","0","1","2","","1610612743","203115","2","4","","1610612743"
"16","16","10:01","[CHI] Rondo Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612741","200765","2","4","","1610612743"
"17","17","09:50","[CHI 6-2] Lopez Jump Shot: Made (2 PTS) Assist: Butler (1 AST)","30","164","2","0","1","1","","1610612741","201577","2","6","202710","1610612741"
"18","18","09:35","[DEN] Barton Jump Shot: Missed Block: Lopez (1 BLK)","32","11","2","0","1","2","201577","1610612743","203115","2","6","","1610612743"
"19","19","09:34","[DEN] Barton Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612743","203115","2","6","","1610612743"
"20","20","09:31","[DEN] Barton Turnover : Bad Pass (1 TO) Steal:Lopez (1 ST)","0","-80","1","0","1","5","201577","1610612743","203115","2","6","","1610612743"
"21","21","09:16","[CHI] Wade Turnaround Fadeaway shot: Missed","-60","56","2","0","86","2","","1610612741","2548","2","6","","1610612741"
"22","22","09:15","[DEN] Faried Rebound (Off:1 Def:1)","0","-80","0","0","0","4","","1610612743","202702","2","6","","1610612741"
"23","23","09:09","[DEN] Barton Running Jump Shot: Missed Block: Butler (1 BLK)","28","13","2","1","46","2","202710","1610612743","203115","2","6","","1610612743"
"24","24","09:07","[CHI] Rondo Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612741","200765","2","6","","1610612743"
"25","25","09:01","[CHI 9-2] Butler 3pt Shot: Made (5 PTS) Assist: Rondo (2 AST)","-161","193","3","1","79","1","","1610612741","202710","2","9","200765","1610612741"
"26","26","09:01","[DEN] Team Timeout : Regular","0","-80","0","0","1","9","","1610612743","0","2","9","","1610612743"
"27","30","08:45","[CHI] Wade Foul: Personal (1 PF) (B Nansel)","-40","16","0","0","1","6","202702","1610612741","2548","2","9","","1610612743"
"28","31","08:36","[DEN 5-9] Mudiay 3pt Shot: Made (3 PTS) Assist: Nurkic (1 AST)","-181","169","3","0","1","1","","1610612743","1626144","5","9","203994","1610612743"
"29","32","08:24","[CHI] Wade Driving Layup Shot: Missed Block: Nurkic (1 BLK)","-22","16","2","0","42","2","203994","1610612741","2548","5","9","","1610612741"
"30","33","08:23","[DEN] Team Rebound","0","-80","0","0","0","4","","1610612743","0","5","9","","1610612741"
"31","35","08:08","[DEN] Barton 3pt Shot: Missed","217","134","3","0","1","2","","1610612743","203115","5","9","","1610612743"
"32","36","08:07","[CHI] Butler Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612741","202710","5","9","","1610612743"
"33","38","07:51","[CHI 11-5] Butler Jump Shot: Made (7 PTS)","69","120","2","0","1","1","","1610612741","202710","5","11","","1610612741"
"34","39","07:38","[DEN 7-11] Gallinari Floating Jump shot: Made (2 PTS)","68","41","2","0","78","1","","1610612743","201568","7","11","","1610612743"
"35","40","07:21","[CHI 14-7] Rondo 3pt Shot: Made (3 PTS) Assist: Gibson (1 AST)","-227","7","3","0","1","1","","1610612741","200765","7","14","201959","1610612741"
"36","41","07:04","[DEN 9-14] Gallinari Driving Dunk Shot: Made (4 PTS) Assist: Faried (1 AST)","0","1","2","0","49","1","","1610612743","201568","9","14","202702","1610612743"
"37","42","06:48","[CHI] Lopez Hook Shot: Missed","4","46","2","0","3","2","","1610612741","201577","9","14","","1610612741"
"38","43","06:48","[DEN] Faried Rebound (Off:1 Def:2)","0","-80","0","0","0","4","","1610612743","202702","9","14","","1610612741"
"39","44","06:41","[CHI] Gibson Foul: Shooting (1 PF) (2 FTA) (B Barnaky)","-14","11","0","0","2","6","202702","1610612741","201959","9","14","","1610612743"
"40","45","06:41","[DEN 10-14] Faried Free Throw 1 of 2 (3 PTS)","0","-80","1","0","11","3","","1610612743","202702","10","14","","1610612743"
"41","47","06:41","[DEN] Faried Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612743","202702","10","14","","1610612743"
"42","49","06:39","[DEN] Team Rebound","0","-80","0","0","0","4","","1610612743","0","10","14","","1610612743"
"43","64","06:24","[DEN] Nurkic Turnaround Jump Shot: Missed","-59","0","2","0","47","2","","1610612743","203994","10","14","","1610612743"
"44","51","06:24","[CHI] Gibson Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612741","201959","10","14","","1610612743"
"45","52","06:18","[CHI] Rondo Jump Shot: Missed Block: Nurkic (2 BLK)","20","28","2","0","1","2","203994","1610612741","200765","10","14","","1610612741"
"46","53","06:18","[CHI] Team Rebound","0","-80","0","0","0","4","","1610612741","0","10","14","","1610612741"
"47","55","06:01","[CHI 17-10] Wade 3pt Shot: Made (3 PTS) Assist: Lopez (1 AST)","-232","-15","3","0","1","1","","1610612741","2548","10","17","201577","1610612741"
"48","56","05:39","[DEN] Mudiay Turnover : Bad Pass (1 TO) Steal:Wade (1 ST)","0","-80","1","0","1","5","2548","1610612743","1626144","10","17","","1610612743"
"49","57","05:34","[CHI 19-10] Wade Running Dunk Shot: Made (5 PTS)","0","1","2","1","50","1","","1610612741","2548","10","19","","1610612741"
"50","58","05:10","[DEN 12-19] Gallinari Driving Layup Shot: Made (6 PTS)","19","16","2","0","42","1","","1610612743","201568","12","19","","1610612743"
"51","59","04:47","[CHI 21-12] Rondo Driving Reverse Layup Shot: Made (5 PTS)","-14","3","2","0","73","1","","1610612741","200765","12","21","","1610612741"
"52","60","04:31","[DEN] Mudiay 3pt Shot: Missed","-191","165","3","0","1","2","","1610612743","1626144","12","21","","1610612743"
"53","61","04:30","[CHI] Butler Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612741","202710","12","21","","1610612743"
"54","62","04:13","[CHI 23-12] Gibson Turnaround Jump Shot: Made (4 PTS) Assist: Rondo (3 AST)","-115","26","2","0","47","1","","1610612741","201959","12","23","200765","1610612741"
