"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Howard vs Davis (Millsap gains possession)","0","-80","0","0","0","10","203076","1610612737","2730","0","0","200794","1610612737"
"3","2","11:42","[ATL] Bazemore 3pt Shot: Missed","227","-1","3","0","1","2","","1610612737","203145","0","0","","1610612737"
"4","3","11:41","[NOP] Frazier Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612740","204025","0","0","","1610612737"
"5","4","11:19","[NOP] Davis Turnaround Jump Shot: Missed","-176","7","2","0","47","2","","1610612740","203076","0","0","","1610612740"
"6","5","11:17","[ATL] Schroder Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612737","203471","0","0","","1610612740"
"7","6","11:09","[ATL 3-0] Korver 3pt Shot: Made (3 PTS) Assist: Schroder (1 AST)","51","237","3","0","79","1","","1610612737","2594","3","0","203471","1610612737"
"8","7","10:59","[NOP 3-3] Moore 3pt Shot: Made (3 PTS) Assist: Frazier (1 AST)","66","232","3","0","1","1","","1610612740","202734","3","3","204025","1610612740"
"9","8","10:44","[ATL 5-3] Howard Alley Oop Dunk Shot: Made (2 PTS) Assist: Schroder (2 AST)","0","1","2","0","52","1","","1610612737","2730","5","3","203471","1610612737"
"10","9","10:33","[NOP 5-5] Frazier Turnaround Jump Shot: Made (2 PTS)","171","120","2","0","47","1","","1610612740","204025","5","5","","1610612740"
"11","10","10:24","[ATL] Howard Foul: Offensive (1 PF) (J Williams)","27","26","0","0","4","6","201600","1610612737","2730","5","5","","1610612737"
"12","11","10:24","[ATL] Howard Turnover : Foul (1 TO)","0","-80","0","0","5","5","","1610612737","2730","5","5","","1610612737"
"13","12","10:06","[NOP 8-5] Frazier 3pt Shot: Made (5 PTS)","-11","242","3","0","79","1","","1610612740","204025","5","8","","1610612740"
"14","13","09:48","[ATL] Millsap Step Back Jump shot: Missed","-155","-5","2","0","80","2","","1610612737","200794","5","8","","1610612737"
"15","14","09:47","[ATL] Team Rebound","0","-80","0","0","0","4","","1610612737","0","5","8","","1610612737"
"16","15","09:45","[ATL 7-8] Schroder Jump Shot: Made (2 PTS) Assist: Korver (1 AST)","-138","0","2","0","1","1","","1610612737","203471","7","8","2594","1610612737"
"17","17","09:30","[NOP] Frazier Driving Floating Bank Jump Shot: Missed","127","51","2","0","102","2","","1610612740","204025","7","8","","1610612740"
"18","18","09:29","[ATL] Millsap Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612737","200794","7","8","","1610612740"
"19","19","09:15","[ATL] Millsap Pullup Jump shot: Missed Block: Cunningham (1 BLK)","107","95","2","0","79","2","201967","1610612737","200794","7","8","","1610612737"
"20","20","09:12","[ATL] Millsap Rebound (Off:1 Def:1)","0","-80","1","0","0","4","","1610612737","200794","7","8","","1610612737"
"21","21","09:09","[ATL] Bazemore Jump Shot: Missed","-178","90","2","0","1","2","","1610612737","203145","7","8","","1610612737"
"22","22","09:08","[NOP] Frazier Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612740","204025","7","8","","1610612737"
"23","23","09:02","[NOP] Davis Turnover : Lost Ball (1 TO) Steal:Bazemore (1 ST)","0","-80","1","0","2","5","203145","1610612740","203076","7","8","","1610612740"
"24","24","08:53","[ATL 9-8] Howard Alley Oop Dunk Shot: Made (4 PTS) Assist: Millsap (1 AST)","0","1","2","0","52","1","","1610612737","2730","9","8","200794","1610612737"
"25","25","08:36","[NOP 11-9] Moore 3pt Shot: Made (6 PTS) Assist: Asik (1 AST)","-191","159","3","0","80","1","","1610612740","202734","9","11","201600","1610612740"
"26","26","08:23","[ATL] Howard Turnover : Bad Pass (2 TO) Steal:Davis (1 ST)","0","-80","1","0","1","5","203076","1610612737","2730","9","11","","1610612737"
"27","27","08:17","[NOP 13-9] Moore Running Layup Shot: Made (8 PTS) Assist: Davis (1 AST)","-2","-1","2","1","41","1","","1610612740","202734","9","13","203076","1610612740"
"28","29","07:57","[ATL] Howard Hook Bank Shot: Missed","42","16","2","0","67","2","","1610612737","2730","9","13","","1610612737"
"29","30","07:57","[NOP] Team Rebound","0","-80","0","0","0","4","","1610612740","0","9","13","","1610612737"
"30","31","07:47","[NOP] Cunningham Cutting Layup Shot: Missed Block: Howard (1 BLK)","17","11","2","0","98","2","2730","1610612740","201967","9","13","","1610612740"
"31","32","07:45","[NOP] Cunningham Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612740","201967","9","13","","1610612740"
"32","33","07:36","[NOP] Moore Pullup Jump shot: Missed","-165","8","2","0","79","2","","1610612740","202734","9","13","","1610612740"
"33","34","07:35","[ATL] Millsap Rebound (Off:1 Def:2)","0","-80","0","0","0","4","","1610612737","200794","9","13","","1610612740"
"34","35","07:19","[ATL] Korver 3pt Shot: Missed","-48","262","3","0","79","2","","1610612737","2594","9","13","","1610612737"
"35","36","07:17","[NOP] Cunningham Rebound (Off:1 Def:1)","0","-80","0","0","0","4","","1610612740","201967","9","13","","1610612737"
"36","37","07:14","[ATL] Korver Foul: Personal (1 PF) (J Williams)","9","21","0","0","1","6","203076","1610612737","2594","9","13","","1610612740"
"37","38","07:14","[ATL] Howard Substitution replaced by Muscala","0","-80","0","0","0","8","","1610612737","2730","9","13","203488","1610612740"
"38","39","07:06","[ATL] Bazemore Violation:Kicked Ball","0","-80","0","0","5","7","","1610612737","203145","9","13","","1610612740"
"39","40","07:00","[NOP 15-9] Davis Jump Shot: Made (2 PTS) Assist: Cunningham (1 AST)","-132","149","2","0","1","1","","1610612740","203076","9","15","201967","1610612740"
"40","41","06:43","[ATL] Millsap 3pt Shot: Missed","187","174","3","0","1","2","","1610612737","200794","9","15","","1610612737"
"41","42","06:42","[NOP] Asik Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612740","201600","9","15","","1610612737"
"42","43","06:37","[NOP] Davis Turnover : Bad Pass (2 TO) Steal:Millsap (1 ST)","0","-80","1","0","1","5","200794","1610612740","203076","9","15","","1610612740"
"43","44","06:30","[ATL] Schroder 3pt Shot: Missed","-122","219","3","1","46","2","","1610612737","203471","9","15","","1610612737"
"44","45","06:28","[NOP] Asik Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612740","201600","9","15","","1610612737"
"45","46","06:09","[NOP 17-9] Frazier Pullup Jump shot: Made (7 PTS) Assist: Moore (1 AST)","-132","121","2","0","79","1","","1610612740","204025","9","17","202734","1610612740"
"46","48","06:09","[NOP] Davis Foul: Loose Ball (1 PF) (J Orr)","-1","820","0","0","3","6","203471","1610612740","203076","9","17","","1610612737"
"47","49","06:09","[ATL] Team Timeout : Regular","0","-80","0","0","1","9","","1610612737","0","9","17","","1610612737"
"48","53","06:09","[NOP] Asik Substitution replaced by Jones","0","-80","0","0","0","8","","1610612740","201600","9","17","203093","1610612737"
"49","55","05:55","[ATL] Muscala Driving Layup Shot: Missed Block: Davis (1 BLK)","24","7","2","0","42","2","203076","1610612737","203488","9","17","","1610612737"
"50","56","05:53","[NOP] Cunningham Rebound (Off:1 Def:2)","0","-80","0","0","0","4","","1610612740","201967","9","17","","1610612737"
"51","57","05:49","[NOP 19-9] Jones Running Reverse Layup Shot: Made (2 PTS) Assist: Frazier (2 AST)","-11","3","2","1","74","1","","1610612740","203093","9","19","204025","1610612740"
"52","58","05:36","[ATL] Schroder Driving Reverse Layup Shot: Missed","9","7","2","0","73","2","","1610612737","203471","9","19","","1610612737"
"53","59","05:33","[NOP] Frazier Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612740","204025","9","19","","1610612737"
"54","60","05:29","[NOP] Moore 3pt Shot: Missed","-197","154","3","1","1","2","","1610612740","202734","9","19","","1610612740"
"55","61","05:28","[NOP] Davis Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612740","203076","9","19","","1610612740"
"56","62","05:27","[NOP 21-9] Davis Putback Layup Shot: Made (4 PTS)","1","-1","2","1","72","1","","1610612740","203076","9","21","","1610612740"
"57","63","05:13","[NOP] Cunningham Foul: Personal (1 PF) (J Williams)","69","11","0","0","1","6","203145","1610612740","201967","9","21","","1610612737"
"58","64","05:13","[NOP] Moore Substitution replaced by Holiday","0","-80","0","0","0","8","","1610612740","202734","9","21","201950","1610612737"
"59","65","05:13","[NOP] Cunningham Substitution replaced by S Hill","0","-80","0","0","0","8","","1610612740","201967","9","21","203524","1610612737"
"60","66","05:13","[ATL] Bazemore Substitution replaced by Hardaway Jr.","0","-80","0","0","0","8","","1610612737","203145","9","21","203501","1610612737"
"61","67","05:13","[ATL] Korver Substitution replaced by Sefolosha","0","-80","0","0","0","8","","1610612737","2594","9","21","200757","1610612737"
"62","69","05:10","[ATL] Schroder Jump Shot: Missed","150","11","2","0","1","2","","1610612737","203471","9","21","","1610612737"
"63","70","05:10","[ATL] Muscala Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612737","203488","9","21","","1610612737"
"64","71","05:10","[NOP] Jones Foul: Shooting (1 PF) (2 FTA) (J Orr)","-1","7","0","0","2","6","203488","1610612740","203093","9","21","","1610612737"
"65","72","05:10","[ATL 10-21] Muscala Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612737","203488","10","21","","1610612737"
"66","74","05:10","[ATL] Muscala Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612737","203488","10","21","","1610612737"
"67","76","05:08","[NOP] Davis Rebound (Off:1 Def:1)","0","-80","0","0","0","4","","1610612740","203076","10","21","","1610612737"
"68","78","04:46","[NOP 23-10] Davis Alley Oop Dunk Shot: Made (6 PTS) Assist: Holiday (1 AST)","0","1","2","0","52","1","","1610612740","203076","10","23","201950","1610612740"
"69","79","04:27","[ATL] Muscala 3pt Shot: Missed","-230","11","3","0","1","2","","1610612737","203488","10","23","","1610612737"
"70","80","04:26","[NOP] Frazier Rebound (Off:0 Def:4)","0","-80","0","0","0","4","","1610612740","204025","10","23","","1610612737"
"71","81","04:17","[ATL] Millsap Violation:Kicked Ball","0","-80","0","0","5","7","","1610612737","200794","10","23","","1610612740"
"72","82","04:17","[NOP] Holiday Driving Layup Shot: Missed","9","11","2","0","42","2","","1610612740","201950","10","23","","1610612740"
"73","83","04:16","[ATL] Sefolosha Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612737","200757","10","23","","1610612740"
"74","84","03:55","[ATL] Millsap Turnaround Jump Shot: Missed","56","101","2","0","47","2","","1610612737","200794","10","23","","1610612737"
"75","85","03:52","[NOP] Jones Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612740","203093","10","23","","1610612737"
"76","86","03:32","[NOP 25-10] Jones Pullup Jump shot: Made (4 PTS) Assist: Frazier (3 AST)","27","105","2","0","79","1","","1610612740","203093","10","25","204025","1610612740"
"77","87","03:32","[ATL] Muscala Foul: Shooting (1 PF) (1 FTA) (J Orr)","27","105","0","0","2","6","203093","1610612737","203488","10","25","","1610612740"
"78","88","03:32","[ATL] Schroder Substitution replaced by Delaney","0","-80","0","0","0","8","","1610612737","203471","10","25","1627098","1610612740"
"79","90","03:32","[NOP 26-10] Jones Free Throw 1 of 1 (5 PTS)","0","-80","1","0","10","3","","1610612740","203093","10","26","","1610612740"
"80","93","02:58","[ATL 12-26] Delaney Pullup Jump shot: Made (2 PTS)","-173","23","2","0","79","1","","1610612737","1627098","12","26","","1610612737"
"81","94","02:44","[NOP] Team Timeout : Regular","0","-80","0","0","1","9","","1610612740","0","12","26","","1610612740"
"82","97","02:44","[ATL] Millsap Substitution replaced by Howard","0","-80","0","0","0","8","","1610612737","200794","12","26","2730","1610612740"
"83","98","02:44","[NOP] Davis Substitution replaced by Asik","0","-80","0","0","0","8","","1610612740","203076","12","26","201600","1610612740"
"84","99","02:29","[NOP] Team Turnover : Shot Clock Turnover","0","-80","0","0","11","5","","1610612740","0","12","26","","1610612740"
"85","100","02:29","[NOP] Frazier Substitution replaced by Galloway","0","-80","0","0","0","8","","1610612740","204025","12","26","204038","1610612737"
"86","101","02:16","[ATL 14-26] Delaney Pullup Jump shot: Made (4 PTS)","210","65","2","0","79","1","","1610612737","1627098","14","26","","1610612737"
"87","102","02:08","[ATL] Hardaway Jr. Foul: Personal (1 PF) (J Tiven)","51","229","0","0","1","6","203524","1610612737","203501","14","26","","1610612740"
"88","103","01:57","[NOP] Holiday 3pt Shot: Missed","73","237","3","0","80","2","","1610612740","201950","14","26","","1610612740"
"89","104","01:56","[ATL] Howard Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612737","2730","14","26","","1610612740"
"90","105","01:49","[ATL] Sefolosha 3pt Shot: Missed","-233","28","3","0","1","2","","1610612737","200757","14","26","","1610612737"
"91","106","01:48","[NOP] Galloway Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612740","204038","14","26","","1610612737"
"92","107","01:39","[NOP 29-14] S Hill 3pt Shot: Made (3 PTS) Assist: Holiday (2 AST)","-228","16","3","0","1","1","","1610612740","203524","14","29","201950","1610612740"
