"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Bogut vs Jordan (Matthews gains possession)","0","-80","0","0","0","10","201599","1610612742","101106","0","0","202083","1610612742"
"3","2","11:36","[DAL 2-0] Barnes Pullup Jump shot: Made (2 PTS)","-120","120","2","0","79","1","","1610612742","203084","2","0","","1610612742"
"4","3","11:12","[DAL] Nowitzki Foul: Shooting (1 PF) (2 FTA) (B Forte)","48","28","0","0","2","6","201599","1610612742","1717","2","0","","1610612746"
"5","4","11:12","[LAC 1-2] Jordan Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612746","201599","2","1","","1610612746"
"6","6","11:12","[LAC] Jordan Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612746","201599","2","1","","1610612746"
"7","8","11:12","[DAL] Nowitzki Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612742","1717","2","1","","1610612746"
"8","9","11:02","[DAL 4-1] Barnes Fadeaway Jump Shot: Made (4 PTS)","-17","92","2","0","63","1","","1610612742","203084","4","1","","1610612742"
"9","10","10:58","[LAC] Jordan Foul: Offensive (1 PF) (T Washington)","87","46","0","1","4","6","1717","1610612746","201599","4","1","","1610612746"
"10","11","10:58","[LAC] Jordan Turnover : Foul (1 TO)","0","-80","0","0","5","5","","1610612746","201599","4","1","","1610612746"
"11","12","10:47","[LAC] Redick Foul: Personal (1 PF) (B Forte)","177","61","0","0","1","6","202083","1610612746","200755","4","1","","1610612742"
"12","13","10:36","[DAL 7-1] Nowitzki 3pt Shot: Made (3 PTS) Assist: Curry (1 AST)","71","247","3","0","1","1","","1610612742","1717","7","1","203552","1610612742"
"13","14","10:18","[LAC 3-7] Redick Jump Shot: Made (2 PTS) Assist: Griffin (1 AST)","173","61","2","0","1","1","","1610612746","200755","7","3","201933","1610612746"
"14","15","10:07","[DAL] Matthews Jump Shot: Missed","-173","85","2","0","1","2","","1610612742","202083","7","3","","1610612742"
"15","16","10:06","[DAL] Bogut Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612742","101106","7","3","","1610612742"
"16","17","10:04","[DAL] Bogut Turnover : Lost Ball (1 TO) Steal:Paul (1 ST)","0","-80","1","0","2","5","101108","1610612742","101106","7","3","","1610612742"
"17","18","09:57","[LAC] Griffin Turnover : Bad Pass (1 TO) Steal:Bogut (1 ST)","0","-80","1","0","1","5","101106","1610612746","201933","7","3","","1610612746"
"18","19","09:41","[DAL 9-3] Bogut Hook Shot: Made (2 PTS) Assist: Matthews (1 AST)","-7","36","2","0","3","1","","1610612742","101106","9","3","202083","1610612742"
"19","20","09:23","[LAC] Jordan Hook Shot: Missed","60","16","2","0","3","2","","1610612746","201599","9","3","","1610612746"
"20","21","09:22","[DAL] Bogut Rebound (Off:1 Def:1)","0","-80","0","0","0","4","","1610612742","101106","9","3","","1610612746"
"21","23","09:14","[DAL] Barnes Floating Jump shot: Missed","137","62","2","0","78","2","","1610612742","203084","9","3","","1610612742"
"22","24","09:13","[LAC] Jordan Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612746","201599","9","3","","1610612742"
"23","25","09:01","[LAC] Griffin Jump Shot: Missed","-173","61","2","0","1","2","","1610612746","201933","9","3","","1610612746"
"24","26","09:00","[DAL] Nowitzki Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612742","1717","9","3","","1610612746"
"25","27","08:48","[DAL] Nowitzki 3pt Shot: Missed","-222","111","3","0","1","2","","1610612742","1717","9","3","","1610612742"
"26","28","08:47","[LAC] Jordan Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612746","201599","9","3","","1610612742"
"27","29","08:40","[LAC] Griffin Hook Shot: Missed","-4","13","2","1","3","2","","1610612746","201933","9","3","","1610612746"
"28","30","08:39","[DAL] Nowitzki Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612742","1717","9","3","","1610612746"
"29","32","08:21","[DAL] Nowitzki Jump Shot: Missed","135","139","2","0","1","2","","1610612742","1717","9","3","","1610612742"
"30","33","08:20","[LAC] Jordan Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612746","201599","9","3","","1610612742"
"31","34","08:11","[LAC] Paul Pullup Jump shot: Missed","-58","154","2","0","79","2","","1610612746","101108","9","3","","1610612746"
"32","35","08:10","[DAL] Nowitzki Rebound (Off:0 Def:4)","0","-80","0","0","0","4","","1610612742","1717","9","3","","1610612746"
