"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Capela vs Valanciunas","0","-80","0","0","0","10","202685","1610612745","203991","0","0","","1610612761"
"3","3","11:40","[TOR 2-0] Valanciunas Driving Hook Shot: Made (2 PTS)","60","61","2","0","57","1","","1610612761","202685","0","2","","1610612761"
"4","4","11:24","[HOU] Ariza 3pt Shot: Missed","151","210","3","0","1","2","","1610612745","2772","0","2","","1610612745"
"5","5","11:23","[TOR] Siakam Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612761","1627783","0","2","","1610612745"
"6","6","11:11","[TOR 4-0] Valanciunas Cutting Layup Shot: Made (4 PTS) Assist: DeRozan (1 AST)","-6","21","2","0","98","1","","1610612761","202685","0","4","201942","1610612761"
"7","7","10:46","[HOU 2-4] Beverley Driving Floating Jump Shot: Made (2 PTS) Assist: Ariza (1 AST)","107","21","2","0","101","1","","1610612745","201976","2","4","2772","1610612745"
"8","8","10:29","[TOR] DeRozan Jump Shot: Missed Block: Capela (1 BLK)","10","46","2","0","1","2","203991","1610612761","201942","2","4","","1610612761"
"9","9","10:27","[TOR] Valanciunas Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612761","202685","2","4","","1610612761"
"10","10","10:21","[TOR 6-2] Valanciunas Putback Layup Shot: Made (6 PTS)","9","0","2","0","72","1","","1610612761","202685","2","6","","1610612761"
"11","11","10:17","[HOU] Anderson 3pt Shot: Missed","-151","205","3","1","1","2","","1610612745","201583","2","6","","1610612745"
"12","12","10:16","[TOR] Valanciunas Rebound (Off:1 Def:1)","0","-80","0","0","0","4","","1610612761","202685","2","6","","1610612745"
"13","13","10:07","[TOR] Valanciunas Turnaround Jump Shot: Missed Block: Harden (1 BLK)","4","43","2","0","47","2","201935","1610612761","202685","2","6","","1610612761"
"14","14","10:07","[TOR] Team Rebound","0","-80","0","0","0","4","","1610612761","0","2","6","","1610612761"
"15","15","10:05","[HOU] Beverley Foul: Shooting (1 PF) (2 FTA) (B Spooner)","-61","31","0","0","2","6","201942","1610612745","201976","2","6","","1610612761"
"16","16","10:05","[TOR 7-2] DeRozan Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612761","201942","2","7","","1610612761"
"17","18","10:05","[TOR 8-2] DeRozan Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612761","201942","2","8","","1610612761"
"18","20","09:58","[TOR] Valanciunas Violation:Kicked Ball (M Ayotte)","0","-80","0","0","5","7","","1610612761","202685","2","8","","1610612745"
"19","21","09:46","[HOU 4-8] Anderson Driving Layup Shot: Made (2 PTS) Assist: Harden (1 AST)","-1","11","2","0","42","1","","1610612745","201583","4","8","201935","1610612745"
"20","23","09:35","[TOR] Carroll Turnover : Bad Pass (1 TO)","0","-80","0","0","1","5","","1610612761","201960","4","8","","1610612761"
"21","25","09:20","[HOU 6-8] Capela Turnaround Hook Shot: Made (2 PTS) Assist: Anderson (1 AST)","56","41","2","0","58","1","","1610612745","203991","6","8","201583","1610612745"
"22","26","09:00","[TOR] DeRozan Jump Shot: Missed","-68","183","2","0","1","2","","1610612761","201942","6","8","","1610612761"
"23","27","08:58","[TOR] Carroll Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612761","201960","6","8","","1610612761"
"24","28","08:53","[TOR 10-6] Carroll Jump Shot: Made (2 PTS)","164","141","2","0","1","1","","1610612761","201960","6","10","","1610612761"
"25","29","08:42","[HOU] Beverley Turnover : Bad Pass (1 TO) Steal:Carroll (1 ST)","0","-80","1","0","1","5","201960","1610612745","201976","6","10","","1610612745"
"26","30","08:38","[TOR 12-6] Lowry Running Layup Shot: Made (2 PTS) Assist: Carroll (1 AST)","28","2","2","1","41","1","","1610612761","200768","6","12","201960","1610612761"
"27","31","08:16","[HOU] Anderson Layup Shot: Missed Block: Valanciunas (1 BLK)","0","13","2","0","5","2","202685","1610612745","201583","6","12","","1610612745"
"28","32","08:13","[HOU] Anderson Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612745","201583","6","12","","1610612745"
"29","33","08:11","[HOU 8-12] Ariza Driving Layup Shot: Made (2 PTS) Assist: Anderson (2 AST)","6","16","2","0","42","1","","1610612745","2772","8","12","201583","1610612745"
"30","34","07:47","[TOR] Carroll 3pt Shot: Missed","-192","174","3","0","1","2","","1610612761","201960","8","12","","1610612761"
"31","35","07:45","[TOR] Valanciunas Rebound (Off:2 Def:1)","0","-80","1","0","0","4","","1610612761","202685","8","12","","1610612761"
"32","36","07:37","[TOR] Valanciunas Jump Shot: Missed","169","47","2","0","1","2","","1610612761","202685","8","12","","1610612761"
"33","37","07:36","[HOU] Anderson Rebound (Off:1 Def:1)","0","-80","0","0","0","4","","1610612745","201583","8","12","","1610612761"
"34","38","07:26","[HOU] Harden Turnover : Bad Pass (1 TO) Steal:Carroll (2 ST)","0","-80","1","0","1","5","201960","1610612745","201935","8","12","","1610612745"
"35","39","07:20","[TOR 14-8] Carroll Running Layup Shot: Made (4 PTS) Assist: Lowry (1 AST)","14","21","2","1","41","1","","1610612761","201960","8","14","200768","1610612761"
"36","40","07:03","[HOU] Beverley 3pt Shot: Missed","-227","43","3","0","1","2","","1610612745","201976","8","14","","1610612745"
"37","41","07:02","[TOR] Valanciunas Rebound (Off:2 Def:2)","0","-80","0","0","0","4","","1610612761","202685","8","14","","1610612745"
"38","42","06:49","[TOR] Valanciunas Turnaround Jump Shot: Missed","-37","26","2","0","47","2","","1610612761","202685","8","14","","1610612761"
"39","43","06:47","[HOU] Capela Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612745","203991","8","14","","1610612761"
"40","44","06:38","[HOU] Ariza 3pt Shot: Missed","161","193","3","0","1","2","","1610612745","2772","8","14","","1610612745"
"41","45","06:37","[HOU] Team Rebound","0","-80","0","0","0","4","","1610612745","0","8","14","","1610612745"
"42","47","06:24","[HOU 10-14] Anderson Step Back Jump shot: Made (4 PTS)","-1","223","2","0","80","1","","1610612745","201583","10","14","","1610612745"
"43","48","06:07","[HOU] Ariza Foul: Personal (1 PF) (B Spooner)","-37","198","0","0","1","6","201942","1610612745","2772","10","14","","1610612761"
"44","49","06:01","[TOR] DeRozan Jump Shot: Missed","1","210","2","0","1","2","","1610612761","201942","10","14","","1610612761"
"45","50","05:59","[HOU] Beverley Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612745","201976","10","14","","1610612761"
"46","51","05:53","[HOU 12-14] Capela Alley Oop Dunk Shot: Made (4 PTS) Assist: Harden (2 AST)","0","1","2","1","52","1","","1610612745","203991","12","14","201935","1610612745"
"47","52","05:44","[TOR] Lowry Turnover : Lost Ball (1 TO) Steal:Harden (1 ST)","0","-80","1","0","2","5","201935","1610612761","200768","12","14","","1610612761"
"48","53","05:40","[HOU 14-14] Beverley Running Layup Shot: Made (4 PTS) Assist: Harden (3 AST)","12","11","2","1","41","1","","1610612745","201976","14","14","201935","1610612745"
"49","54","05:33","[TOR] Lowry Foul: Offensive (1 PF) (B Spooner)","-79","702","0","0","4","6","201976","1610612761","200768","14","14","","1610612761"
"50","55","05:33","[TOR] Lowry Turnover : Foul (2 TO)","0","-80","0","0","5","5","","1610612761","200768","14","14","","1610612761"
"51","56","05:33","[HOU] Team Timeout : Regular","0","-80","0","0","1","9","","1610612745","0","14","14","","1610612745"
"52","59","05:33","[HOU] Capela Substitution replaced by Nene","0","-80","0","0","0","8","","1610612745","203991","14","14","2403","1610612745"
"53","60","05:33","[HOU] Beverley Substitution replaced by Gordon","0","-80","0","0","0","8","","1610612745","201976","14","14","201569","1610612745"
"54","61","05:24","[HOU] Nene Jump Shot: Missed Block: Carroll (1 BLK)","-17","31","2","0","1","2","201960","1610612745","2403","14","14","","1610612745"
"55","62","05:23","[TOR] Valanciunas Rebound (Off:2 Def:3)","0","-80","0","0","0","4","","1610612761","202685","14","14","","1610612745"
"56","63","05:16","[TOR 16-14] Lowry Driving Layup Shot: Made (4 PTS)","-17","38","2","0","42","1","","1610612761","200768","14","16","","1610612761"
"57","64","05:01","[HOU] Harden Turnover : Traveling (2 TO)","0","-80","0","0","4","5","","1610612745","201935","14","16","","1610612745"
"58","65","04:45","[TOR] Carroll Pullup Jump shot: Missed","120","144","2","0","79","2","","1610612761","201960","14","16","","1610612761"
"59","66","04:42","[HOU] Harden Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612745","201935","14","16","","1610612761"
"60","67","04:42","[HOU] Harden Turnover : Step Out of Bounds Turnover (3 TO)","0","-80","0","0","39","5","","1610612745","201935","14","16","","1610612745"
"61","68","04:42","[TOR] Lowry Substitution replaced by Joseph","0","-80","0","0","0","8","","1610612761","200768","14","16","202709","1610612761"
"62","69","04:29","[TOR] Valanciunas Turnover : Bad Pass (1 TO) Steal:Anderson (1 ST)","0","-80","1","0","1","5","201583","1610612761","202685","14","16","","1610612761"
"63","70","04:10","[HOU] Ariza Reverse Layup Shot: Missed","-1","26","2","0","44","2","","1610612745","2772","14","16","","1610612745"
"64","71","04:10","[TOR] Valanciunas Rebound (Off:2 Def:4)","0","-80","0","0","0","4","","1610612761","202685","14","16","","1610612745"
"65","72","04:10","[HOU] Anderson Foul: Personal (1 PF) (M Ayotte)","9","842","0","0","1","6","202685","1610612745","201583","14","16","","1610612761"
"66","73","03:45","[TOR] Joseph Jump Shot: Missed","-125","134","2","0","1","2","","1610612761","202709","14","16","","1610612761"
"67","74","03:45","[TOR] Team Rebound","0","-80","0","0","0","4","","1610612761","0","14","16","","1610612761"
"68","75","03:45","[TOR] Team Turnover : Shot Clock Turnover","0","-80","0","0","11","5","","1610612761","0","14","16","","1610612761"
"69","76","03:35","[HOU] Harden Turnover : Bad Pass (4 TO) Steal:DeRozan (1 ST)","0","-80","1","0","1","5","201942","1610612745","201935","14","16","","1610612745"
"70","77","03:29","[TOR 18-14] Siakam Alley Oop Dunk Shot: Made (2 PTS) Assist: DeRozan (2 AST)","0","1","2","1","52","1","","1610612761","1627783","14","18","201942","1610612761"
"71","78","03:14","[HOU] Anderson 3pt Shot: Missed","133","247","3","0","1","2","","1610612745","201583","14","18","","1610612745"
"72","79","03:13","[TOR] Valanciunas Rebound (Off:2 Def:5)","0","-80","0","0","0","4","","1610612761","202685","14","18","","1610612745"
"73","80","03:07","[HOU] Harden Foul: Shooting (1 PF) (2 FTA) (M Ayotte)","-22","56","0","1","2","6","202709","1610612745","201935","14","18","","1610612761"
"74","81","03:07","[TOR 19-14] Joseph Free Throw 1 of 2 (1 PTS)","0","-80","1","1","11","3","","1610612761","202709","14","19","","1610612761"
"75","83","03:07","[TOR] Siakam Substitution replaced by Patterson","0","-80","0","0","0","8","","1610612761","1627783","14","19","202335","1610612761"
"76","84","03:07","[TOR] Carroll Substitution replaced by Ross","0","-80","0","0","0","8","","1610612761","201960","14","19","203082","1610612761"
"77","85","03:07","[HOU] Anderson Substitution replaced by Dekker","0","-80","0","0","0","8","","1610612745","201583","14","19","1626155","1610612761"
"78","86","03:07","[TOR 20-14] Joseph Free Throw 2 of 2 (2 PTS)","0","-80","1","1","12","3","","1610612761","202709","14","20","","1610612761"
"79","89","02:49","[HOU] Ariza 3pt Shot: Missed","240","23","3","0","1","2","","1610612745","2772","14","20","","1610612745"
"80","90","02:48","[TOR] Valanciunas Rebound (Off:2 Def:6)","0","-80","0","0","0","4","","1610612761","202685","14","20","","1610612745"
"81","91","02:33","[TOR 22-14] Ross Pullup Jump shot: Made (2 PTS) Assist: Valanciunas (1 AST)","-30","214","2","0","79","1","","1610612761","203082","14","22","202685","1610612761"
"82","92","02:15","[HOU] Gordon 3pt Shot: Missed","-199","164","3","0","1","2","","1610612745","201569","14","22","","1610612745"
"83","93","02:14","[TOR] Valanciunas Rebound (Off:2 Def:7)","0","-80","0","0","0","4","","1610612761","202685","14","22","","1610612745"
"84","94","02:01","[TOR] Valanciunas Turnover : Bad Pass (2 TO) Steal:Harden (2 ST)","0","-80","1","0","1","5","201935","1610612761","202685","14","22","","1610612761"
"85","95","01:58","[TOR] Patterson Foul: Shooting (1 PF) (2 FTA) (M Ayotte)","37","47","0","1","2","6","201935","1610612761","202335","14","22","","1610612745"
"86","96","01:58","[TOR] Team Timeout : Regular","0","-80","0","0","1","9","","1610612761","0","14","22","","1610612745"
