"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Gobert vs Howard (Korver gains possession)","0","-80","0","0","0","10","2730","1610612762","203497","0","0","2594","1610612737"
"3","2","11:37","[ATL] Korver Jump Shot: Missed","181","11","2","0","1","2","","1610612737","2594","0","0","","1610612737"
"4","3","11:36","[ATL] Team Rebound","0","-80","0","0","0","4","","1610612737","0","0","0","","1610612737"
"5","4","11:36","[UTA] Diaw Foul: Loose Ball (1 PF) (S Anderson)","0","31","0","0","3","6","2730","1610612762","2564","0","0","","1610612737"
"6","5","11:24","[ATL] Howard Hook Shot: Missed Block: Gobert (1 BLK)","9","36","2","0","3","2","203497","1610612737","2730","0","0","","1610612737"
"7","6","11:24","[UTA] Gobert Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612762","203497","0","0","","1610612737"
"8","7","11:05","[UTA 2-0] Hayward Layup Shot: Made (2 PTS) Assist: Diaw (1 AST)","22","-1","2","0","5","1","","1610612762","202330","2","0","2564","1610612762"
"9","8","11:05","[ATL] Bazemore Foul: Shooting (1 PF) (1 FTA) (S Anderson)","22","-1","0","0","2","6","202330","1610612737","203145","2","0","","1610612762"
"10","9","11:05","[UTA 3-0] Hayward Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612762","202330","3","0","","1610612762"
"11","11","10:50","[UTA] Diaw Foul: Shooting (2 PF) (2 FTA) (J Capers)","-20","124","0","0","2","6","200794","1610612762","2564","3","0","","1610612737"
"12","12","10:50","[ATL 1-3] Millsap Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612737","200794","3","1","","1610612737"
"13","14","10:50","[ATL 2-3] Millsap Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612737","200794","3","2","","1610612737"
