"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Thompson vs Bogut (Nowitzki gains possession)","0","-80","0","0","0","10","101106","1610612739","202684","0","0","1717","1610612742"
"3","2","11:49","[CLE] Smith Violation:Kicked Ball (D Collins)","0","-80","0","0","5","7","","1610612739","2747","0","0","","1610612742"
"4","3","11:42","[DAL 2-0] Barnes Jump Shot: Made (2 PTS) Assist: Bogut (1 AST)","50","36","2","0","1","1","","1610612742","203084","0","2","101106","1610612742"
"5","4","11:33","[CLE] James Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","0","-80","0","0","45","5","","1610612739","2544","0","2","","1610612739"
"6","5","11:21","[DAL] Nowitzki Jump Shot: Missed","-151","149","2","0","1","2","","1610612742","1717","0","2","","1610612742"
"7","6","11:21","[CLE] Love Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612739","201567","0","2","","1610612742"
"8","7","11:06","[CLE] Smith 3pt Shot: Missed","128","205","3","0","1","2","","1610612739","2747","0","2","","1610612739"
"9","8","11:06","[DAL] Barnes Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612742","203084","0","2","","1610612739"
"10","9","10:57","[DAL] Bogut Hook Shot: Missed","73","36","2","0","3","2","","1610612742","101106","0","2","","1610612742"
"11","10","10:55","[CLE] Smith Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612739","2747","0","2","","1610612742"
"12","11","10:48","[CLE 3-2] Smith 3pt Shot: Made (3 PTS) Assist: James (1 AST)","-232","115","3","0","1","1","","1610612739","2747","3","2","2544","1610612739"
"13","12","10:27","[DAL] Williams 3pt Shot: Missed","-230","106","3","0","1","2","","1610612742","101114","3","2","","1610612742"
"14","13","10:27","[CLE] Thompson Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612739","202684","3","2","","1610612742"
"15","14","10:17","[CLE] Smith 3pt Shot: Missed","-235","-6","3","0","1","2","","1610612739","2747","3","2","","1610612739"
"16","15","10:17","[DAL] Nowitzki Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612742","1717","3","2","","1610612739"
"17","16","10:09","[DAL] Barnes Driving Hook Shot: Missed","53","26","2","0","57","2","","1610612742","203084","3","2","","1610612742"
"18","17","10:06","[CLE] Thompson Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612739","202684","3","2","","1610612742"
"19","18","09:56","[CLE] Love 3pt Shot: Missed","86","232","3","0","1","2","","1610612739","201567","3","2","","1610612739"
"20","19","09:56","[DAL] Matthews Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612742","202083","3","2","","1610612739"
"21","20","09:44","[DAL] Nowitzki Jump Shot: Missed","-83","178","2","0","1","2","","1610612742","1717","3","2","","1610612742"
"22","21","09:43","[CLE] Thompson Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612739","202684","3","2","","1610612742"
"23","22","09:24","[CLE] Smith Step Back Jump shot: Missed","135","-1","2","0","80","2","","1610612739","2747","3","2","","1610612739"
"24","23","09:24","[CLE] Team Rebound","0","-80","0","0","0","4","","1610612739","0","3","2","","1610612739"
"25","25","09:18","[CLE 6-2] Love 3pt Shot: Made (3 PTS) Assist: James (2 AST)","81","239","3","0","1","1","","1610612739","201567","6","2","2544","1610612739"
"26","26","08:58","[DAL] Williams Jump Shot: Missed","-42","208","2","0","1","2","","1610612742","101114","6","2","","1610612742"
"27","27","08:58","[CLE] James Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612739","2544","6","2","","1610612742"
"28","28","08:51","[CLE] James Jump Shot: Missed","64","165","2","0","1","2","","1610612739","2544","6","2","","1610612739"
"29","29","08:50","[DAL] Williams Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612742","101114","6","2","","1610612739"
"30","30","08:41","[DAL 4-6] Nowitzki Jump Shot: Made (2 PTS) Assist: Matthews (1 AST)","127","121","2","0","1","1","","1610612742","1717","6","4","202083","1610612742"
"31","31","08:27","[CLE 9-4] Irving 3pt Shot: Made (3 PTS)","-178","193","3","0","1","1","","1610612739","202681","9","4","","1610612739"
"32","32","08:16","[DAL] Williams Driving Layup Shot: Missed","12","3","2","0","42","2","","1610612742","101114","9","4","","1610612742"
"33","33","08:15","[CLE] Thompson Rebound (Off:0 Def:4)","0","-80","0","0","0","4","","1610612739","202684","9","4","","1610612742"
"34","34","07:58","[CLE] James Turnaround Fadeaway shot: Missed","141","2","2","0","86","2","","1610612739","2544","9","4","","1610612739"
"35","35","07:56","[DAL] Williams Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612742","101114","9","4","","1610612739"
"36","36","07:47","[DAL 6-9] Williams Driving Bank shot: Made (2 PTS) Assist: Matthews (2 AST)","69","31","2","0","82","1","","1610612742","101114","9","6","202083","1610612742"
"37","37","07:33","[CLE] Smith 3pt Shot: Missed","-174","229","3","0","1","2","","1610612739","2747","9","6","","1610612739"
"38","38","07:33","[DAL] Nowitzki Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612742","1717","9","6","","1610612739"
"39","39","07:26","[DAL] Matthews Turnover : Lost Ball (1 TO) Steal:James (1 ST)","0","-80","1","0","2","5","2544","1610612742","202083","9","6","","1610612742"
"40","41","07:19","[DAL] Bogut Foul: Shooting (1 PF) (2 FTA) (K Cutler)","-17","11","0","0","2","6","202684","1610612742","101106","9","6","","1610612739"
"41","42","07:19","[CLE 10-6] Thompson Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612739","202684","10","6","","1610612739"
"42","44","07:19","[CLE] Thompson Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612739","202684","10","6","","1610612739"
"43","46","07:17","[DAL] Bogut Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612742","101106","10","6","","1610612739"
"44","47","06:57","[DAL] Nowitzki Jump Shot: Missed","-147","57","2","0","1","2","","1610612742","1717","10","6","","1610612742"
"45","48","06:56","[DAL] Bogut Rebound (Off:1 Def:1)","0","-80","1","0","0","4","","1610612742","101106","10","6","","1610612742"
"46","49","06:51","[DAL 8-10] Nowitzki Jump Shot: Made (4 PTS) Assist: Matthews (3 AST)","-196","-6","2","0","1","1","","1610612742","1717","10","8","202083","1610612742"
"47","50","06:38","[CLE 12-8] Irving Driving Layup Shot: Made (5 PTS)","15","13","2","0","42","1","","1610612739","202681","12","8","","1610612739"
"48","51","06:37","[DAL] Team Timeout : Regular","0","-80","0","0","1","9","","1610612742","0","12","8","","1610612742"
"49","54","06:37","[DAL] Nowitzki Substitution replaced by Finney-Smith","0","-80","0","0","0","8","","1610612742","1717","12","8","1627827","1610612742"
"50","55","06:15","[DAL] Bogut Turnover : Bad Pass (1 TO) Steal:Smith (1 ST)","0","-80","1","0","1","5","2747","1610612742","101106","12","8","","1610612742"
"51","56","06:11","[DAL] Bogut Foul: Shooting (2 PF) (2 FTA) (M Callahan)","2","18","0","1","2","6","202684","1610612742","101106","12","8","","1610612739"
"52","57","06:11","[CLE 13-8] Thompson Free Throw 1 of 2 (2 PTS)","0","-80","1","1","11","3","","1610612739","202684","13","8","","1610612739"
"53","59","06:11","[DAL] Bogut Substitution replaced by Mejri","0","-80","0","0","0","8","","1610612742","101106","13","8","1626257","1610612739"
"54","60","06:11","[CLE 14-8] Thompson Free Throw 2 of 2 (3 PTS)","0","-80","1","1","12","3","","1610612739","202684","14","8","","1610612739"
"55","62","05:58","[DAL 10-14] Barnes Jump Shot: Made (4 PTS) Assist: Williams (1 AST)","127","144","2","0","1","1","","1610612742","203084","14","10","101114","1610612742"
"56","63","05:39","[CLE 16-10] Thompson Cutting Dunk Shot: Made (5 PTS) Assist: James (3 AST)","0","1","2","0","108","1","","1610612739","202684","16","10","2544","1610612739"
"57","64","05:24","[DAL] Matthews 3pt Shot: Missed","-183","178","3","0","1","2","","1610612742","202083","16","10","","1610612742"
"58","65","05:24","[CLE] Team Rebound","0","-80","0","0","0","4","","1610612739","0","16","10","","1610612742"
"59","66","05:11","[CLE 18-10] Thompson Alley Oop Layup shot: Made (7 PTS) Assist: James (4 AST)","-22","11","2","0","43","1","","1610612739","202684","18","10","2544","1610612739"
"60","67","04:52","[DAL] Williams Turnover : Bad Pass (1 TO) Steal:Smith (2 ST)","0","-80","1","0","1","5","2747","1610612742","101114","18","10","","1610612742"
"61","69","04:49","[DAL] Williams Substitution replaced by Curry","0","-80","0","0","0","8","","1610612742","101114","18","10","203552","1610612739"
"62","70","04:35","[CLE] Love Jump Shot: Missed Block: Mejri (1 BLK)","-45","16","2","0","1","2","1626257","1610612739","201567","18","10","","1610612739"
"63","71","04:35","[CLE] Team Rebound","0","-80","0","0","0","4","","1610612739","0","18","10","","1610612739"
"64","73","04:32","[CLE] Love 3pt Shot: Missed","-165","198","3","0","1","2","","1610612739","201567","18","10","","1610612739"
"65","74","04:31","[DAL] Mejri Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612742","1626257","18","10","","1610612739"
"66","75","04:23","[DAL] Matthews Jump Shot: Missed","-171","124","2","0","1","2","","1610612742","202083","18","10","","1610612742"
"67","76","04:23","[CLE] James Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612739","2544","18","10","","1610612742"
"68","77","04:16","[CLE 20-10] Irving Cutting Layup Shot: Made (7 PTS) Assist: James (5 AST)","-4","-5","2","0","98","1","","1610612739","202681","20","10","2544","1610612739"
"69","78","04:16","[DAL] Curry Foul: Shooting (1 PF) (1 FTA) (K Cutler)","-4","-5","0","0","2","6","202681","1610612742","203552","20","10","","1610612739"
"70","79","04:16","[CLE] Thompson Substitution replaced by Andersen","0","-80","0","0","0","8","","1610612739","202684","20","10","2365","1610612739"
"71","80","04:16","[CLE 21-10] Irving Free Throw 1 of 1 (8 PTS)","0","-80","1","0","10","3","","1610612739","202681","21","10","","1610612739"
"72","82","03:58","[DAL] Finney-Smith Jump Shot: Missed","99","169","2","0","1","2","","1610612742","1627827","21","10","","1610612742"
"73","83","03:57","[CLE] Love Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612739","201567","21","10","","1610612742"
"74","84","03:34","[CLE 24-10] Irving 3pt Shot: Made (11 PTS) Assist: James (6 AST)","235","-6","3","0","1","1","","1610612739","202681","24","10","2544","1610612739"
"75","85","03:23","[DAL 13-24] Matthews 3pt Shot: Made (3 PTS) Assist: Mejri (1 AST)","-228","124","3","0","1","1","","1610612742","202083","24","13","1626257","1610612742"
"76","86","03:07","[DAL] Finney-Smith Foul: Shooting (1 PF) (2 FTA) (K Cutler)","-106","21","0","0","2","6","2544","1610612742","1627827","24","13","","1610612739"
"77","87","03:07","[CLE 25-13] James Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612739","2544","25","13","","1610612739"
"78","89","03:07","[CLE] Smith Substitution replaced by Shumpert","0","-80","0","0","0","8","","1610612739","2747","25","13","202697","1610612739"
"79","90","03:07","[DAL] Barnes Substitution replaced by Nowitzki","0","-80","0","0","0","8","","1610612742","203084","25","13","1717","1610612739"
"80","91","03:07","[CLE 26-13] James Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612739","2544","26","13","","1610612739"
"81","93","02:55","[DAL] Mejri Layup Shot: Missed","1","7","2","0","5","2","","1610612742","1626257","26","13","","1610612742"
"82","94","02:54","[CLE] Love Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612739","201567","26","13","","1610612742"
"83","95","02:47","[CLE] Love Cutting Layup Shot: Missed Block: Mejri (2 BLK)","-2","3","2","0","98","2","1626257","1610612739","201567","26","13","","1610612739"
