"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Len vs Towns (Dieng gains possession)","0","-80","0","0","0","10","1626157","1610612756","203458","0","0","203476","1610612750"
"3","2","11:39","[MIN] LaVine 3pt Shot: Missed","-241","-5","3","0","1","2","","1610612750","203897","0","0","","1610612750"
"4","3","11:39","[MIN] LaVine Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612750","203897","0","0","","1610612750"
"5","4","11:35","[MIN 2-0] LaVine Driving Layup Shot: Made (2 PTS)","-17","7","2","0","42","1","","1610612750","203897","0","2","","1610612750"
"6","5","11:22","[PHX 2-2] Booker Pullup Jump shot: Made (2 PTS)","143","124","2","0","79","1","","1610612756","1626164","2","2","","1610612756"
"7","6","11:07","[MIN 5-2] Dieng 3pt Shot: Made (3 PTS) Assist: Wiggins (1 AST)","-225","-6","3","0","1","1","","1610612750","203476","2","5","203952","1610612750"
"8","7","10:59","[PHX] Chriss Jump Shot: Missed","-160","7","2","1","1","2","","1610612756","1627737","2","5","","1610612756"
"9","8","10:59","[MIN] Dieng Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612750","203476","2","5","","1610612756"
"10","9","10:45","[MIN] Wiggins Turnaround Jump Shot: Missed","-99","23","2","0","47","2","","1610612750","203952","2","5","","1610612750"
"11","10","10:44","[PHX] Chriss Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612756","1627737","2","5","","1610612750"
"12","11","10:35","[MIN] LaVine Foul: Personal (1 PF) (J Goble)","-97","170","0","0","1","6","202688","1610612750","203897","2","5","","1610612756"
"13","12","10:28","[PHX 4-5] Knight Pullup Jump shot: Made (2 PTS)","35","174","2","0","79","1","","1610612756","202688","4","5","","1610612756"
"14","14","10:16","[MIN] Dieng Foul: Offensive (1 PF) (D Taylor)","17","85","0","0","4","6","1626164","1610612750","203476","4","5","","1610612750"
"15","15","10:16","[MIN] Dieng Turnover : Foul (1 TO)","0","-80","0","0","5","5","","1610612750","203476","4","5","","1610612750"
"16","16","10:08","[PHX] Bledsoe Turnover : Bad Pass (1 TO) Steal:Rubio (1 ST)","0","-80","1","0","1","5","201937","1610612756","202339","4","5","","1610612756"
"17","17","10:08","[PHX] Knight Foul: Clear Path (1 PF) (2 FTA) (J Goble)","-130","327","0","0","9","6","201937","1610612756","202688","4","5","","1610612750"
"18","19","10:08","[MIN 6-4] Rubio Free Throw Clear Path 1 of 2 (1 PTS)","0","-80","1","0","25","3","","1610612750","201937","4","6","","1610612750"
"19","21","10:08","[MIN 7-4] Rubio Free Throw Clear Path 2 of 2 (2 PTS)","0","-80","1","0","26","3","","1610612750","201937","4","7","","1610612750"
"20","23","10:00","[MIN 9-4] Wiggins Jump Shot: Made (2 PTS) Assist: Rubio (1 AST)","-155","65","2","0","1","1","","1610612750","203952","4","9","201937","1610612750"
"21","24","09:46","[PHX 6-9] Knight Driving Floating Jump Shot: Made (4 PTS) Assist: Chriss (1 AST)","-7","100","2","0","101","1","","1610612756","202688","6","9","1627737","1610612756"
"22","25","09:22","[MIN] Towns 3pt Shot: Missed","230","139","3","0","1","2","","1610612750","1626157","6","9","","1610612750"
"23","26","09:22","[PHX] Knight Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612756","202688","6","9","","1610612750"
"24","27","09:12","[PHX] Len Foul: Offensive (1 PF) (B Barnaky)","-197","178","0","0","4","6","203952","1610612756","203458","6","9","","1610612756"
"25","28","09:12","[PHX] Len Turnover : Foul (1 TO)","0","-80","0","0","5","5","","1610612756","203458","6","9","","1610612756"
"26","29","09:02","[MIN 11-6] Wiggins Pullup Jump shot: Made (4 PTS)","114","183","2","0","79","1","","1610612750","203952","6","11","","1610612750"
"27","30","08:47","[PHX] Knight 3pt Shot: Missed","-238","-11","3","0","1","2","","1610612756","202688","6","11","","1610612756"
"28","31","08:46","[MIN] Towns Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612750","1626157","6","11","","1610612756"
"29","32","08:35","[MIN] Rubio Turnover : Bad Pass (1 TO) Steal:Chriss (1 ST)","0","-80","1","0","1","5","1627737","1610612750","201937","6","11","","1610612750"
"30","33","08:29","[PHX 8-11] Len Running Dunk Shot: Made (2 PTS) Assist: Bledsoe (1 AST)","2","21","2","1","50","1","","1610612756","203458","8","11","202339","1610612756"
"31","34","08:11","[MIN] LaVine Driving Layup Shot: Missed Block: Len (1 BLK)","-29","-1","2","0","42","2","203458","1610612750","203897","8","11","","1610612750"
"32","35","08:11","[PHX] Len Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612756","203458","8","11","","1610612750"
