"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Johnson vs Gasol (Aldridge gains possession)","0","-80","0","0","0","10","2200","1610612738","101161","0","0","200746","1610612759"
"3","2","11:38","[SAS] Aldridge Turnaround Fadeaway shot: Missed","12","159","2","0","86","2","","1610612759","200746","0","0","","1610612759"
"4","3","11:37","[BOS] Bradley Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612738","202340","0","0","","1610612759"
"5","4","11:11","[BOS] Johnson Cutting Layup Shot: Missed","-12","11","2","0","98","2","","1610612738","101161","0","0","","1610612738"
"6","5","11:10","[SAS] Green Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612759","201980","0","0","","1610612738"
"7","6","10:54","[SAS] Gasol Jump Shot: Missed Block: Horford (1 BLK)","-158","38","2","0","1","2","201143","1610612759","2200","0","0","","1610612759"
"8","7","10:53","[BOS] Bradley Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612738","202340","0","0","","1610612759"
"9","8","10:45","[BOS] Horford 3pt Shot: Missed","123","223","3","0","1","2","","1610612738","201143","0","0","","1610612738"
"10","9","10:44","[SAS] Parker Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612759","2225","0","0","","1610612738"
"11","10","10:33","[SAS] Gasol Jump Shot: Missed Block: Horford (2 BLK)","-71","195","2","0","1","2","201143","1610612759","2200","0","0","","1610612759"
"12","11","10:31","[BOS] Bradley Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612738","202340","0","0","","1610612759"
"13","12","10:22","[BOS 2-0] Bradley Driving Finger Roll Layup Shot: Made (2 PTS)","-16","0","2","0","75","1","","1610612738","202340","2","0","","1610612738"
"14","13","09:59","[SAS 3-2] Leonard 3pt Shot: Made (3 PTS) Assist: Parker (1 AST)","71","247","3","0","1","1","","1610612759","202695","2","3","2225","1610612759"
"15","14","09:35","[BOS 4-3] Horford Driving Dunk Shot: Made (2 PTS) Assist: Crowder (1 AST)","0","1","2","0","49","1","","1610612738","201143","4","3","203109","1610612738"
"16","15","09:12","[SAS 6-4] Green 3pt Shot: Made (3 PTS) Assist: Leonard (1 AST)","-233","100","3","0","1","1","","1610612759","201980","4","6","202695","1610612759"
"17","16","08:52","[BOS 6-6] Thomas Driving Finger Roll Layup Shot: Made (2 PTS) Assist: Horford (1 AST)","-11","2","2","0","75","1","","1610612738","202738","6","6","201143","1610612738"
"18","17","08:34","[SAS 8-6] Parker Driving Floating Jump Shot: Made (2 PTS)","14","56","2","0","101","1","","1610612759","2225","6","8","","1610612759"
"19","18","08:18","[BOS] Horford 3pt Shot: Missed","107","229","3","0","1","2","","1610612738","201143","6","8","","1610612738"
"20","19","08:17","[SAS] Gasol Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612759","2200","6","8","","1610612738"
"21","20","08:13","[SAS] Leonard Turnover : Lost Ball (1 TO) Steal:Crowder (1 ST)","0","-80","1","0","2","5","203109","1610612759","202695","6","8","","1610612759"
"22","22","07:58","[BOS 9-8] Bradley 3pt Shot: Made (5 PTS)","228","36","3","0","80","1","","1610612738","202340","9","8","","1610612738"
"23","23","07:42","[SAS] Aldridge Turnaround Jump Shot: Missed","-60","7","2","0","47","2","","1610612759","200746","9","8","","1610612759"
"24","24","07:41","[BOS] Horford Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612738","201143","9","8","","1610612759"
"25","25","07:34","[BOS] Bradley Layup Shot: Missed Block: Green (1 BLK)","-11","16","2","0","5","2","201980","1610612738","202340","9","8","","1610612738"
"26","26","07:33","[BOS] Bradley Rebound (Off:1 Def:3)","0","-80","1","0","0","4","","1610612738","202340","9","8","","1610612738"
"27","27","07:29","[BOS 12-8] Crowder 3pt Shot: Made (3 PTS) Assist: Bradley (1 AST)","-68","242","3","0","1","1","","1610612738","203109","12","8","202340","1610612738"
