"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","1","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","2","12:00","Jump Ball Vucevic vs Gortat (Payton gains possession)","0","-80","0","0","0","10","101162","1610612753","202696","0","0","203901","1610612753"
"3","3","11:37","[ORL] Payton Pullup Jump shot: Missed","-88","120","2","0","79","2","","1610612753","203901","0","0","","1610612753"
"4","4","11:35","[WAS] Mark Morris Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612764","202693","0","0","","1610612753"
"5","5","11:17","[WAS 2-0] Mark Morris Jump Shot: Made (2 PTS)","153","11","2","0","1","1","","1610612764","202693","0","2","","1610612764"
"6","6","11:08","[ORL 2-2] Ibaka Turnaround Jump Shot: Made (2 PTS) Assist: Vucevic (1 AST)","-22","61","2","0","47","1","","1610612753","201586","2","2","202696","1610612753"
"7","7","10:53","[ORL] Ibaka Foul: Shooting (1 PF) (2 FTA) (E Dalen)","128","21","0","0","2","6","202693","1610612753","201586","2","2","","1610612764"
"8","8","10:53","[WAS] Mark Morris Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612764","202693","2","2","","1610612764"
"9","9","10:53","[WAS] Team Rebound","0","-80","0","0","1","4","","1610612764","0","2","2","","1610612764"
"10","10","10:53","[WAS 3-2] Mark Morris Free Throw 2 of 2 (3 PTS)","0","-80","1","0","12","3","","1610612764","202693","2","3","","1610612764"
"11","12","10:35","[ORL] Fournier Driving Finger Roll Layup Shot: Missed","22","-6","2","0","75","2","","1610612753","203095","2","3","","1610612753"
"12","13","10:33","[WAS] Gortat Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612764","101162","2","3","","1610612753"
"13","14","10:26","[WAS 6-2] Wall 3pt Shot: Made (3 PTS) Assist: Beal (1 AST)","174","185","3","0","1","1","","1610612764","202322","2","6","203078","1610612764"
"14","15","10:16","[ORL] Vucevic Turnover : Bad Pass (1 TO) Steal:Mark Morris (1 ST)","0","-80","1","0","1","5","202693","1610612753","202696","2","6","","1610612753"
"15","16","10:02","[WAS 9-2] Porter 3pt Shot: Made (3 PTS) Assist: Wall (1 AST)","207","154","3","0","1","1","","1610612764","203490","2","9","202322","1610612764"
"16","17","09:51","[ORL] Vucevic Turnaround Hook Shot: Missed","0","1","2","0","58","2","","1610612753","202696","2","9","","1610612753"
"17","18","09:50","[WAS] Beal Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612764","203078","2","9","","1610612753"
"18","19","09:40","[WAS] Porter Floating Jump shot: Missed","-71","51","2","0","78","2","","1610612764","203490","2","9","","1610612764"
"19","20","09:39","[ORL] Vucevic Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612753","202696","2","9","","1610612764"
"20","21","09:35","[WAS] Porter Foul: Shooting (1 PF) (2 FTA) (E Dalen)","51","31","0","1","2","6","203095","1610612764","203490","2","9","","1610612753"
"21","22","09:35","[ORL 3-9] Fournier Free Throw 1 of 2 (1 PTS)","0","-80","1","1","11","3","","1610612753","203095","3","9","","1610612753"
"22","24","09:35","[ORL 4-9] Fournier Free Throw 2 of 2 (2 PTS)","0","-80","1","1","12","3","","1610612753","203095","4","9","","1610612753"
"23","26","09:26","[WAS] Beal Floating Jump shot: Missed","163","21","2","0","78","2","","1610612764","203078","4","9","","1610612764"
"24","27","09:25","[ORL] Ibaka Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612753","201586","4","9","","1610612764"
"25","28","09:15","[ORL 6-9] Vucevic Hook Shot: Made (2 PTS) Assist: Ibaka (1 AST)","51","72","2","0","3","1","","1610612753","202696","6","9","201586","1610612753"
"26","29","08:59","[WAS 11-6] Mark Morris Cutting Layup Shot: Made (5 PTS) Assist: Gortat (1 AST)","-9","-6","2","0","98","1","","1610612764","202693","6","11","101162","1610612764"
"27","30","08:38","[ORL] Green Turnover : Bad Pass (1 TO) Steal:Wall (1 ST)","0","-80","1","0","1","5","202322","1610612753","201145","6","11","","1610612753"
"28","32","08:35","[ORL] Fournier Foul: Personal (1 PF) (E Dalen)","42","67","0","0","1","6","203078","1610612753","203095","6","11","","1610612764"
"29","33","08:29","[WAS] Porter Jump Shot: Missed","-150","159","2","0","1","2","","1610612764","203490","6","11","","1610612764"
"30","34","08:27","[ORL] Vucevic Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612753","202696","6","11","","1610612764"
"31","35","08:20","[ORL] Vucevic Pullup Jump shot: Missed","66","87","2","0","79","2","","1610612753","202696","6","11","","1610612753"
"32","36","08:17","[ORL] Payton Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612753","203901","6","11","","1610612753"
"33","37","08:15","[ORL] Green Jump Shot: Missed","-197","2","2","0","1","2","","1610612753","201145","6","11","","1610612753"
"34","38","08:15","[ORL] Team Rebound","0","-80","0","0","0","4","","1610612753","0","6","11","","1610612753"
"35","39","08:08","[ORL] Ibaka 3pt Shot: Missed","241","43","3","0","1","2","","1610612753","201586","6","11","","1610612753"
"36","40","08:06","[WAS] Gortat Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612764","101162","6","11","","1610612753"
"37","41","07:58","[WAS] Wall Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","0","-80","0","0","45","5","","1610612764","202322","6","11","","1610612764"
"38","42","07:44","[ORL] Ibaka Turnover : Lost Ball (1 TO) Steal:Mark Morris (2 ST)","0","-80","1","0","2","5","202693","1610612753","201586","6","11","","1610612753"
"39","43","07:32","[WAS] Mark Morris 3pt Shot: Missed","169","198","3","0","1","2","","1610612764","202693","6","11","","1610612764"
"40","44","07:31","[ORL] Ibaka Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612753","201586","6","11","","1610612764"
"41","45","07:25","[ORL] Payton Pullup Jump shot: Missed","-125","165","2","1","79","2","","1610612753","203901","6","11","","1610612753"
"42","46","07:23","[WAS] Wall Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612764","202322","6","11","","1610612753"
"43","47","07:15","[WAS] Wall 3pt Shot: Missed","-88","234","3","0","1","2","","1610612764","202322","6","11","","1610612764"
