"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Whiteside vs Gasol (Williams gains possession)","0","-80","0","0","0","10","201188","1610612748","202355","0","0","202682","1610612748"
"3","2","11:42","[MIA] Whiteside Hook Shot: Missed","61","56","2","0","3","2","","1610612748","202355","0","0","","1610612748"
"4","3","11:41","[MEM] Allen Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612763","2754","0","0","","1610612748"
"5","4","11:25","[MEM] Williams 3pt Shot: Missed","199","146","3","0","1","2","","1610612763","1627786","0","0","","1610612763"
"6","5","11:24","[MIA] Richardson Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612748","1626196","0","0","","1610612763"
"7","6","11:05","[MIA 2-0] Williams Cutting Layup Shot: Made (2 PTS) Assist: Waiters (1 AST)","-4","11","2","0","98","1","","1610612748","202682","2","0","203079","1610612748"
"8","7","10:52","[MEM 2-2] Gasol Pullup Jump shot: Made (2 PTS) Assist: Conley (1 AST)","-110","56","2","0","79","1","","1610612763","201188","2","2","201144","1610612763"
"9","8","10:28","[MIA 4-2] Williams Turnaround Fadeaway Bank Jump Shot: Made (4 PTS)","109","11","2","0","105","1","","1610612748","202682","4","2","","1610612748"
"10","9","10:16","[MEM] Conley Jump Shot: Missed","-158","100","2","0","1","2","","1610612763","201144","4","2","","1610612763"
"11","10","10:15","[MIA] Williams Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612748","202682","4","2","","1610612763"
"12","11","10:05","[MIA 6-2] Waiters Jump Shot: Made (2 PTS)","-86","160","2","0","45","1","","1610612748","203079","6","2","","1610612748"
"13","12","09:48","[MEM 4-6] Williams Driving Finger Roll Layup Shot: Made (2 PTS)","-16","8","2","0","75","1","","1610612763","1627786","6","4","","1610612763"
"14","13","09:30","[MIA 8-4] Whiteside Turnaround Hook Shot: Made (2 PTS)","15","77","2","0","58","1","","1610612748","202355","8","4","","1610612748"
"15","14","09:18","[MEM] Gasol 3pt Shot: Missed","156","203","3","0","1","2","","1610612763","201188","8","4","","1610612763"
"16","15","09:17","[MIA] Waiters Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612748","203079","8","4","","1610612763"
"17","16","09:09","[MIA 10-4] Whiteside Jump Shot: Made (4 PTS)","-148","121","2","0","1","1","","1610612748","202355","10","4","","1610612748"
"18","17","08:51","[MEM] Allen Reverse Layup Shot: Missed","-12","11","2","0","44","2","","1610612763","2754","10","4","","1610612763"
"19","18","08:50","[MIA] Whiteside Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612748","202355","10","4","","1610612763"
"20","19","08:41","[MIA] Richardson Jump Shot: Missed","-156","120","2","0","1","2","","1610612748","1626196","10","4","","1610612748"
"21","20","08:40","[MEM] Gasol Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612763","201188","10","4","","1610612748"
"22","21","08:34","[MEM 6-10] Allen Driving Layup Shot: Made (2 PTS)","14","-5","2","1","42","1","","1610612763","2754","10","6","","1610612763"
"23","22","08:19","[MIA] Williams 3pt Shot: Missed","248","-5","3","0","1","2","","1610612748","202682","10","6","","1610612748"
"24","23","08:18","[MEM] Allen Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612763","2754","10","6","","1610612748"
"25","24","08:10","[MEM 8-10] Allen Driving Finger Roll Layup Shot: Made (4 PTS)","-6","11","2","0","75","1","","1610612763","2754","10","8","","1610612763"
"26","25","07:55","[MEM] Williams Foul: Shooting (1 PF) (2 FTA) (T Washington)","24","26","0","0","2","6","202682","1610612763","1627786","10","8","","1610612748"
"27","26","07:55","[MIA 11-8] Williams Free Throw 1 of 2 (5 PTS)","0","-80","1","0","11","3","","1610612748","202682","11","8","","1610612748"
"28","28","07:55","[MIA 12-8] Williams Free Throw 2 of 2 (6 PTS)","0","-80","1","0","12","3","","1610612748","202682","12","8","","1610612748"
"29","30","07:43","[MEM 10-12] Gasol Hook Shot: Made (4 PTS)","1","65","2","0","3","1","","1610612763","201188","12","10","","1610612763"
"30","31","07:35","[MIA 14-10] Waiters Driving Layup Shot: Made (4 PTS)","-16","3","2","0","42","1","","1610612748","203079","14","10","","1610612748"
