"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Gortat vs Gasol (Mark Morris gains possession)","0","-80","0","0","0","10","2200","1610612764","101162","0","0","202693","1610612764"
"3","2","11:41","[WAS 2-0] Gortat Hook Shot: Made (2 PTS) Assist: Beal (1 AST)","-66","31","2","0","3","1","","1610612764","101162","2","0","203078","1610612764"
"4","4","11:14","[SAS 2-2] Gasol Fadeaway Jump Shot: Made (2 PTS)","-163","-6","2","0","63","1","","1610612759","2200","2","2","","1610612759"
"5","5","10:55","[WAS] Mark Morris Jump Shot: Missed","-79","90","2","0","1","2","","1610612764","202693","2","2","","1610612764"
"6","6","10:53","[SAS] Aldridge Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612759","200746","2","2","","1610612764"
"7","7","10:43","[SAS 4-2] Aldridge Jump Shot: Made (2 PTS) Assist: Parker (1 AST)","64","174","2","0","1","1","","1610612759","200746","2","4","2225","1610612759"
"8","8","10:27","[WAS 4-4] Wall Pullup Jump shot: Made (2 PTS)","27","154","2","0","79","1","","1610612764","202322","4","4","","1610612764"
"9","9","10:12","[SAS] Leonard 3pt Shot: Missed","-204","170","3","0","1","2","","1610612759","202695","4","4","","1610612759"
"10","10","10:11","[WAS] Gortat Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612764","101162","4","4","","1610612759"
"11","11","10:04","[WAS 7-4] Beal 3pt Shot: Made (3 PTS)","40","252","3","0","1","1","","1610612764","203078","7","4","","1610612764"
"12","12","09:35","[SAS] Aldridge Jump Shot: Missed","92","165","2","0","1","2","","1610612759","200746","7","4","","1610612759"
"13","13","09:34","[WAS] Porter Jr. Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612764","203490","7","4","","1610612759"
"14","14","09:23","[WAS 9-4] Mark Morris Step Back Jump shot: Made (2 PTS)","141","16","2","0","80","1","","1610612764","202693","9","4","","1610612764"
"15","16","09:05","[SAS] Gasol Jump Shot: Missed","153","38","2","0","1","2","","1610612759","2200","9","4","","1610612759"
"16","18","09:04","[WAS] Team Rebound","0","-80","0","0","0","4","","1610612764","0","9","4","","1610612759"
"17","19","08:58","[SAS] Aldridge Foul: Loose Ball (1 PF) (K Mauer)","55","10","0","0","3","6","101162","1610612759","200746","9","4","","1610612764"
"18","20","08:49","[WAS] Beal Jump Shot: Missed","-144","-16","2","0","1","2","","1610612764","203078","9","4","","1610612764"
"19","21","08:49","[SAS] Team Rebound","0","-80","0","0","0","4","","1610612759","0","9","4","","1610612764"
"20","22","08:39","[SAS] Parker Jump Shot: Missed","40","178","2","0","1","2","","1610612759","2225","9","4","","1610612759"
"21","23","08:37","[WAS] Team Rebound","0","-80","0","0","0","4","","1610612764","0","9","4","","1610612759"
"22","24","08:22","[WAS] Gortat Hook Shot: Missed","-38","61","2","0","3","2","","1610612764","101162","9","4","","1610612764"
"23","25","08:21","[SAS] Aldridge Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612759","200746","9","4","","1610612764"
"24","27","08:02","[SAS 6-9] Aldridge Turnaround Hook Shot: Made (4 PTS)","63","16","2","0","58","1","","1610612759","200746","9","6","","1610612759"
"25","28","07:46","[WAS] Wall Jump Shot: Missed","-12","120","2","0","1","2","","1610612764","202322","9","6","","1610612764"
"26","29","07:44","[SAS] Gasol Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612759","2200","9","6","","1610612764"
