"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","1","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","2","12:00","Jump Ball Mozgov vs Howard (Calderon gains possession)","0","-80","0","0","0","10","2730","1610612747","202389","0","0","101181","1610612747"
"3","3","11:35","[LAL 2-0] Deng Driving Floating Jump Shot: Made (2 PTS)","19","41","2","0","101","1","","1610612747","2736","2","0","","1610612747"
"4","4","11:19","[ATL] Howard Jump Bank Shot: Missed","-106","99","2","0","66","2","","1610612737","2730","2","0","","1610612737"
"5","5","11:16","[LAL] Robinson Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612747","203080","2","0","","1610612737"
"6","6","11:11","[LAL] Young Pullup Jump shot: Missed","92","158","2","0","79","2","","1610612747","201156","2","0","","1610612747"
"7","7","11:10","[ATL] Millsap Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612737","200794","2","0","","1610612747"
"8","8","11:04","[ATL 2-2] Howard Running Alley Oop Dunk Shot: Made (2 PTS) Assist: Millsap (1 AST)","0","1","2","1","106","1","","1610612737","2730","2","2","200794","1610612737"
"9","9","10:46","[LAL] Deng Jump Shot: Missed","103","148","2","0","1","2","","1610612747","2736","2","2","","1610612747"
"10","10","10:45","[ATL] Schroder Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612737","203471","2","2","","1610612747"
"11","11","10:37","[ATL 4-2] Howard Cutting Dunk Shot: Made (4 PTS) Assist: Millsap (2 AST)","0","1","2","0","108","1","","1610612737","2730","2","4","200794","1610612737"
"12","12","10:19","[ATL] Millsap Foul: Shooting (1 PF) (2 FTA) (E Malloy)","-44","55","0","0","2","6","203080","1610612737","200794","2","4","","1610612747"
"13","13","10:19","[LAL] Robinson Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612747","203080","2","4","","1610612747"
