"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Gortat vs Koufos (Gay gains possession)","0","-80","0","0","0","10","201585","1610612764","101162","0","0","200752","1610612758"
"3","3","11:34","[SAC 2-0] Gay Fadeaway Jump Shot: Made (2 PTS) Assist: Cousins (1 AST)","-101","105","2","0","63","1","","1610612758","200752","0","2","202326","1610612758"
"4","4","11:08","[WAS 3-2] Porter 3pt Shot: Made (3 PTS) Assist: Beal (1 AST)","-245","21","3","0","1","1","","1610612764","203490","3","2","203078","1610612764"
"5","5","10:47","[SAC] Cousins Jump Shot: Missed","-50","149","2","0","1","2","","1610612758","202326","3","2","","1610612758"
"6","6","10:44","[SAC] Gay Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612758","200752","3","2","","1610612758"
"7","7","10:40","[SAC] Gay Layup Shot: Missed","19","-15","2","0","5","2","","1610612758","200752","3","2","","1610612758"
"8","8","10:39","[WAS] Porter Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612764","203490","3","2","","1610612758"
"9","9","10:35","[WAS 5-2] Mark Morris Jump Shot: Made (2 PTS) Assist: Wall (1 AST)","164","-1","2","0","1","1","","1610612764","202693","5","2","202322","1610612764"
"10","10","10:15","[SAC 4-5] Afflalo Fadeaway Jump Shot: Made (2 PTS)","-1","52","2","0","63","1","","1610612758","201167","5","4","","1610612758"
"11","11","10:05","[WAS 8-4] Beal 3pt Shot: Made (3 PTS) Assist: Wall (2 AST)","-187","193","3","0","1","1","","1610612764","203078","8","4","202322","1610612764"
"12","13","09:41","[SAC] Cousins Turnover : Lost Ball (1 TO) Steal:Porter (1 ST)","0","-80","1","0","2","5","203490","1610612758","202326","8","4","","1610612758"
"13","14","09:38","[SAC] Gay Foul: Shooting (1 PF) (2 FTA) (E Lewis)","9","21","0","1","2","6","203490","1610612758","200752","8","4","","1610612764"
"14","15","09:38","[WAS] Porter Free Throw 1 of 2 Missed","0","-80","2","1","11","3","","1610612764","203490","8","4","","1610612764"
"15","16","09:38","[WAS] Team Rebound","0","-80","0","0","1","4","","1610612764","0","8","4","","1610612764"
"16","17","09:38","[WAS 9-4] Porter Free Throw 2 of 2 (4 PTS)","0","-80","1","1","12","3","","1610612764","203490","9","4","","1610612764"
"17","20","09:14","[SAC] Cousins Jump Shot: Missed","-137","92","2","0","1","2","","1610612758","202326","9","4","","1610612758"
"18","21","09:12","[SAC] Koufos Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612758","201585","9","4","","1610612758"
"19","22","09:08","[SAC] Gay 3pt Shot: Missed","181","174","3","0","1","2","","1610612758","200752","9","4","","1610612758"
"20","23","09:07","[WAS] Wall Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612764","202322","9","4","","1610612758"
"21","24","09:01","[WAS 12-4] Beal 3pt Shot: Made (6 PTS) Assist: Wall (3 AST)","-204","164","3","1","1","1","","1610612764","203078","12","4","202322","1610612764"
"22","26","08:38","[SAC] Cousins 3pt Shot: Missed","12","257","3","0","1","2","","1610612758","202326","12","4","","1610612758"
"23","27","08:37","[WAS] Wall Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612764","202322","12","4","","1610612758"
"24","28","08:31","[WAS] Beal 3pt Shot: Missed","171","185","3","0","1","2","","1610612764","203078","12","4","","1610612764"
"25","29","08:29","[SAC] Gay Rebound (Off:1 Def:1)","0","-80","0","0","0","4","","1610612758","200752","12","4","","1610612764"
"26","30","08:20","[SAC 6-12] Collison Pullup Jump shot: Made (2 PTS)","38","180","2","0","79","1","","1610612758","201954","12","6","","1610612758"
"27","31","08:02","[WAS 14-6] Gortat Layup Shot: Made (2 PTS) Assist: Mark Morris (1 AST)","1","7","2","0","5","1","","1610612764","101162","14","6","202693","1610612764"
