"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Towns vs Gobert (G Hill gains possession)","0","-80","0","0","0","10","203497","1610612750","1626157","0","0","201588","1610612762"
"3","2","11:39","[UTA] Gobert Jump Shot: Missed","9","38","2","0","1","2","","1610612762","203497","0","0","","1610612762"
"4","3","11:38","[UTA] Gobert Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612762","203497","0","0","","1610612762"
"5","4","11:37","[UTA] Gobert Layup Shot: Missed","2","2","2","0","40","2","","1610612762","203497","0","0","","1610612762"
"6","6","11:36","[UTA] Gobert Rebound (Off:2 Def:0)","0","-80","1","0","0","4","","1610612762","203497","0","0","","1610612762"
"7","5","11:35","[UTA] Gobert Layup Shot: Missed Block: Dieng (1 BLK)","-1","11","2","0","40","2","203476","1610612762","203497","0","0","","1610612762"
"8","7","11:34","[UTA] Team Rebound","0","-80","0","0","0","4","","1610612762","0","0","0","","1610612762"
"9","8","11:20","[UTA] Hood 3pt Shot: Missed","-56","239","3","0","1","2","","1610612762","203918","0","0","","1610612762"
"10","9","11:19","[MIN] Dieng Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612750","203476","0","0","","1610612762"
"11","10","11:05","[MIN 3-0] Rubio 3pt Shot: Made (3 PTS) Assist: Wiggins (1 AST)","230","26","3","0","1","1","","1610612750","201937","3","0","203952","1610612750"
"12","11","10:37","[UTA 2-3] Hayward Step Back Jump shot: Made (2 PTS)","-20","193","2","0","80","1","","1610612762","202330","3","2","","1610612762"
"13","12","10:17","[MIN] Wiggins Driving Layup Shot: Missed","17","11","2","0","42","2","","1610612750","203952","3","2","","1610612750"
"14","13","10:16","[UTA] Team Rebound","0","-80","0","0","0","4","","1610612762","0","3","2","","1610612750"
"15","14","09:56","[MIN] Rubio Foul: Shooting (1 PF) (3 FTA) (E Dalen)","151","193","0","0","2","6","201588","1610612750","201937","3","2","","1610612762"
"16","15","09:56","[UTA 3-3] G Hill Free Throw 1 of 3 (1 PTS)","0","-80","1","0","13","3","","1610612762","201588","3","3","","1610612762"
"17","17","09:56","[UTA 4-3] G Hill Free Throw 2 of 3 (2 PTS)","0","-80","1","0","14","3","","1610612762","201588","3","4","","1610612762"
"18","19","09:56","[UTA 5-3] G Hill Free Throw 3 of 3 (3 PTS)","0","-80","1","0","15","3","","1610612762","201588","3","5","","1610612762"
"19","21","09:46","[MIN] Towns 3pt Shot: Missed","-148","188","3","0","1","2","","1610612750","1626157","3","5","","1610612750"
"20","22","09:44","[UTA] Hayward Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612762","202330","3","5","","1610612750"
"21","23","09:33","[UTA] Hood Turnaround Jump Shot: Missed","-35","75","2","0","47","2","","1610612762","203918","3","5","","1610612762"
"22","24","09:32","[UTA] Gobert Rebound (Off:3 Def:0)","0","-80","1","0","0","4","","1610612762","203497","3","5","","1610612762"
"23","25","09:31","[MIN] Towns Foul: Personal (1 PF) (P Fraher)","-40","18","0","0","1","6","203497","1610612750","1626157","3","5","","1610612762"
"24","26","09:20","[UTA] G Hill 3pt Shot: Missed","-1","242","3","0","1","2","","1610612762","201588","3","5","","1610612762"
"25","27","09:18","[MIN] Team Rebound","0","-80","0","0","0","4","","1610612750","0","3","5","","1610612762"
"26","28","09:05","[MIN] Wiggins Jump Shot: Missed","-35","188","2","0","1","2","","1610612750","203952","3","5","","1610612750"
"27","29","09:04","[UTA] G Hill Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612762","201588","3","5","","1610612750"
