"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Davis vs Mozgov (Frazier gains possession)","0","-80","0","0","0","10","202389","1610612740","203076","0","0","204025","1610612740"
"3","2","11:45","[NOP] Davis Turnover : Bad Pass (1 TO) Steal:Deng (1 ST)","0","-80","1","0","1","5","2736","1610612740","203076","0","0","","1610612740"
"4","3","11:27","[LAL] Calderon 3pt Shot: Missed","-114","237","3","0","1","2","","1610612747","101181","0","0","","1610612747"
"5","4","11:26","[NOP] Asik Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612740","201600","0","0","","1610612747"
"6","5","11:17","[NOP 2-0] Davis Jump Shot: Made (2 PTS) Assist: Holiday (1 AST)","-1","151","2","0","1","1","","1610612740","203076","2","0","201950","1610612740"
"7","6","11:04","[NOP] Asik Violation:Kicked Ball (K Fitzgerald)","0","-80","0","0","5","7","","1610612740","201600","2","0","","1610612747"
"8","7","10:58","[LAL 2-2] Mozgov Cutting Dunk Shot: Made (2 PTS) Assist: Calderon (1 AST)","0","1","2","0","108","1","","1610612747","202389","2","2","101181","1610612747"
"9","8","10:41","[NOP 4-2] Asik Layup Shot: Made (2 PTS) Assist: Davis (1 AST)","-19","2","2","0","5","1","","1610612740","201600","4","2","203076","1610612740"
"10","9","10:21","[LAL] Randle Turnover : Bad Pass (1 TO) Steal:Asik (1 ST)","0","-80","1","0","1","5","201600","1610612747","203944","4","2","","1610612747"
"11","10","10:18","[NOP 6-2] Frazier Layup Shot: Made (2 PTS) Assist: Asik (1 AST)","10","7","2","1","5","1","","1610612740","204025","6","2","201600","1610612740"
"12","12","10:10","[LAL] Team Timeout : Short","0","-80","0","0","2","9","","1610612747","0","6","2","","1610612747"
"13","13","10:10","[LAL] Young Substitution replaced by Clarkson","0","-80","0","0","0","8","","1610612747","201156","6","2","203903","1610612747"
"14","14","09:58","[LAL] Calderon 3pt Shot: Missed","-230","21","3","0","1","2","","1610612747","101181","6","2","","1610612747"
"15","15","09:56","[NOP] Davis Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612740","203076","6","2","","1610612747"
"16","17","09:42","[NOP 8-2] Asik Cutting Dunk Shot: Made (4 PTS) Assist: Holiday (2 AST)","0","1","2","0","108","1","","1610612740","201600","8","2","201950","1610612740"
"17","18","09:28","[LAL] Calderon Turnover : Bad Pass (1 TO) Steal:Davis (1 ST)","0","-80","1","0","1","5","203076","1610612747","101181","8","2","","1610612747"
"18","19","09:22","[NOP 10-2] Frazier Layup Shot: Made (4 PTS) Assist: Davis (2 AST)","15","-1","2","1","5","1","","1610612740","204025","10","2","203076","1610612740"
"19","20","09:06","[LAL 4-10] Randle Jump Shot: Made (2 PTS) Assist: Deng (1 AST)","-165","149","2","0","1","1","","1610612747","203944","10","4","2736","1610612747"
"20","21","08:58","[NOP] Asik Layup Shot: Missed","2","21","2","0","5","2","","1610612740","201600","10","4","","1610612740"
"21","22","08:57","[LAL] Mozgov Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612747","202389","10","4","","1610612740"
"22","23","08:48","[LAL] Calderon 3pt Shot: Missed","150","195","3","1","1","2","","1610612747","101181","10","4","","1610612747"
"23","24","08:47","[NOP] Asik Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612740","201600","10","4","","1610612747"
"24","25","08:39","[NOP] Holiday Turnover : Bad Pass (1 TO) Steal:Clarkson (1 ST)","0","-80","1","0","1","5","203903","1610612740","201950","10","4","","1610612740"
