"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Chandler vs Howard (Bledsoe gains possession)","0","-80","0","0","0","10","2730","1610612756","2199","0","0","202339","1610612756"
"3","2","11:42","[PHX 2-0] Tucker Pullup Jump shot: Made (2 PTS)","78","134","2","0","79","1","","1610612756","200782","2","0","","1610612756"
"4","3","11:20","[ATL 2-2] Schroder Pullup Jump shot: Made (2 PTS)","102","141","2","0","79","1","","1610612737","203471","2","2","","1610612737"
"5","4","11:00","[PHX 4-2] Tucker Jump Shot: Made (4 PTS)","38","124","2","0","1","1","","1610612756","200782","4","2","","1610612756"
"6","5","10:43","[ATL] Muscala Turnover : Bad Pass (1 TO) Steal:Chriss (1 ST)","0","-80","1","0","1","5","1627737","1610612737","203488","4","2","","1610612737"
"7","6","10:39","[PHX 6-2] Booker Driving Layup Shot: Made (2 PTS)","17","0","2","1","42","1","","1610612756","1626164","6","2","","1610612756"
"8","7","10:28","[ATL] Muscala Pullup Jump shot: Missed","-68","129","2","0","79","2","","1610612737","203488","6","2","","1610612737"
"9","8","10:24","[PHX] Bledsoe Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612756","202339","6","2","","1610612737"
"10","9","10:12","[PHX 9-2] Tucker 3pt Shot: Made (7 PTS) Assist: Bledsoe (1 AST)","-127","218","3","0","1","1","","1610612756","200782","9","2","202339","1610612756"
"11","10","09:56","[ATL] Howard Jump Shot: Missed Block: Chandler (1 BLK)","32","16","2","0","1","2","2199","1610612737","2730","9","2","","1610612737"
"12","11","09:56","[ATL] Team Rebound","0","-80","0","0","0","4","","1610612737","0","9","2","","1610612737"
"13","12","09:54","[ATL 4-9] Schroder Jump Shot: Made (4 PTS) Assist: Korver (1 AST)","155","2","2","0","1","1","","1610612737","203471","9","4","2594","1610612737"
"14","13","09:39","[PHX] Booker Jump Shot: Missed","-137","-16","2","0","1","2","","1610612756","1626164","9","4","","1610612756"
"15","14","09:37","[ATL] Howard Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612737","2730","9","4","","1610612756"
"16","15","09:23","[ATL 6-9] Howard Jump Bank Shot: Made (2 PTS) Assist: Schroder (1 AST)","-114","16","2","0","66","1","","1610612737","2730","9","6","203471","1610612737"
"17","16","09:02","[PHX 11-6] Chriss Jump Bank Shot: Made (2 PTS)","6","51","2","0","66","1","","1610612756","1627737","11","6","","1610612756"
"18","17","08:54","[ATL 9-11] Korver 3pt Shot: Made (3 PTS) Assist: Schroder (2 AST)","-227","115","3","0","1","1","","1610612737","2594","11","9","203471","1610612737"
"19","18","08:42","[PHX] Bledsoe Floating Jump shot: Missed","-30","46","2","0","78","2","","1610612756","202339","11","9","","1610612756"
"20","19","08:39","[ATL] Howard Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612737","2730","11","9","","1610612756"
"21","20","08:36","[ATL] Howard Turnover : Bad Pass (1 TO) Steal:Chandler (1 ST)","0","-80","1","0","1","5","2199","1610612737","2730","11","9","","1610612737"
"22","21","08:33","[ATL] Schroder Foul: Shooting Block (1 PF) (2 FTA) (H Workman)","-4","28","0","1","29","6","1626164","1610612737","203471","11","9","","1610612756"
"23","22","08:33","[PHX] Booker Free Throw 1 of 2 Missed","0","-80","2","1","11","3","","1610612756","1626164","11","9","","1610612756"
"24","23","08:33","[PHX] Team Rebound","0","-80","0","0","1","4","","1610612756","0","11","9","","1610612756"
"25","24","08:33","[PHX] Booker Free Throw 2 of 2 Missed","0","-80","2","1","12","3","","1610612756","1626164","11","9","","1610612756"
"26","26","08:31","[ATL] Muscala Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612737","203488","11","9","","1610612756"
"27","27","08:21","[PHX] Bledsoe Foul: Personal (1 PF) (B Spooner)","127","213","0","0","1","6","203471","1610612756","202339","11","9","","1610612737"
"28","28","08:16","[ATL] Bazemore Jump Shot: Missed","-22","160","2","0","1","2","","1610612737","203145","11","9","","1610612737"
"29","29","08:14","[ATL] Bazemore Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612737","203145","11","9","","1610612737"
"30","30","08:11","[ATL] Muscala Jump Shot: Missed","156","8","2","0","1","2","","1610612737","203488","11","9","","1610612737"
"31","32","08:09","[ATL] Howard Rebound (Off:1 Def:2)","0","-80","1","0","0","4","","1610612737","2730","11","9","","1610612737"
"32","31","08:09","[ATL 11-11] Howard Tip Layup Shot: Made (4 PTS)","-6","2","2","0","97","1","","1610612737","2730","11","11","","1610612737"
"33","33","08:00","[PHX 13-11] Chandler Running Layup Shot: Made (2 PTS) Assist: Booker (1 AST)","4","7","2","0","41","1","","1610612756","2199","13","11","1626164","1610612756"
"34","34","07:50","[ATL 13-13] Howard Jump Shot: Made (6 PTS) Assist: Bazemore (1 AST)","12","208","2","0","1","1","","1610612737","2730","13","13","203145","1610612737"
"35","35","07:34","[PHX] Chandler Jump Shot: Missed Block: Korver (1 BLK)","33","14","2","0","1","2","2594","1610612756","2199","13","13","","1610612756"
"36","39","07:34","[ATL] Schroder Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612737","203471","13","13","","1610612756"
"37","36","07:29","[ATL 16-13] Bazemore 3pt Shot: Made (3 PTS) Assist: Schroder (3 AST)","245","-1","3","1","1","1","","1610612737","203145","13","16","203471","1610612737"
"38","37","07:28","[PHX] Team Timeout : Regular","0","-80","0","0","1","9","","1610612756","0","13","16","","1610612756"
"39","42","07:14","[PHX] Bledsoe Jump Shot: Missed Block: Schroder (1 BLK)","-148","100","2","0","1","2","203471","1610612756","202339","13","16","","1610612756"
"40","43","07:12","[ATL] Schroder Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612737","203471","13","16","","1610612756"
"41","44","07:10","[ATL] Schroder Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","0","-80","0","0","45","5","","1610612737","203471","13","16","","1610612737"
"42","45","07:00","[PHX] Tucker Foul: Offensive (1 PF) (H Workman)","138","126","0","0","4","6","203471","1610612756","200782","13","16","","1610612756"
"43","46","07:00","[PHX] Tucker Turnover : Foul (1 TO)","0","-80","0","0","5","5","","1610612756","200782","13","16","","1610612756"
"44","47","06:43","[ATL] Schroder Turnover : Bad Pass (2 TO) Steal:Chandler (2 ST)","0","-80","1","0","1","5","2199","1610612737","203471","13","16","","1610612737"
"45","48","06:39","[PHX] Bledsoe Driving Layup Shot: Missed","4","11","2","1","42","2","","1610612756","202339","13","16","","1610612756"
"46","49","06:38","[ATL] Team Rebound","0","-80","0","0","0","4","","1610612737","0","13","16","","1610612756"
"47","50","06:22","[ATL 18-13] Schroder Floating Jump shot: Made (6 PTS)","61","2","2","0","78","1","","1610612737","203471","13","18","","1610612737"
"48","51","05:55","[PHX] Tucker 3pt Shot: Missed","-230","16","3","0","1","2","","1610612756","200782","13","18","","1610612756"
"49","52","05:54","[PHX] Bledsoe Rebound (Off:1 Def:1)","0","-80","1","0","0","4","","1610612756","202339","13","18","","1610612756"
"50","53","05:38","[PHX 15-18] Bledsoe Pullup Jump shot: Made (2 PTS)","163","16","2","0","79","1","","1610612756","202339","15","18","","1610612756"
"51","54","05:11","[ATL 20-15] Bazemore Step Back Jump shot: Made (5 PTS)","200","95","2","0","80","1","","1610612737","203145","15","20","","1610612737"
"52","55","04:59","[PHX] Chandler Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","0","-80","0","0","45","5","","1610612756","2199","15","20","","1610612756"
"53","56","04:59","[ATL] Muscala Substitution replaced by Scott","0","-80","0","0","0","8","","1610612737","203488","15","20","203118","1610612737"
"54","57","04:59","[PHX] Bledsoe Substitution replaced by Knight","0","-80","0","0","0","8","","1610612756","202339","15","20","202688","1610612737"
