"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Plumlee vs Turner (Teague gains possession)","0","-80","0","0","0","10","1626167","1610612757","203486","0","0","201952","1610612754"
"3","2","11:44","[IND 2-0] Turner Fadeaway Jump Shot: Made (2 PTS) Assist: Teague (1 AST)","-120","165","2","0","63","1","","1610612754","1626167","0","2","201952","1610612754"
"4","3","11:24","[POR] McCollum Layup Shot: Missed","-1","7","2","0","5","2","","1610612757","203468","0","2","","1610612757"
"5","5","11:24","[POR] Davis Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612757","202334","0","2","","1610612757"
"6","4","11:24","[POR] Davis Tip Layup Shot: Missed","-14","-11","2","0","97","2","","1610612757","202334","0","2","","1610612757"
"7","6","11:21","[POR] Davis Rebound (Off:2 Def:0)","0","-80","1","0","0","4","","1610612757","202334","0","2","","1610612757"
"8","7","11:16","[POR] Lillard Driving Floating Jump Shot: Missed","-30","31","2","0","101","2","","1610612757","203081","0","2","","1610612757"
"9","8","11:16","[IND] Turner Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612754","1626167","0","2","","1610612757"
"10","9","11:06","[IND] Teague Jump Shot: Missed","171","75","2","0","1","2","","1610612754","201952","0","2","","1610612754"
"11","10","11:05","[POR] Plumlee Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612757","203486","0","2","","1610612754"
"12","11","10:57","[POR] Plumlee Layup Shot: Missed","15","2","2","0","5","2","","1610612757","203486","0","2","","1610612757"
"13","12","10:56","[IND] Ellis Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612754","101145","0","2","","1610612757"
"14","13","10:48","[IND] Young Turnaround Hook Shot: Missed","-60","-5","2","0","58","2","","1610612754","201152","0","2","","1610612754"
"15","14","10:48","[IND] Team Rebound","0","-80","0","0","0","4","","1610612754","0","0","2","","1610612754"
"16","15","10:35","[IND] Teague Turnover : Bad Pass (1 TO) Steal:Lillard (1 ST)","0","-80","1","0","1","5","203081","1610612754","201952","0","2","","1610612754"
"17","16","10:29","[POR] Plumlee Running Layup Shot: Missed","9","21","2","1","41","2","","1610612757","203486","0","2","","1610612757"
"18","17","10:28","[POR] Plumlee Rebound (Off:1 Def:1)","0","-80","1","0","0","4","","1610612757","203486","0","2","","1610612757"
"19","18","10:26","[POR 2-2] Plumlee Layup Shot: Made (2 PTS)","-22","-1","2","0","5","1","","1610612757","203486","2","2","","1610612757"
"20","19","10:14","[IND 5-2] Robinson III 3pt Shot: Made (3 PTS) Assist: Ellis (1 AST)","-61","237","3","0","1","1","","1610612754","203922","2","5","101145","1610612754"
"21","20","09:47","[POR 4-5] Harkless Finger Roll Layup Shot: Made (2 PTS)","-30","0","2","0","71","1","","1610612757","203090","4","5","","1610612757"
"22","21","09:29","[IND] Young Floating Jump shot: Missed","6","51","2","0","78","2","","1610612754","201152","4","5","","1610612754"
"23","22","09:29","[POR] Lillard Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612757","203081","4","5","","1610612754"
"24","23","09:24","[POR 6-5] McCollum Running Layup Shot: Made (2 PTS) Assist: Lillard (1 AST)","-2","-5","2","1","41","1","","1610612757","203468","6","5","203081","1610612757"
"25","24","09:03","[IND] Teague Floating Jump shot: Missed","-76","11","2","0","78","2","","1610612754","201952","6","5","","1610612754"
"26","25","09:03","[IND] Team Rebound","0","-80","0","0","0","4","","1610612754","0","6","5","","1610612754"
"27","26","09:03","[POR] Harkless Foul: Loose Ball (1 PF) (C Kirkland)","4","41","0","0","3","6","1626167","1610612757","203090","6","5","","1610612754"
"28","28","08:49","[IND 7-6] Robinson III Jump Shot: Made (5 PTS) Assist: Teague (2 AST)","-89","141","2","0","1","1","","1610612754","203922","6","7","201952","1610612754"
"29","29","08:28","[POR] Harkless 3pt Shot: Missed","228","-6","3","0","1","2","","1610612757","203090","6","7","","1610612757"
"30","30","08:28","[IND] Turner Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612754","1626167","6","7","","1610612757"
"31","31","08:11","[IND] Turner Step Back Jump shot: Missed","-114","164","2","0","80","2","","1610612754","1626167","6","7","","1610612754"
"32","32","08:11","[POR] Lillard Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612757","203081","6","7","","1610612754"
"33","33","08:06","[POR] Plumlee Running Layup Shot: Missed","-17","11","2","1","41","2","","1610612757","203486","6","7","","1610612757"
"34","35","08:05","[POR] Harkless Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612757","203090","6","7","","1610612757"
"35","34","08:05","[POR 8-7] Harkless Tip Layup Shot: Made (4 PTS)","9","-1","2","1","97","1","","1610612757","203090","8","7","","1610612757"
"36","36","07:51","[IND] Teague Driving Layup Shot: Missed","4","3","2","0","42","2","","1610612754","201952","8","7","","1610612754"
"37","37","07:50","[IND] Turner Rebound (Off:1 Def:2)","0","-80","1","0","0","4","","1610612754","1626167","8","7","","1610612754"
"38","38","07:49","[IND 9-8] Turner Putback Layup Shot: Made (4 PTS)","0","13","2","0","72","1","","1610612754","1626167","8","9","","1610612754"
"39","39","07:29","[POR] Harkless Layup Shot: Missed","-1","-6","2","0","5","2","","1610612757","203090","8","9","","1610612757"
"40","40","07:29","[IND] Turner Rebound (Off:1 Def:3)","0","-80","0","0","0","4","","1610612754","1626167","8","9","","1610612757"
"41","42","07:17","[IND 11-8] Turner Jump Shot: Made (6 PTS) Assist: Teague (3 AST)","12","203","2","0","1","1","","1610612754","1626167","8","11","201952","1610612754"
"42","43","06:58","[POR] Harkless 3pt Shot: Missed","-235","7","3","0","1","2","","1610612757","203090","8","11","","1610612757"
"43","44","06:57","[POR] Davis Rebound (Off:3 Def:0)","0","-80","1","0","0","4","","1610612757","202334","8","11","","1610612757"
"44","45","06:57","[POR 10-11] Davis Putback Layup Shot: Made (2 PTS)","0","2","2","0","72","1","","1610612757","202334","10","11","","1610612757"
"45","46","06:40","[IND] Young Driving Layup Shot: Missed Block: Plumlee (1 BLK)","15","3","2","0","42","2","203486","1610612754","201152","10","11","","1610612754"
"46","47","06:39","[POR] Plumlee Rebound (Off:1 Def:2)","0","-80","0","0","0","4","","1610612757","203486","10","11","","1610612754"
"47","48","06:31","[POR 12-11] Lillard Driving Layup Shot: Made (2 PTS) Assist: Plumlee (1 AST)","-4","-5","2","0","42","1","","1610612757","203081","12","11","203486","1610612757"
"48","49","06:04","[IND] Teague Layup Shot: Missed","4","7","2","0","5","2","","1610612754","201952","12","11","","1610612754"
"49","50","06:04","[IND] Team Rebound","0","-80","0","0","0","4","","1610612754","0","12","11","","1610612754"
"50","52","06:04","[IND] Team Turnover : Shot Clock Turnover","0","-80","0","0","11","5","","1610612754","0","12","11","","1610612754"
"51","53","06:04","[POR] Team Timeout : Regular","0","-80","0","0","1","9","","1610612757","0","12","11","","1610612757"
"52","55","05:46","[POR 15-11] Harkless 3pt Shot: Made (7 PTS) Assist: McCollum (1 AST)","-228","7","3","0","1","1","","1610612757","203090","15","11","203468","1610612757"
"53","56","05:32","[POR] Lillard Foul: Shooting (1 PF) (2 FTA) (G Petraitis)","14","65","0","0","2","6","1626167","1610612757","203081","15","11","","1610612754"
"54","57","05:32","[IND 12-15] Turner Free Throw 1 of 2 (7 PTS)","0","-80","1","0","11","3","","1610612754","1626167","15","12","","1610612754"
"55","59","05:32","[IND] Young Substitution replaced by Allen","0","-80","0","0","0","8","","1610612754","201152","15","12","202730","1610612754"
"56","60","05:32","[IND] Robinson III Substitution replaced by Stuckey","0","-80","0","0","0","8","","1610612754","203922","15","12","201155","1610612754"
"57","61","05:32","[POR] Plumlee Substitution replaced by Leonard","0","-80","0","0","0","8","","1610612757","203486","15","12","203086","1610612754"
"58","62","05:32","[IND 13-15] Turner Free Throw 2 of 2 (8 PTS)","0","-80","1","0","12","3","","1610612754","1626167","15","13","","1610612754"
"59","64","05:18","[POR 17-13] Lillard Driving Reverse Layup Shot: Made (4 PTS)","20","7","2","0","73","1","","1610612757","203081","17","13","","1610612757"
"60","65","05:09","[IND] Turner Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","0","-80","0","0","45","5","","1610612754","1626167","17","13","","1610612754"
"61","66","05:09","[POR] McCollum Substitution replaced by Turner","0","-80","0","0","0","8","","1610612757","203468","17","13","202323","1610612757"
"62","67","05:09","[POR] Harkless Substitution replaced by Crabbe","0","-80","0","0","0","8","","1610612757","203090","17","13","203459","1610612757"
"63","72","05:09","[POR] Leonard Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612757","203086","17","13","","1610612757"
"64","74","05:09","[POR] Davis Layup Shot: Missed Block: Teague (1 BLK)","-10","-1","2","0","40","2","201952","1610612757","202334","17","13","","1610612757"
"65","68","04:49","[POR] Leonard Reverse Layup Shot: Missed Block: Allen (1 BLK)","-25","11","2","0","44","2","202730","1610612757","203086","17","13","","1610612757"
"66","69","04:48","[IND] Teague Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612754","201952","17","13","","1610612757"
"67","70","04:33","[IND] Turner Jump Shot: Missed Block: Davis (1 BLK)","48","16","2","0","1","2","202334","1610612754","1626167","17","13","","1610612754"
"68","71","04:32","[POR] Davis Rebound (Off:3 Def:1)","0","-80","0","0","0","4","","1610612757","202334","17","13","","1610612754"
"69","73","04:19","[POR 19-13] Turner Pullup Jump shot: Made (2 PTS)","-7","41","2","0","79","1","","1610612757","202323","19","13","","1610612757"
"70","75","04:10","[IND] Stuckey Pullup Jump shot: Missed","107","144","2","0","79","2","","1610612754","201155","19","13","","1610612754"
"71","76","04:09","[POR] Crabbe Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612757","203459","19","13","","1610612754"
"72","77","03:58","[POR 22-13] Leonard 3pt Shot: Made (3 PTS) Assist: Lillard (2 AST)","38","237","3","0","1","1","","1610612757","203086","22","13","203081","1610612757"
"73","78","03:51","[IND] Team Timeout : Regular","0","-80","0","0","1","9","","1610612754","0","22","13","","1610612754"
"74","80","03:51","[IND] Turner Substitution replaced by Jefferson","0","-80","0","0","0","8","","1610612754","1626167","22","13","2744","1610612754"
"75","81","03:33","[IND] Stuckey 3pt Shot: Missed","-91","229","3","0","1","2","","1610612754","201155","22","13","","1610612754"
"76","82","03:32","[POR] Lillard Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612757","203081","22","13","","1610612754"
"77","83","03:18","[POR] Lillard Turnover : Bad Pass (1 TO) Steal:Stuckey (1 ST)","0","-80","1","0","1","5","201155","1610612757","203081","22","13","","1610612757"
"78","84","03:16","[POR] Leonard Foul: Shooting (1 PF) (2 FTA) (E Malloy)","9","26","0","1","2","6","201155","1610612757","203086","22","13","","1610612754"
"79","85","03:16","[IND 14-22] Stuckey Free Throw 1 of 2 (1 PTS)","0","-80","1","1","11","3","","1610612754","201155","22","14","","1610612754"
"80","87","03:16","[IND 15-22] Stuckey Free Throw 2 of 2 (2 PTS)","0","-80","1","1","12","3","","1610612754","201155","22","15","","1610612754"
