"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Valanciunas vs Gasol (Green gains possession)","0","-80","0","0","0","10","201188","1610612761","202685","0","0","203210","1610612763"
"3","2","11:42","[MEM] Gasol Jump Shot: Missed","-148","65","2","0","1","2","","1610612763","201188","0","0","","1610612763"
"4","3","11:41","[TOR] Lowry Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612761","200768","0","0","","1610612763"
"5","4","11:28","[TOR] Valanciunas Alley Oop Dunk Shot: Missed","0","1","2","0","52","2","","1610612761","202685","0","0","","1610612761"
"6","5","11:28","[MEM] Harrison Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612763","1626150","0","0","","1610612761"
"7","6","11:17","[MEM 2-0] Allen Jump Shot: Made (2 PTS) Assist: Harrison (1 AST)","-53","203","2","0","1","1","","1610612763","2754","0","2","1626150","1610612763"
"8","7","10:54","[TOR] DeRozan Turnover : Lost Ball (1 TO) Steal:Harrison (1 ST)","0","-80","1","0","2","5","1626150","1610612761","201942","0","2","","1610612761"
"9","8","10:53","[MEM] Harrison Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","0","-80","0","0","45","5","","1610612763","1626150","0","2","","1610612763"
"10","9","10:42","[TOR] Valanciunas Foul: Offensive (1 PF) (S Wright)","-58","208","0","0","4","6","2754","1610612761","202685","0","2","","1610612761"
"11","10","10:42","[TOR] Valanciunas Turnover : Foul (1 TO)","0","-80","0","0","5","5","","1610612761","202685","0","2","","1610612761"
"12","11","10:28","[MEM] Williams 3pt Shot: Missed","-91","242","3","0","1","2","","1610612763","1627786","0","2","","1610612763"
"13","12","10:27","[MEM] Team Rebound","0","-80","0","0","0","4","","1610612763","0","0","2","","1610612763"
"14","13","10:26","[TOR] Siakam Foul: Shooting (1 PF) (2 FTA) (S Wright)","1","21","0","0","2","6","203210","1610612761","1627783","0","2","","1610612763"
"15","14","10:26","[MEM] Green Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612763","203210","0","2","","1610612763"
"16","15","10:26","[MEM] Team Rebound","0","-80","0","0","1","4","","1610612763","0","0","2","","1610612763"
"17","16","10:26","[MEM 3-0] Green Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612763","203210","0","3","","1610612763"
"18","18","10:06","[TOR] Carroll 3pt Shot: Missed","-204","136","3","0","1","2","","1610612761","201960","0","3","","1610612761"
"19","19","10:05","[MEM] Gasol Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612763","201188","0","3","","1610612761"
"20","20","09:57","[MEM 5-0] Green Cutting Layup Shot: Made (3 PTS) Assist: Allen (1 AST)","24","2","2","0","98","1","","1610612763","203210","0","5","2754","1610612763"
"21","22","09:39","[TOR 2-5] Lowry Driving Layup Shot: Made (2 PTS)","-7","13","2","0","42","1","","1610612761","200768","2","5","","1610612761"
"22","23","09:39","[MEM] Williams Foul: Shooting (1 PF) (1 FTA) (T Ford)","-7","13","0","0","2","6","200768","1610612763","1627786","2","5","","1610612761"
"23","24","09:39","[TOR 3-5] Lowry Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612761","200768","3","5","","1610612761"
"24","26","09:25","[MEM] Green 3pt Shot: Missed","-238","-1","3","0","1","2","","1610612763","203210","3","5","","1610612763"
"25","27","09:24","[TOR] DeRozan Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612761","201942","3","5","","1610612763"
"26","28","09:11","[TOR 5-5] Valanciunas Jump Shot: Made (2 PTS) Assist: DeRozan (1 AST)","-74","141","2","0","1","1","","1610612761","202685","5","5","201942","1610612761"
"27","29","08:58","[MEM 8-5] Harrison 3pt Shot: Made (3 PTS)","207","169","3","0","1","1","","1610612763","1626150","5","8","","1610612763"
"28","30","08:40","[TOR] Carroll Driving Floating Jump Shot: Missed Block: Green (1 BLK)","43","31","2","0","101","2","203210","1610612761","201960","5","8","","1610612761"
"29","31","08:38","[TOR] Siakam Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612761","1627783","5","8","","1610612761"
"30","32","08:35","[TOR 7-8] Siakam Jump Shot: Made (2 PTS)","-120","-6","2","0","1","1","","1610612761","1627783","7","8","","1610612761"
"31","33","08:15","[MEM 10-7] Williams Step Back Jump shot: Made (2 PTS)","4","213","2","0","80","1","","1610612763","1627786","7","10","","1610612763"
"32","35","08:08","[MEM] Harrison Foul: Shooting (1 PF) (2 FTA) (S Wright)","-96","41","0","0","2","6","200768","1610612763","1626150","7","10","","1610612761"
"33","36","08:08","[TOR 8-10] Lowry Free Throw 1 of 2 (4 PTS)","0","-80","1","0","11","3","","1610612761","200768","8","10","","1610612761"
"34","38","08:08","[TOR 9-10] Lowry Free Throw 2 of 2 (5 PTS)","0","-80","1","0","12","3","","1610612761","200768","9","10","","1610612761"
"35","40","07:45","[MEM 12-9] Williams Driving Bank Hook Shot: Made (4 PTS)","19","51","2","0","93","1","","1610612763","1627786","9","12","","1610612763"
"36","41","07:45","[TOR] Carroll Foul: Shooting (1 PF) (1 FTA) (M Smith)","19","51","0","0","2","6","1627786","1610612761","201960","9","12","","1610612763"
"37","42","07:45","[MEM 13-9] Williams Free Throw 1 of 1 (5 PTS)","0","-80","1","0","10","3","","1610612763","1627786","9","13","","1610612763"
"38","44","07:26","[TOR 12-13] DeRozan 3pt Shot: Made (3 PTS) Assist: Lowry (1 AST)","-228","2","3","0","1","1","","1610612761","201942","12","13","200768","1610612761"
"39","45","07:02","[MEM] Gasol 3pt Shot: Missed","84","239","3","0","1","2","","1610612763","201188","12","13","","1610612763"
"40","46","07:02","[TOR] DeRozan Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612761","201942","12","13","","1610612763"
"41","47","06:54","[TOR 15-13] Carroll 3pt Shot: Made (3 PTS) Assist: DeRozan (2 AST)","-209","121","3","0","46","1","","1610612761","201960","15","13","201942","1610612761"
"42","49","06:40","[MEM] Allen Turnover : Lost Ball (1 TO) Steal:Lowry (1 ST)","0","-80","1","0","2","5","200768","1610612763","2754","15","13","","1610612763"
"43","50","06:33","[TOR] Carroll 3pt Shot: Missed","199","169","3","0","46","2","","1610612761","201960","15","13","","1610612761"
"44","51","06:33","[MEM] Team Rebound","0","-80","0","0","0","4","","1610612763","0","15","13","","1610612761"
