"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Adams vs Gortat (Mark Morris gains possession)","0","-80","0","0","0","10","101162","1610612760","203500","0","0","202693","1610612764"
"3","2","11:39","[WAS 2-0] Mark Morris Step Back Jump shot: Made (2 PTS)","-19","120","2","0","80","1","","1610612764","202693","0","2","","1610612764"
"4","3","11:18","[OKC 2-2] Sabonis Jump Shot: Made (2 PTS) Assist: Oladipo (1 AST)","-120","46","2","0","1","1","","1610612760","1627734","2","2","203506","1610612760"
"5","4","11:01","[WAS] Wall 3pt Shot: Missed","-52","244","3","0","1","2","","1610612764","202322","2","2","","1610612764"
"6","5","11:00","[OKC] Sabonis Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612760","1627734","2","2","","1610612764"
"7","6","10:51","[OKC] Westbrook Driving Layup Shot: Missed","1","21","2","0","42","2","","1610612760","201566","2","2","","1610612760"
"8","9","10:50","[OKC] Team Rebound","0","-80","0","0","0","4","","1610612760","0","2","2","","1610612760"
"9","10","10:44","[OKC] Adams Driving Hook Shot: Missed","27","57","2","0","57","2","","1610612760","203500","2","2","","1610612760"
"10","11","10:44","[WAS] Gortat Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612764","101162","2","2","","1610612760"
"11","12","10:34","[WAS] Mark Morris Turnover : Bad Pass (1 TO) Steal:Sabonis (1 ST)","0","-80","1","0","1","5","1627734","1610612764","202693","2","2","","1610612764"
"12","13","10:30","[OKC 4-2] Westbrook Running Finger Roll Layup Shot: Made (2 PTS) Assist: Sabonis (1 AST)","2","11","2","1","76","1","","1610612760","201566","4","2","1627734","1610612760"
"13","14","10:01","[OKC] Adams Foul: Shooting (1 PF) (2 FTA) (B Forte)","-14","2","0","0","2","6","203078","1610612760","203500","4","2","","1610612764"
"14","15","10:01","[WAS 3-4] Beal Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612764","203078","4","3","","1610612764"
"15","17","10:01","[WAS] Beal Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612764","203078","4","3","","1610612764"
"16","19","10:01","[OKC] Westbrook Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612760","201566","4","3","","1610612764"
"17","20","09:55","[OKC 6-3] Roberson Layup Shot: Made (2 PTS) Assist: Westbrook (1 AST)","9","7","2","1","5","1","","1610612760","203460","6","3","201566","1610612760"
"18","21","09:41","[WAS 5-6] Beal Cutting Layup Shot: Made (3 PTS) Assist: Wall (1 AST)","-17","7","2","0","98","1","","1610612764","203078","6","5","202322","1610612764"
"19","22","09:28","[OKC 8-5] Oladipo Driving Floating Jump Shot: Made (2 PTS)","-2","57","2","0","101","1","","1610612760","203506","8","5","","1610612760"
"20","23","09:16","[WAS] Gortat Dunk Shot: Missed","0","1","2","0","7","2","","1610612764","101162","8","5","","1610612764"
"21","24","09:15","[WAS] Wall Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612764","202322","8","5","","1610612764"
"22","25","09:12","[WAS 8-8] Wall 3pt Shot: Made (3 PTS)","51","242","3","0","79","1","","1610612764","202322","8","8","","1610612764"
"23","26","09:05","[WAS] Gortat Foul: Personal Block (1 PF) (C Blair)","132","61","0","0","27","6","201566","1610612764","101162","8","8","","1610612760"
"24","27","08:59","[OKC] Westbrook Jump Shot: Missed","-137","56","2","0","1","2","","1610612760","201566","8","8","","1610612760"
"25","28","08:58","[WAS] Gortat Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612764","101162","8","8","","1610612760"
"26","29","08:48","[WAS] Gortat Layup Shot: Missed","-4","11","2","0","5","2","","1610612764","101162","8","8","","1610612764"
"27","30","08:48","[OKC] Adams Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612760","203500","8","8","","1610612764"
"28","31","08:35","[OKC 10-8] Oladipo Jump Shot: Made (4 PTS) Assist: Sabonis (2 AST)","-58","139","2","0","1","1","","1610612760","203506","10","8","1627734","1610612760"
"29","32","08:16","[WAS] Mark Morris Pullup Jump shot: Missed","-56","141","2","0","79","2","","1610612764","202693","10","8","","1610612764"
