"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Zeller vs Mejri","0","-80","0","0","0","10","1626257","1610612766","203469","0","0","","1610612766"
"3","2","11:52","[CHA 2-0] Batum Driving Bank shot: Made (2 PTS)","-147","46","2","0","82","1","","1610612766","201587","2","0","","1610612766"
"4","3","11:22","[DAL 2-2] Williams Step Back Jump shot: Made (2 PTS)","-148","110","2","0","80","1","","1610612742","101114","2","2","","1610612742"
"5","4","10:58","[CHA] Kidd-Gilchrist Jump Shot: Missed","138","11","2","0","1","2","","1610612766","203077","2","2","","1610612766"
"6","5","10:56","[DAL] Mejri Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612742","1626257","2","2","","1610612766"
"7","6","10:42","[DAL] Williams 3pt Shot: Missed","143","203","3","0","1","2","","1610612742","101114","2","2","","1610612742"
"8","7","10:41","[DAL] Mejri Rebound (Off:1 Def:1)","0","-80","1","0","0","4","","1610612742","1626257","2","2","","1610612742"
"9","8","10:29","[DAL] Matthews 3pt Shot: Missed","233","31","3","0","1","2","","1610612742","202083","2","2","","1610612742"
"10","9","10:26","[CHA] Zeller Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612766","203469","2","2","","1610612742"
"11","10","10:18","[CHA 4-2] Batum Jump Shot: Made (4 PTS) Assist: Walker (1 AST)","33","174","2","0","1","1","","1610612766","201587","4","2","202689","1610612766"
"12","11","10:01","[DAL] Barnes Jump Shot: Missed","-161","62","2","0","1","2","","1610612742","203084","4","2","","1610612742"
"13","12","10:01","[CHA] Team Rebound","0","-80","0","0","0","4","","1610612766","0","4","2","","1610612742"
"14","13","10:01","[DAL] Mejri Foul: Personal (1 PF) (K Fitzgerald)","4","783","0","0","1","6","203469","1610612742","1626257","4","2","","1610612766"
"15","14","09:45","[CHA 6-2] Kidd-Gilchrist Driving Layup Shot: Made (2 PTS)","9","7","2","0","42","1","","1610612766","203077","6","2","","1610612766"
"16","15","09:26","[DAL] Finney-Smith Turnover : Bad Pass (1 TO) Steal:Walker (1 ST)","0","-80","1","0","1","5","202689","1610612742","1627827","6","2","","1610612742"
"17","16","09:25","[DAL] Williams Foul: Personal (1 PF) (J Williams)","94","606","0","0","1","6","202689","1610612742","101114","6","2","","1610612766"
"18","17","09:07","[CHA] Kidd-Gilchrist Jump Shot: Missed","82","164","2","0","1","2","","1610612766","203077","6","2","","1610612766"
"19","18","09:05","[DAL] Finney-Smith Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612742","1627827","6","2","","1610612766"
"20","19","08:59","[CHA] Walker Foul: Personal (1 PF) (J Williams)","-56","95","0","1","1","6","101114","1610612766","202689","6","2","","1610612742"
"21","20","08:41","[DAL] Matthews 3pt Shot: Missed","58","267","3","0","1","2","","1610612742","202083","6","2","","1610612742"
"22","21","08:40","[CHA] Team Rebound","0","-80","0","0","0","4","","1610612766","0","6","2","","1610612742"
