"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Thompson vs Jordan (Paul gains possession)","0","-80","0","0","0","10","201599","1610612739","202684","0","0","101108","1610612746"
"3","2","11:45","[LAC] Griffin Reverse Layup Shot: Missed","9","7","2","0","44","2","","1610612746","201933","0","0","","1610612746"
"4","3","11:43","[CLE] Smith Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612739","2747","0","0","","1610612746"
"5","4","11:31","[CLE 3-0] Smith 3pt Shot: Made (3 PTS) Assist: James (1 AST)","-212","198","3","0","1","1","","1610612739","2747","3","0","2544","1610612739"
"6","5","11:11","[LAC] Redick Driving Floating Jump Shot: Missed","-55","16","2","0","101","2","","1610612746","200755","3","0","","1610612746"
"7","6","11:09","[CLE] Smith Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612739","2747","3","0","","1610612746"
"8","7","11:09","[LAC] Paul Foul: Personal (1 PF) (S Wright)","-2","411","0","0","1","6","202681","1610612746","101108","3","0","","1610612739"
"9","8","10:52","[CLE] Irving Step Back Jump shot: Missed","-133","-6","2","0","80","2","","1610612739","202681","3","0","","1610612739"
"10","9","10:52","[CLE] Team Rebound","0","-80","0","0","0","4","","1610612739","0","3","0","","1610612739"
"11","11","10:49","[CLE] Love 3pt Shot: Missed","-237","95","3","0","1","2","","1610612739","201567","3","0","","1610612739"
"12","12","10:48","[LAC] Jordan Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612746","201599","3","0","","1610612739"
"13","13","10:36","[LAC 2-3] Redick Jump Shot: Made (2 PTS) Assist: Griffin (1 AST)","181","-21","2","0","1","1","","1610612746","200755","3","2","201933","1610612746"
"14","14","10:22","[CLE 5-2] Love Turnaround Jump Shot: Made (2 PTS) Assist: James (2 AST)","-161","16","2","0","47","1","","1610612739","201567","5","2","2544","1610612739"
"15","15","09:58","[LAC] Griffin Jump Shot: Missed","125","134","2","0","1","2","","1610612746","201933","5","2","","1610612746"
"16","16","09:58","[CLE] Irving Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612739","202681","5","2","","1610612746"
"17","17","09:50","[CLE 7-2] Irving Turnaround Jump Shot: Made (2 PTS)","-137","105","2","0","47","1","","1610612739","202681","7","2","","1610612739"
"18","18","09:36","[LAC 5-7] Redick 3pt Shot: Made (5 PTS) Assist: Griffin (2 AST)","87","232","3","0","1","1","","1610612746","200755","7","5","201933","1610612746"
"19","19","09:24","[LAC] Redick Foul: Personal (1 PF) (E Lewis)","-138","-21","0","0","1","6","202681","1610612746","200755","7","5","","1610612739"
"20","20","09:13","[CLE] James Jump Shot: Missed","-132","56","2","0","1","2","","1610612739","2544","7","5","","1610612739"
"21","21","09:13","[CLE] Team Rebound","0","-80","0","0","0","4","","1610612739","0","7","5","","1610612739"
"22","22","09:13","[LAC] Mbah a Moute Foul: Loose Ball (1 PF) (S Wright)","-53","2","0","0","3","6","202684","1610612746","201601","7","5","","1610612739"
"23","23","09:10","[CLE] Irving Driving Layup Shot: Missed","-6","13","2","0","42","2","","1610612739","202681","7","5","","1610612739"
"24","25","09:08","[CLE] James Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612739","2544","7","5","","1610612739"
"25","24","09:08","[CLE] James Tip Layup Shot: Missed","-2","-5","2","0","97","2","","1610612739","2544","7","5","","1610612739"
"26","26","09:07","[LAC] Griffin Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612746","201933","7","5","","1610612739"
"27","27","09:04","[LAC 7-7] Redick Running Layup Shot: Made (7 PTS) Assist: Paul (1 AST)","15","9","2","1","41","1","","1610612746","200755","7","7","101108","1610612746"
"28","28","08:55","[CLE 9-7] Irving Driving Bank shot: Made (4 PTS)","-88","41","2","0","82","1","","1610612739","202681","9","7","","1610612739"
"29","29","08:39","[LAC 9-9] Griffin Jump Shot: Made (2 PTS) Assist: Paul (2 AST)","30","154","2","0","1","1","","1610612746","201933","9","9","101108","1610612746"
"30","30","08:23","[LAC] Jordan Foul: Shooting (1 PF) (2 FTA) (G Zielinski)","-2","41","0","0","2","6","2544","1610612746","201599","9","9","","1610612739"
"31","31","08:23","[CLE 10-9] James Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612739","2544","10","9","","1610612739"
