"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Lopez vs Thompson (Gibson gains possession)","0","-80","0","0","0","10","202684","1610612741","201577","0","0","201959","1610612741"
"3","2","11:38","[CHI 2-0] Gibson Driving Hook Shot: Made (2 PTS)","12","47","2","0","57","1","","1610612741","201959","2","0","","1610612741"
"4","3","11:28","[CLE] Irving Turnover : Lost Ball (1 TO) Steal:Rondo (1 ST)","0","-80","1","0","2","5","200765","1610612739","202681","2","0","","1610612739"
"5","4","11:23","[CHI 4-0] Rondo Driving Layup Shot: Made (2 PTS) Assist: Wade (1 AST)","-4","13","2","1","42","1","","1610612741","200765","4","0","2548","1610612741"
"6","5","11:09","[CLE] Love Turnover : Out of Bounds Lost Ball Turnover (1 TO)","0","-80","0","0","40","5","","1610612739","201567","4","0","","1610612739"
"7","6","10:49","[CHI] Lopez Hook Shot: Missed","-19","33","2","0","3","2","","1610612741","201577","4","0","","1610612741"
"8","8","10:47","[CHI] Lopez Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612741","201577","4","0","","1610612741"
"9","7","10:47","[CHI] Lopez Tip Layup Shot: Missed","-4","13","2","0","97","2","","1610612741","201577","4","0","","1610612741"
"10","10","10:46","[CHI] Lopez Rebound (Off:2 Def:0)","0","-80","1","0","0","4","","1610612741","201577","4","0","","1610612741"
"11","9","10:46","[CHI] Lopez Tip Layup Shot: Missed","-6","11","2","0","97","2","","1610612741","201577","4","0","","1610612741"
"12","11","10:46","[CLE] Love Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612739","201567","4","0","","1610612741"
"13","12","10:38","[CLE 3-4] Smith 3pt Shot: Made (3 PTS) Assist: Irving (1 AST)","-133","219","3","0","1","1","","1610612739","2747","4","3","202681","1610612739"
"14","13","10:15","[CHI] Butler 3pt Shot: Missed","-186","174","3","0","1","2","","1610612741","202710","4","3","","1610612741"
"15","14","10:15","[CLE] Love Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612739","201567","4","3","","1610612741"
