"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Howard vs Drummond (Sefolosha gains possession)","0","-80","0","0","0","10","203083","1610612737","2730","0","0","200757","1610612737"
"3","2","11:46","[ATL] Schroder Pullup Jump shot: Missed","10","124","2","0","79","2","","1610612737","203471","0","0","","1610612737"
"4","3","11:45","[DET] Smith Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612765","202397","0","0","","1610612737"
"5","4","11:37","[DET 2-0] Drummond Hook Shot: Made (2 PTS) Assist: Smith (1 AST)","-9","56","2","0","3","1","","1610612765","203083","0","2","202397","1610612765"
"6","5","11:20","[ATL] Bazemore 3pt Shot: Missed","-223","13","3","0","1","2","","1610612737","203145","0","2","","1610612737"
"7","6","11:19","[DET] Harris Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612765","202699","0","2","","1610612737"
"8","7","11:01","[DET] Harris Turnaround Bank shot: Missed","109","33","2","0","85","2","","1610612765","202699","0","2","","1610612765"
"9","8","11:00","[ATL] Sefolosha Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612737","200757","0","2","","1610612765"
"10","9","10:47","[ATL] Bazemore Pullup Jump shot: Missed","-86","31","2","0","79","2","","1610612737","203145","0","2","","1610612737"
"11","10","10:46","[DET] Team Rebound","0","-80","0","0","0","4","","1610612765","0","0","2","","1610612737"
"12","11","10:33","[DET] Marc Morris Step Back Jump shot: Missed","112","111","2","0","80","2","","1610612765","202694","0","2","","1610612765"
"13","12","10:32","[ATL] Bazemore Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612737","203145","0","2","","1610612765"
"14","13","10:25","[ATL] Schroder 3pt Shot: Missed","-43","244","3","0","80","2","","1610612737","203471","0","2","","1610612737"
"15","14","10:19","[DET] Caldwell-Pope Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612765","203484","0","2","","1610612737"
