"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Davis vs Jordan (Paul gains possession)","0","-80","0","0","0","10","201599","1610612740","203076","0","0","101108","1610612746"
"3","3","11:43","[LAC] Griffin Jump Shot: Missed","-56","13","2","0","1","2","","1610612746","201933","0","0","","1610612746"
"4","4","11:42","[NOP] Asik Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612740","201600","0","0","","1610612746"
"5","5","11:19","[NOP] Team Violation : Delay Of Game (M Davis)","0","-80","0","0","1","7","","1610612740","0","0","0","","1610612740"
"6","7","11:14","[NOP] Team Turnover : Shot Clock Turnover","0","-80","0","0","11","5","","1610612740","0","0","0","","1610612740"
"7","8","11:02","[LAC] Felton Jump Shot: Missed","1","151","2","0","1","2","","1610612746","101109","0","0","","1610612746"
"8","9","11:01","[NOP] Asik Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612740","201600","0","0","","1610612746"
"9","10","10:54","[NOP 2-0] Frazier Jump Shot: Made (2 PTS)","53","7","2","0","1","1","","1610612740","204025","2","0","","1610612740"
"10","11","10:46","[LAC 2-2] Griffin Jump Shot: Made (2 PTS) Assist: Felton (1 AST)","104","165","2","0","1","1","","1610612746","201933","2","2","101109","1610612746"
"11","12","10:33","[NOP] Davis Jump Shot: Missed","40","65","2","0","1","2","","1610612740","203076","2","2","","1610612740"
"12","13","10:32","[LAC] Mbah a Moute Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612746","201601","2","2","","1610612740"
"13","14","10:22","[NOP] Frazier Foul: Shooting (1 PF) (2 FTA) (D Collins)","-127","124","0","0","2","6","101108","1610612740","204025","2","2","","1610612746"
"14","15","10:22","[LAC 3-2] Paul Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612746","101108","2","3","","1610612746"
"15","16","10:22","[LAC 4-2] Paul Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612746","101108","2","4","","1610612746"
"16","18","10:06","[NOP] Davis Jump Shot: Missed","-35","46","2","0","1","2","","1610612740","203076","2","4","","1610612740"
"17","19","10:06","[NOP] Davis Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612740","203076","2","4","","1610612740"
"18","20","10:06","[NOP 4-4] Davis Dunk Shot: Made (2 PTS)","0","1","2","0","7","1","","1610612740","203076","4","4","","1610612740"
"19","21","10:06","[NOP] Team Violation : Delay Of Game (M Davis)","0","-80","0","0","1","7","","1610612740","0","4","4","","1610612746"
"20","23","09:44","[LAC 6-4] Jordan Reverse Dunk Shot: Made (2 PTS) Assist: Griffin (1 AST)","0","1","2","0","51","1","","1610612746","201599","4","6","201933","1610612746"
"21","24","09:44","[NOP] Frazier Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","0","-80","0","0","45","5","","1610612740","204025","4","6","","1610612740"
"22","25","09:30","[LAC] Griffin Jump Shot: Missed","-102","85","2","0","1","2","","1610612746","201933","4","6","","1610612746"
"23","26","09:30","[NOP] S Hill Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612740","203524","4","6","","1610612746"
"24","27","09:15","[NOP] Asik Jump Shot: Missed Block: Griffin (1 BLK)","-35","21","2","0","1","2","201933","1610612740","201600","4","6","","1610612740"
"25","28","09:11","[LAC] Griffin Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612746","201933","4","6","","1610612740"
"26","29","08:59","[LAC 8-4] Felton Jump Shot: Made (2 PTS)","-127","159","2","0","1","1","","1610612746","101109","4","8","","1610612746"
"27","30","08:45","[NOP 6-8] Davis Jump Shot: Made (4 PTS) Assist: Frazier (1 AST)","56","120","2","0","1","1","","1610612740","203076","6","8","204025","1610612740"
"28","33","08:22","[LAC] Felton Turnover : Lost Ball (1 TO) Steal:Holiday (1 ST)","0","-80","1","0","2","5","201950","1610612746","101109","6","8","","1610612746"
"29","34","08:17","[NOP] Frazier Layup Shot: Missed","20","11","2","0","5","2","","1610612740","204025","6","8","","1610612740"
"30","35","08:16","[LAC] Felton Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612746","101109","6","8","","1610612740"
"31","36","08:04","[LAC] Mbah a Moute Jump Shot: Missed","32","23","2","0","1","2","","1610612746","201601","6","8","","1610612746"
"32","37","08:04","[LAC] Jordan Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612746","201599","6","8","","1610612746"
