"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Valanciunas vs Howard (Carroll gains possession)","0","-80","0","0","0","10","2730","1610612761","202685","0","0","201960","1610612761"
"3","2","11:43","[TOR 2-0] DeRozan Turnaround Fadeaway shot: Made (2 PTS)","-47","95","2","0","86","1","","1610612761","201942","2","0","","1610612761"
"4","3","11:27","[ATL] Korver Pullup Jump shot: Missed","105","149","2","0","79","2","","1610612737","2594","2","0","","1610612737"
"5","4","11:27","[ATL] Team Rebound","0","-80","0","0","0","4","","1610612737","0","2","0","","1610612737"
"6","5","11:27","[TOR] Valanciunas Foul: Loose Ball (1 PF) (T Washington)","-2","31","0","0","3","6","2730","1610612761","202685","2","0","","1610612737"
"7","6","11:23","[ATL 2-2] Bazemore Cutting Layup Shot: Made (2 PTS) Assist: Korver (1 AST)","17","11","2","0","98","1","","1610612737","203145","2","2","2594","1610612737"
"8","8","11:04","[ATL] Howard Violation:Defensive Goaltending (T Washington)","0","-80","0","0","2","7","","1610612737","2730","2","2","","1610612761"
"9","7","11:04","[TOR 4-2] DeRozan Floating Jump shot: Made (4 PTS)","-70","16","2","0","78","1","","1610612761","201942","4","2","","1610612761"
"10","9","11:04","[ATL] Bazemore Foul: Shooting (1 PF) (1 FTA) (T Washington)","-70","16","0","0","2","6","201942","1610612737","203145","4","2","","1610612761"
"11","10","11:04","[TOR] DeRozan Free Throw 1 of 1 Missed","0","-80","2","0","10","3","","1610612761","201942","4","2","","1610612761"
"12","12","11:02","[ATL] Bazemore Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612737","203145","4","2","","1610612761"
"13","13","10:43","[ATL] Howard Jump Shot: Missed","148","57","2","0","1","2","","1610612737","2730","4","2","","1610612737"
"14","14","10:42","[TOR] Lowry Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612761","200768","4","2","","1610612737"
"15","15","10:28","[TOR 6-2] Siakam Turnaround Hook Shot: Made (2 PTS)","10","28","2","0","58","1","","1610612761","1627783","6","2","","1610612761"
"16","16","10:20","[ATL 4-6] Muscala Running Reverse Layup Shot: Made (2 PTS) Assist: Schroder (1 AST)","32","16","2","0","74","1","","1610612737","203488","6","4","203471","1610612737"
"17","17","10:07","[TOR] Valanciunas Foul: Offensive Charge (2 PF) (N Buchert)","-55","23","0","0","26","6","203471","1610612761","202685","6","4","","1610612761"
"18","18","10:07","[TOR] Valanciunas Turnover : Foul (1 TO)","0","-80","0","0","5","5","","1610612761","202685","6","4","","1610612761"
"19","19","10:07","[TOR] Valanciunas Substitution replaced by Nogueira","0","-80","0","0","0","8","","1610612761","202685","6","4","203512","1610612737"
"20","20","10:07","[ATL] Schroder Substitution replaced by Delaney","0","-80","0","0","0","8","","1610612737","203471","6","4","1627098","1610612737"
"21","21","09:52","[ATL] Howard Hook Shot: Missed","69","16","2","0","3","2","","1610612737","2730","6","4","","1610612737"
"22","22","09:51","[TOR] Lowry Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612761","200768","6","4","","1610612737"
"23","23","09:32","[TOR] DeRozan Turnover : Bad Pass (1 TO) Steal:Muscala (1 ST)","0","-80","1","0","1","5","203488","1610612761","201942","6","4","","1610612761"
"24","24","09:26","[ATL 6-6] Bazemore Pullup Jump shot: Made (4 PTS)","-6","160","2","1","79","1","","1610612737","203145","6","6","","1610612737"
"25","25","09:01","[TOR] Lowry Driving Finger Roll Layup Shot: Missed","-12","3","2","0","75","2","","1610612761","200768","6","6","","1610612761"
"26","26","09:01","[ATL] Muscala Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612737","203488","6","6","","1610612761"
"27","27","09:00","[ATL] Delaney Turnover : Step Out of Bounds Turnover (1 TO)","0","-80","0","0","39","5","","1610612737","1627098","6","6","","1610612737"
"28","28","09:00","[ATL] Delaney Substitution replaced by Schroder","0","-80","0","0","0","8","","1610612737","1627098","6","6","203471","1610612761"
"29","29","08:48","[TOR 8-6] Lowry Jump Shot: Made (2 PTS)","168","151","2","0","1","1","","1610612761","200768","8","6","","1610612761"
"30","30","08:35","[ATL 8-8] Schroder Driving Floating Bank Jump Shot: Made (2 PTS)","-110","56","2","0","102","1","","1610612737","203471","8","8","","1610612737"
"31","31","08:25","[TOR] Lowry Turnover : Bad Pass (1 TO) Steal:Muscala (2 ST)","0","-80","1","0","1","5","203488","1610612761","200768","8","8","","1610612761"
"32","32","08:17","[ATL 10-8] Schroder Driving Layup Shot: Made (4 PTS)","-20","11","2","0","42","1","","1610612737","203471","8","10","","1610612737"
"33","33","08:17","[TOR] Siakam Foul: Shooting (1 PF) (1 FTA) (T Washington)","-20","11","0","0","2","6","203471","1610612761","1627783","8","10","","1610612737"
"34","34","08:17","[ATL 11-8] Schroder Free Throw 1 of 1 (5 PTS)","0","-80","1","0","10","3","","1610612737","203471","8","11","","1610612737"
"35","36","07:53","[TOR] Team Turnover : Shot Clock Turnover","0","-80","0","0","11","5","","1610612761","0","8","11","","1610612761"
"36","37","07:37","[ATL 13-8] Schroder Driving Floating Jump Shot: Made (7 PTS)","48","33","2","0","101","1","","1610612737","203471","8","13","","1610612737"
"37","38","07:18","[TOR] Carroll Driving Hook Shot: Missed","17","65","2","0","57","2","","1610612761","201960","8","13","","1610612761"
"38","39","07:18","[ATL] Howard Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612737","2730","8","13","","1610612761"
"39","40","07:06","[ATL] Howard Hook Bank Shot: Missed","60","18","2","0","67","2","","1610612737","2730","8","13","","1610612737"
"40","41","07:05","[TOR] Carroll Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612761","201960","8","13","","1610612737"
"41","42","07:00","[ATL] Howard Foul: Shooting (1 PF) (2 FTA) (A Smith)","155","51","0","1","2","6","201942","1610612737","2730","8","13","","1610612761"
"42","43","07:00","[TOR 9-13] DeRozan Free Throw 1 of 2 (5 PTS)","0","-80","1","1","11","3","","1610612761","201942","9","13","","1610612761"
"43","45","07:00","[ATL] Howard Substitution replaced by Scott","0","-80","0","0","0","8","","1610612737","2730","9","13","203118","1610612761"
"44","46","07:00","[ATL] Bazemore Substitution replaced by Sefolosha","0","-80","0","0","0","8","","1610612737","203145","9","13","200757","1610612761"
"45","47","07:00","[TOR 10-13] DeRozan Free Throw 2 of 2 (6 PTS)","0","-80","1","1","12","3","","1610612761","201942","10","13","","1610612761"
"46","49","06:49","[ATL] Schroder Pullup Jump shot: Missed","-43","151","2","0","79","2","","1610612737","203471","10","13","","1610612737"
"47","50","06:49","[TOR] Nogueira Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612761","203512","10","13","","1610612737"
"48","51","06:36","[TOR 12-13] DeRozan Driving Floating Jump Shot: Made (8 PTS)","25","18","2","0","101","1","","1610612761","201942","12","13","","1610612761"
"49","52","06:25","[ATL] Muscala 3pt Shot: Missed","6","249","3","0","1","2","","1610612737","203488","12","13","","1610612737"
"50","53","06:25","[TOR] Siakam Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612761","1627783","12","13","","1610612737"
"51","55","06:14","[TOR] DeRozan Driving Floating Bank Jump Shot: Missed","66","47","2","0","102","2","","1610612761","201942","12","13","","1610612761"
"52","56","06:13","[TOR] Siakam Rebound (Off:1 Def:1)","0","-80","1","0","0","4","","1610612761","1627783","12","13","","1610612761"
"53","57","06:10","[TOR 14-13] Siakam Hook Shot: Made (4 PTS)","4","18","2","0","3","1","","1610612761","1627783","14","13","","1610612761"
"54","58","05:50","[ATL] Sefolosha Pullup Jump shot: Missed","145","65","2","0","79","2","","1610612737","200757","14","13","","1610612737"
"55","59","05:50","[TOR] Lowry Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612761","200768","14","13","","1610612737"
"56","60","05:37","[ATL] Muscala Foul: Shooting (1 PF) (2 FTA) (N Buchert)","-138","95","0","0","2","6","201942","1610612737","203488","14","13","","1610612761"
"57","61","05:37","[TOR] Team Timeout : Regular","0","-80","0","0","1","9","","1610612761","0","14","13","","1610612761"
"58","64","05:37","[TOR 15-13] DeRozan Free Throw 1 of 2 (9 PTS)","0","-80","1","0","11","3","","1610612761","201942","15","13","","1610612761"
"59","66","05:37","[TOR 16-13] DeRozan Free Throw 2 of 2 (10 PTS)","0","-80","1","0","12","3","","1610612761","201942","16","13","","1610612761"
"60","69","05:24","[ATL] Scott 3pt Shot: Missed","240","2","3","0","1","2","","1610612737","203118","16","13","","1610612737"
"61","70","05:22","[ATL] Sefolosha Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612737","200757","16","13","","1610612737"
"62","71","05:15","[ATL] Schroder Driving Finger Roll Layup Shot: Missed Block: Nogueira (1 BLK)","15","43","2","0","75","2","203512","1610612737","203471","16","13","","1610612737"
"63","72","05:13","[TOR] Siakam Rebound (Off:1 Def:2)","0","-80","0","0","0","4","","1610612761","1627783","16","13","","1610612737"
"64","73","05:06","[TOR] Carroll 3pt Shot: Missed","236","47","3","0","1","2","","1610612761","201960","16","13","","1610612761"
"65","74","05:05","[ATL] Scott Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612737","203118","16","13","","1610612761"
"66","75","04:59","[ATL] Schroder Pullup Jump shot: Missed","86","154","2","1","79","2","","1610612737","203471","16","13","","1610612737"
"67","76","04:59","[TOR] Nogueira Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612761","203512","16","13","","1610612737"
"68","77","04:51","[TOR 18-13] Lowry Driving Layup Shot: Made (4 PTS)","15","8","2","0","42","1","","1610612761","200768","18","13","","1610612761"
"69","78","04:42","[ATL] Scott 3pt Shot: Missed","-11","247","3","0","1","2","","1610612737","203118","18","13","","1610612737"
"70","79","04:41","[TOR] DeRozan Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612761","201942","18","13","","1610612737"
"71","80","04:23","[TOR 20-13] DeRozan Driving Floating Bank Jump Shot: Made (12 PTS)","63","21","2","0","102","1","","1610612761","201942","20","13","","1610612761"
"72","81","04:08","[ATL 16-20] Muscala 3pt Shot: Made (5 PTS) Assist: Scott (1 AST)","10","242","3","0","1","1","","1610612737","203488","20","16","203118","1610612737"
"73","83","03:50","[TOR 23-16] Lowry 3pt Shot: Made (7 PTS)","225","116","3","0","79","1","","1610612761","200768","23","16","","1610612761"
"74","84","03:49","[ATL] Team Timeout : Regular","0","-80","0","0","1","9","","1610612737","0","23","16","","1610612737"
"75","87","03:49","[ATL] Korver Substitution replaced by Hardaway Jr.","0","-80","0","0","0","8","","1610612737","2594","23","16","203501","1610612737"
"76","88","03:49","[ATL] Scott Substitution replaced by Bazemore","0","-80","0","0","0","8","","1610612737","203118","23","16","203145","1610612737"
"77","89","03:49","[TOR] Siakam Substitution replaced by Joseph","0","-80","0","0","0","8","","1610612761","1627783","23","16","202709","1610612737"
"78","90","03:49","[TOR] Lowry Substitution replaced by Patterson","0","-80","0","0","0","8","","1610612761","200768","23","16","202335","1610612737"
"79","91","03:33","[ATL 19-23] Sefolosha 3pt Shot: Made (3 PTS) Assist: Hardaway Jr. (1 AST)","-232","-6","3","0","1","1","","1610612737","200757","23","19","203501","1610612737"
"80","92","03:19","[TOR 26-19] Carroll 3pt Shot: Made (3 PTS) Assist: Joseph (1 AST)","205","146","3","0","1","1","","1610612761","201960","26","19","202709","1610612761"
"81","94","02:55","[ATL] Muscala Turnover : Bad Pass (1 TO) Steal:Carroll (1 ST)","0","-80","1","0","1","5","201960","1610612737","203488","26","19","","1610612737"
"82","95","02:36","[TOR 28-19] Joseph Driving Floating Jump Shot: Made (2 PTS)","-19","21","2","0","101","1","","1610612761","202709","28","19","","1610612761"
"83","96","02:35","[ATL] Schroder Turnover : Traveling (1 TO)","0","-80","0","0","4","5","","1610612737","203471","28","19","","1610612737"
"84","97","02:35","[ATL] Muscala Substitution replaced by Howard","0","-80","0","0","0","8","","1610612737","203488","28","19","2730","1610612761"
"85","98","02:35","[ATL] Schroder Substitution replaced by Delaney","0","-80","0","0","0","8","","1610612737","203471","28","19","1627098","1610612761"
"86","99","02:22","[TOR] Carroll Driving Floating Jump Shot: Missed","42","75","2","0","101","2","","1610612761","201960","28","19","","1610612761"
"87","100","02:21","[TOR] Nogueira Rebound (Off:1 Def:2)","0","-80","1","0","0","4","","1610612761","203512","28","19","","1610612761"
"88","101","02:12","[TOR] Joseph Driving Floating Jump Shot: Missed","69","87","2","0","101","2","","1610612761","202709","28","19","","1610612761"
"89","102","02:11","[ATL] Sefolosha Rebound (Off:1 Def:1)","0","-80","0","0","0","4","","1610612737","200757","28","19","","1610612761"
"90","103","01:59","[ATL 21-28] Howard Layup Shot: Made (2 PTS) Assist: Sefolosha (1 AST)","17","8","2","0","5","1","","1610612737","2730","28","21","200757","1610612737"
"91","104","01:43","[TOR 30-21] DeRozan Fadeaway Jump Shot: Made (14 PTS)","132","-1","2","0","63","1","","1610612761","201942","30","21","","1610612761"
"92","105","01:26","[ATL] Sefolosha Turnover : Bad Pass (1 TO) Steal:Nogueira (1 ST)","0","-80","1","0","1","5","203512","1610612737","200757","30","21","","1610612737"
"93","106","01:14","[TOR] Carroll 3pt Shot: Missed","228","144","3","0","1","2","","1610612761","201960","30","21","","1610612761"
"94","107","01:13","[ATL] Howard Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612737","2730","30","21","","1610612761"
"95","109","00:59.2","[TOR] Nogueira Foul: Shooting (1 PF) (2 FTA) (N Buchert)","32","11","0","0","2","6","203501","1610612761","203512","30","21","","1610612737"
"96","110","00:59.2","[ATL] Hardaway Jr. Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612737","203501","30","21","","1610612737"
"97","111","00:59.2","[ATL] Team Rebound","0","-80","0","0","1","4","","1610612737","0","30","21","","1610612737"
