"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Henson vs Lopez (Whitehead gains possession)","0","-80","0","0","0","10","201572","1610612749","203089","0","0","1627785","1610612751"
"3","2","11:32","[BKN] Kilpatrick 3pt Shot: Missed","96","242","3","0","1","2","","1610612751","203930","0","0","","1610612751"
"4","3","11:31","[MIL] Dellavedova Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612749","203521","0","0","","1610612751"
"5","4","11:26","[MIL] Parker 3pt Shot: Missed","-233","-11","3","1","1","2","","1610612749","203953","0","0","","1610612749"
"6","5","11:24","[BKN] Lopez Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612751","201572","0","0","","1610612749"
"7","6","11:11","[BKN] Lopez 3pt Shot: Missed","-173","232","3","0","1","2","","1610612751","201572","0","0","","1610612751"
"8","7","11:10","[BKN] Bennett Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612751","203461","0","0","","1610612751"
"9","8","11:03","[BKN 2-0] Bogdanovic Driving Layup Shot: Made (2 PTS)","2","2","2","0","42","1","","1610612751","202711","0","2","","1610612751"
"10","9","10:47","[MIL 2-2] Henson Dunk Shot: Made (2 PTS) Assist: Parker (1 AST)","0","1","2","0","7","1","","1610612749","203089","2","2","203953","1610612749"
"11","10","10:28","[BKN] Lopez Hook Shot: Missed","-88","33","2","0","3","2","","1610612751","201572","2","2","","1610612751"
"12","11","10:27","[BKN] Bennett Rebound (Off:2 Def:0)","0","-80","1","0","0","4","","1610612751","203461","2","2","","1610612751"
"13","12","10:26","[BKN 4-2] Bennett Putback Layup Shot: Made (2 PTS)","1","2","2","0","72","1","","1610612751","203461","2","4","","1610612751"
"14","13","10:09","[MIL] Henson Layup Shot: Missed","-4","2","2","0","5","2","","1610612749","203089","2","4","","1610612749"
"15","14","10:07","[BKN] Bogdanovic Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612751","202711","2","4","","1610612749"
"16","15","10:05","[MIL] Dellavedova Foul: Shooting (1 PF) (2 FTA) (K Fitzgerald)","-29","7","0","1","2","6","202711","1610612749","203521","2","4","","1610612751"
"17","16","10:05","[BKN] Bogdanovic Free Throw 1 of 2 Missed","0","-80","2","1","11","3","","1610612751","202711","2","4","","1610612751"
"18","17","10:05","[BKN] Team Rebound","0","-80","0","0","1","4","","1610612751","0","2","4","","1610612751"
"19","18","10:05","[BKN 5-2] Bogdanovic Free Throw 2 of 2 (3 PTS)","0","-80","1","1","12","3","","1610612751","202711","2","5","","1610612751"
"20","20","09:56","[MIL 5-5] Snell 3pt Shot: Made (3 PTS) Assist: Antetokounmpo (1 AST)","-238","120","3","0","1","1","","1610612749","203503","5","5","203507","1610612749"
"21","21","09:42","[BKN] Lopez 3pt Shot: Missed","133","213","3","0","1","2","","1610612751","201572","5","5","","1610612751"
