"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Okafor vs Johnson (Stauskas gains possession)","0","-80","0","0","0","10","101161","1610612755","1626143","0","0","203917","1610612755"
"3","2","11:39","[PHI] Stauskas 3pt Shot: Missed","-255","23","3","0","1","2","","1610612755","203917","0","0","","1610612755"
"4","3","11:36","[BOS] Bradley Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612738","202340","0","0","","1610612755"
"5","4","11:14","[BOS 2-0] Horford Turnaround Hook Shot: Made (2 PTS)","63","7","2","0","58","1","","1610612738","201143","0","2","","1610612738"
"6","5","10:56","[PHI] Ilyasova 3pt Shot: Missed","-14","249","3","0","1","2","","1610612755","101141","0","2","","1610612755"
"7","6","10:55","[BOS] Bradley Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612738","202340","0","2","","1610612755"
"8","7","10:41","[BOS] Bradley Jump Shot: Missed Block: Stauskas (1 BLK)","115","67","2","0","1","2","203917","1610612738","202340","0","2","","1610612738"
"9","8","10:39","[PHI] Ilyasova Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612755","101141","0","2","","1610612738"
"10","9","10:35","[PHI 2-2] Henderson Layup Shot: Made (2 PTS) Assist: Rodriguez (1 AST)","9","0","2","1","5","1","","1610612755","201945","2","2","200771","1610612755"
"11","10","10:26","[BOS] Thomas Pullup Jump shot: Missed","-138","75","2","0","79","2","","1610612738","202738","2","2","","1610612738"
"12","11","10:24","[PHI] Team Rebound","0","-80","0","0","0","4","","1610612755","0","2","2","","1610612738"
"13","13","10:03","[BOS] Johnson Foul: Shooting Block (1 PF) (2 FTA) (R Garretson)","28","46","0","0","29","6","1626143","1610612738","101161","2","2","","1610612755"
"14","14","10:03","[PHI 3-2] Okafor Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612755","1626143","3","2","","1610612755"
"15","16","10:03","[PHI] Okafor Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612755","1626143","3","2","","1610612755"
"16","18","10:02","[BOS] Horford Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612738","201143","3","2","","1610612755"
"17","19","09:50","[BOS 4-3] Bradley Jump Shot: Made (2 PTS) Assist: Thomas (1 AST)","109","124","2","0","1","1","","1610612738","202340","3","4","202738","1610612738"
"18","20","09:30","[PHI 6-4] Henderson 3pt Shot: Made (5 PTS) Assist: Okafor (1 AST)","-243","2","3","0","80","1","","1610612755","201945","6","4","1626143","1610612755"
"19","21","09:13","[BOS] Bradley Turnover : Lost Ball (1 TO) Steal:Stauskas (1 ST)","0","-80","1","0","2","5","203917","1610612738","202340","6","4","","1610612738"
