"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Bogut vs Lopez (Williams gains possession)","0","-80","0","0","0","10","201577","1610612742","101106","0","0","101114","1610612742"
"3","2","11:34","[DAL] Williams Fadeaway Jump Shot: Missed","163","90","2","0","63","2","","1610612742","101114","0","0","","1610612742"
"4","3","11:33","[CHI] Mirotic Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612741","202703","0","0","","1610612742"
"5","4","11:19","[CHI] Gibson Turnover : Out of Bounds Lost Ball Turnover (1 TO)","0","-80","0","0","40","5","","1610612741","201959","0","0","","1610612741"
"6","5","10:58","[DAL] Barnes Jump Shot: Missed","125","185","2","0","1","2","","1610612742","203084","0","0","","1610612742"
"7","6","10:57","[CHI] Butler Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612741","202710","0","0","","1610612742"
"8","7","10:49","[CHI] Butler Step Back Jump shot: Missed","-73","149","2","0","80","2","","1610612741","202710","0","0","","1610612741"
"9","8","10:48","[DAL] Bogut Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612742","101106","0","0","","1610612741"
"10","9","10:30","[DAL] Barnes 3pt Shot: Missed","187","164","3","0","1","2","","1610612742","203084","0","0","","1610612742"
"11","10","10:29","[CHI] Mirotic Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612741","202703","0","0","","1610612742"
"12","11","10:21","[CHI] Rondo Running Reverse Layup Shot: Missed","24","-6","2","1","74","2","","1610612741","200765","0","0","","1610612741"
"13","12","10:21","[DAL] Bogut Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612742","101106","0","0","","1610612741"
"14","13","10:11","[DAL] Williams 3pt Shot: Missed","48","237","3","0","1","2","","1610612742","101114","0","0","","1610612742"
"15","14","10:10","[CHI] Mirotic Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612741","202703","0","0","","1610612742"
"16","15","10:01","[CHI] Lopez Jump Shot: Missed","-47","185","2","0","1","2","","1610612741","201577","0","0","","1610612741"
"17","16","10:00","[DAL] Bogut Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612742","101106","0","0","","1610612741"
"18","17","09:45","[DAL 2-0] Barnes Driving Floating Jump Shot: Made (2 PTS) Assist: Williams (1 AST)","-22","51","2","0","101","1","","1610612742","203084","2","0","101114","1610612742"
"19","18","09:45","[CHI] Butler Foul: Shooting Block (1 PF) (1 FTA) (J Goble)","-22","51","0","0","29","6","203084","1610612741","202710","2","0","","1610612742"
"20","19","09:45","[DAL 3-0] Barnes Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612742","203084","3","0","","1610612742"
"21","21","09:20","[CHI] Butler Step Back Jump shot: Missed","-35","188","2","0","80","2","","1610612741","202710","3","0","","1610612741"
"22","22","09:20","[DAL] Bogut Rebound (Off:0 Def:4)","0","-80","0","0","0","4","","1610612742","101106","3","0","","1610612741"
"23","23","09:09","[DAL 5-0] Bogut Driving Bank Hook Shot: Made (2 PTS) Assist: Williams (2 AST)","-19","31","2","0","93","1","","1610612742","101106","5","0","101114","1610612742"
"24","24","08:51","[CHI] Mirotic 3pt Shot: Missed","181","169","3","0","1","2","","1610612741","202703","5","0","","1610612741"
"25","25","08:50","[DAL] Bogut Rebound (Off:0 Def:5)","0","-80","0","0","0","4","","1610612742","101106","5","0","","1610612741"
"26","26","08:42","[DAL 7-0] Williams Driving Floating Jump Shot: Made (2 PTS)","-66","95","2","0","101","1","","1610612742","101114","7","0","","1610612742"
"27","27","08:42","[CHI] Team Timeout : Regular","0","-80","0","0","1","9","","1610612741","0","7","0","","1610612741"
"28","31","08:27","[CHI] Gibson Turnaround Hook Shot: Missed","-55","23","2","0","58","2","","1610612741","201959","7","0","","1610612741"
