"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Gasol vs Mozgov (Green gains possession)","0","-80","0","0","0","10","202389","1610612763","201188","0","0","203210","1610612763"
"3","2","11:42","[LAL] Randle Foul: Personal (1 PF) (M Ervin)","-102","85","0","0","1","6","201188","1610612747","203944","0","0","","1610612763"
"4","3","11:29","[MEM] Gasol Turnaround Fadeaway shot: Missed","-101","121","2","0","86","2","","1610612763","201188","0","0","","1610612763"
"5","5","11:25","[MEM] Green Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612763","203210","0","0","","1610612763"
"6","4","11:25","[MEM] Green Putback Layup Shot: Missed Block: Ingram (1 BLK)","9","7","2","0","72","2","1627742","1610612763","203210","0","0","","1610612763"
"7","6","11:23","[LAL] Deng Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612747","2736","0","0","","1610612763"
"8","7","11:07","[LAL] Calderon 3pt Shot: Missed","-143","195","3","0","1","2","","1610612747","101181","0","0","","1610612747"
"9","8","11:06","[MEM] Allen Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612763","2754","0","0","","1610612747"
"10","9","10:59","[MEM] Allen Jump Shot: Missed","99","136","2","0","1","2","","1610612763","2754","0","0","","1610612763"
"11","10","10:59","[LAL] Calderon Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612747","101181","0","0","","1610612763"
"12","11","10:54","[MEM] Allen Foul: Personal (1 PF) (M Ervin)","138","159","0","0","1","6","2736","1610612763","2754","0","0","","1610612747"
"13","12","10:43","[LAL 2-0] Randle Jump Shot: Made (2 PTS)","12","174","2","0","1","1","","1610612747","203944","0","2","","1610612747"
"14","13","10:27","[MEM] Williams 3pt Shot: Missed","-102","228","3","0","1","2","","1610612763","1627786","0","2","","1610612763"
"15","14","10:26","[LAL] Calderon Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612747","101181","0","2","","1610612763"
"16","15","10:18","[LAL 4-0] Randle Pullup Jump shot: Made (4 PTS)","-120","149","2","0","79","1","","1610612747","203944","0","4","","1610612747"
"17","16","09:59","[MEM] Allen 3pt Shot: Missed","-181","185","3","0","1","2","","1610612763","2754","0","4","","1610612763"
"18","17","09:58","[LAL] Randle Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612747","203944","0","4","","1610612763"
"19","18","09:52","[LAL] Randle Running Layup Shot: Missed Block: Green (1 BLK)","-7","13","2","1","41","2","203210","1610612747","203944","0","4","","1610612747"
"20","19","09:52","[LAL] Team Rebound","0","-80","0","0","0","4","","1610612747","0","0","4","","1610612747"
"21","20","09:44","[LAL 6-0] Deng Driving Floating Jump Shot: Made (2 PTS) Assist: Calderon (1 AST)","63","0","2","0","101","1","","1610612747","2736","0","6","101181","1610612747"
"22","21","09:41","[LAL] Calderon Foul: Personal (1 PF) (B Forte)","-81","41","0","1","1","6","1627786","1610612747","101181","0","6","","1610612763"
"23","22","09:31","[MEM 2-6] Harrison Driving Layup Shot: Made (2 PTS)","6","2","2","0","42","1","","1610612763","1626150","2","6","","1610612763"
"24","23","09:10","[MEM] Allen Foul: Shooting (2 PF) (2 FTA) (B Forte)","24","46","0","0","2","6","1627742","1610612763","2754","2","6","","1610612747"
"25","24","09:10","[LAL 7-2] Ingram Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612747","1627742","2","7","","1610612747"
"26","26","09:10","[MEM] Allen Substitution replaced by Daniels","0","-80","0","0","0","8","","1610612763","2754","2","7","203584","1610612747"
"27","27","09:10","[LAL 8-2] Ingram Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612747","1627742","2","8","","1610612747"
"28","29","08:49","[MEM 4-8] Daniels Pullup Jump shot: Made (2 PTS) Assist: Gasol (1 AST)","-48","188","2","0","79","1","","1610612763","203584","4","8","201188","1610612763"
"29","30","08:36","[LAL] Calderon Pullup Jump shot: Missed","-102","136","2","0","79","2","","1610612747","101181","4","8","","1610612747"
