"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Plumlee vs Whiteside (Davis gains possession)","0","-80","0","0","0","10","202355","1610612757","203486","0","0","202334","1610612757"
"3","2","11:44","[POR] McCollum 3pt Shot: Missed","-25","242","3","0","1","2","","1610612757","203468","0","0","","1610612757"
"4","3","11:44","[POR] Plumlee Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612757","203486","0","0","","1610612757"
"5","4","11:33","[POR] Davis Turnover : 3 Second Violation (1 TO)","0","-80","0","0","8","5","","1610612757","202334","0","0","","1610612757"
"6","5","11:25","[MIA] McGruder Turnover : Out of Bounds Lost Ball Turnover (1 TO)","0","-80","0","0","40","5","","1610612748","203585","0","0","","1610612748"
"7","6","11:10","[POR] Davis Driving Hook Shot: Missed","-6","92","2","0","57","2","","1610612757","202334","0","0","","1610612757"
"8","7","11:09","[MIA] McRoberts Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612748","201177","0","0","","1610612757"
"9","8","10:58","[MIA] McRoberts Pullup Jump shot: Missed","32","151","2","0","79","2","","1610612748","201177","0","0","","1610612748"
"10","9","10:58","[POR] Plumlee Rebound (Off:1 Def:1)","0","-80","0","0","0","4","","1610612757","203486","0","0","","1610612748"
"11","10","10:49","[POR] McCollum Pullup Jump shot: Missed","0","139","2","0","79","2","","1610612757","203468","0","0","","1610612757"
"12","11","10:47","[MIA] McGruder Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612748","203585","0","0","","1610612757"
"13","13","10:38","[MIA 2-0] Ellington Jump Shot: Made (2 PTS) Assist: G Dragic (1 AST)","176","21","2","0","1","1","","1610612748","201961","0","2","201609","1610612748"
"14","14","10:17","[POR] Harkless Driving Layup Shot: Missed Block: Whiteside (1 BLK)","25","2","2","0","42","2","202355","1610612757","203090","0","2","","1610612757"
"15","15","10:16","[MIA] G Dragic Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612748","201609","0","2","","1610612757"
"16","16","10:10","[MIA 4-0] G Dragic Running Jump Shot: Made (2 PTS)","40","11","2","1","46","1","","1610612748","201609","0","4","","1610612748"
"17","17","09:46","[POR] Team Turnover : Shot Clock Turnover","0","-80","0","0","11","5","","1610612757","0","0","4","","1610612757"
"18","18","09:30","[MIA 6-0] Whiteside Jump Shot: Made (2 PTS) Assist: Ellington (1 AST)","97","144","2","0","1","1","","1610612748","202355","0","6","201961","1610612748"
"19","19","09:13","[POR] Lillard Pullup Jump shot: Missed","-48","149","2","0","79","2","","1610612757","203081","0","6","","1610612757"
"20","20","09:13","[POR] Davis Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612757","202334","0","6","","1610612757"
"21","21","09:10","[POR 2-6] Davis Putback Dunk Shot: Made (2 PTS)","0","1","2","0","87","1","","1610612757","202334","2","6","","1610612757"
"22","23","08:59","[MIA 8-2] Whiteside Hook Shot: Made (4 PTS) Assist: G Dragic (2 AST)","0","1","2","0","3","1","","1610612748","202355","2","8","201609","1610612748"
"23","24","08:47","[POR 5-8] Harkless 3pt Shot: Made (3 PTS) Assist: Lillard (1 AST)","-125","213","3","0","1","1","","1610612757","203090","5","8","203081","1610612757"
"24","25","08:30","[MIA 10-5] G Dragic Driving Floating Bank Jump Shot: Made (4 PTS)","-43","13","2","0","102","1","","1610612748","201609","5","10","","1610612748"
"25","26","08:18","[POR 7-10] Lillard Driving Floating Jump Shot: Made (2 PTS)","-34","111","2","0","101","1","","1610612757","203081","7","10","","1610612757"
"26","27","07:58","[MIA] G Dragic Pullup Jump shot: Missed","105","8","2","0","79","2","","1610612748","201609","7","10","","1610612748"
"27","28","07:58","[POR] Davis Rebound (Off:1 Def:1)","0","-80","0","0","0","4","","1610612757","202334","7","10","","1610612748"
"28","29","07:49","[POR] Lillard Pullup Jump shot: Missed","6","165","2","0","79","2","","1610612757","203081","7","10","","1610612757"
"29","30","07:47","[MIA] Team Rebound","0","-80","0","0","0","4","","1610612748","0","7","10","","1610612757"
"30","31","07:34","[MIA 12-7] Ellington Pullup Jump shot: Made (4 PTS) Assist: G Dragic (3 AST)","117","154","2","0","79","1","","1610612748","201961","7","12","201609","1610612748"
"31","32","07:18","[POR] Harkless 3pt Shot: Missed","-228","21","3","0","1","2","","1610612757","203090","7","12","","1610612757"
"32","33","07:17","[MIA] G Dragic Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612748","201609","7","12","","1610612757"
"33","35","07:08","[POR] Harkless Foul: Personal (1 PF) (T Maddox)","25","26","0","0","1","6","203585","1610612757","203090","7","12","","1610612748"
"34","36","06:53","[MIA 14-7] Whiteside Turnaround Fadeaway Bank Jump Shot: Made (6 PTS)","-135","87","2","0","105","1","","1610612748","202355","7","14","","1610612748"
