"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Zeller vs Towns (Walker gains possession)","0","-80","0","0","0","10","1626157","1610612766","203469","0","0","202689","1610612766"
"3","2","11:45","[CHA 2-0] Kaminsky Cutting Layup Shot: Made (2 PTS) Assist: Walker (1 AST)","15","0","2","0","98","1","","1610612766","1626163","2","0","202689","1610612766"
"4","3","11:45","[MIN] Towns Foul: Shooting (1 PF) (1 FTA) (M Davis)","15","0","0","0","2","6","1626163","1610612750","1626157","2","0","","1610612766"
"5","4","11:45","[CHA] Kaminsky Free Throw 1 of 1 Missed","0","-80","2","0","10","3","","1610612766","1626163","2","0","","1610612766"
"6","6","11:44","[MIN] Towns Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612750","1626157","2","0","","1610612766"
"7","7","11:30","[MIN] Dieng Jump Shot: Missed","169","47","2","0","1","2","","1610612750","203476","2","0","","1610612750"
"8","8","11:29","[CHA] Batum Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612766","201587","2","0","","1610612750"
"9","9","11:20","[CHA] Walker Driving Floating Jump Shot: Missed","-58","21","2","0","101","2","","1610612766","202689","2","0","","1610612766"
"10","10","11:19","[MIN] Dieng Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612750","203476","2","0","","1610612766"
"11","11","11:14","[MIN] LaVine Jump Shot: Missed","-11","110","2","0","1","2","","1610612750","203897","2","0","","1610612750"
"12","12","11:14","[CHA] Team Rebound","0","-80","0","0","0","4","","1610612766","0","2","0","","1610612750"
"13","13","10:56","[CHA 5-0] Kaminsky 3pt Shot: Made (5 PTS) Assist: Batum (1 AST)","-96","249","3","0","1","1","","1610612766","1626163","5","0","201587","1610612766"
"14","14","10:39","[MIN] Dieng Jump Shot: Missed","-1","154","2","0","1","2","","1610612750","203476","5","0","","1610612750"
"15","15","10:38","[CHA] Walker Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612766","202689","5","0","","1610612750"
"16","16","10:26","[CHA 7-0] Zeller Cutting Dunk Shot: Made (2 PTS) Assist: Walker (2 AST)","0","1","2","0","108","1","","1610612766","203469","7","0","202689","1610612766"
"17","17","10:05","[MIN] Rubio 3pt Shot: Missed","-235","13","3","0","1","2","","1610612750","201937","7","0","","1610612750"
"18","18","10:05","[MIN] Team Rebound","0","-80","0","0","0","4","","1610612750","0","7","0","","1610612750"
"19","19","10:00","[MIN] Rubio Jump Shot: Missed","-88","144","2","0","1","2","","1610612750","201937","7","0","","1610612750"
