"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Jordan vs Turner (Griffin gains possession)","0","-80","0","0","0","10","1626167","1610612746","201599","0","0","201933","1610612746"
"3","2","11:45","[LAC 2-0] Jordan Dunk Shot: Made (2 PTS) Assist: Paul (1 AST)","0","1","2","0","7","1","","1610612746","201599","2","0","101108","1610612746"
"4","3","11:26","[IND] Turner Turnover : Out of Bounds Lost Ball Turnover (1 TO)","0","-80","0","0","40","5","","1610612754","1626167","2","0","","1610612754"
"5","4","11:13","[IND] Turner Foul: Defense 3 Second (0 PF) (B Taylor)","0","-80","0","0","17","6","","1610612754","1626167","2","0","","1610612746"
"6","5","11:13","[LAC 3-0] Paul Free Throw Technical (1 PTS)","0","-80","1","0","16","3","","1610612746","101108","3","0","","1610612746"
"7","8","10:58","[LAC 6-0] Redick 3pt Shot: Made (3 PTS) Assist: Griffin (1 AST)","-83","232","3","0","1","1","","1610612746","200755","6","0","201933","1610612746"
"8","9","10:44","[IND] Teague Floating Jump shot: Missed","0","41","2","0","78","2","","1610612754","201952","6","0","","1610612754"
"9","10","10:41","[LAC] Griffin Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612746","201933","6","0","","1610612754"
"10","11","10:37","[LAC] Griffin Cutting Layup Shot: Missed Block: Turner (1 BLK)","-13","4","2","1","98","2","1626167","1610612746","201933","6","0","","1610612746"
"11","12","10:34","[IND] Young Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612754","201152","6","0","","1610612746"
"12","13","10:31","[IND] Young Running Layup Shot: Missed Block: Jordan (1 BLK)","9","11","2","1","41","2","201599","1610612754","201152","6","0","","1610612754"
"13","14","10:28","[IND] Young Rebound (Off:1 Def:1)","0","-80","1","0","0","4","","1610612754","201152","6","0","","1610612754"
"14","15","10:21","[IND] Young Jump Shot: Missed","-107","41","2","0","1","2","","1610612754","201152","6","0","","1610612754"
"15","16","10:18","[LAC] Paul Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612746","101108","6","0","","1610612754"
"16","17","10:10","[LAC 9-0] Redick 3pt Shot: Made (6 PTS) Assist: Paul (2 AST)","48","252","3","0","1","1","","1610612746","200755","9","0","101108","1610612746"
"17","18","09:53","[IND] George Jump Shot: Missed Block: Mbah a Moute (1 BLK)","38","121","2","0","1","2","201601","1610612754","202331","9","0","","1610612754"
"18","19","09:51","[LAC] Jordan Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612746","201599","9","0","","1610612754"
"19","21","09:40","[LAC] Redick 3pt Shot: Missed","119","223","3","0","1","2","","1610612746","200755","9","0","","1610612746"
"20","22","09:39","[IND] George Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612754","202331","9","0","","1610612746"
"21","23","09:23","[IND] Ellis Pullup Jump shot: Missed","-132","2","2","0","79","2","","1610612754","101145","9","0","","1610612754"
"22","24","09:23","[LAC] Team Rebound","0","-80","0","0","0","4","","1610612746","0","9","0","","1610612754"
"23","26","08:58","[LAC] Mbah a Moute 3pt Shot: Missed","-232","18","3","0","1","2","","1610612746","201601","9","0","","1610612746"
"24","27","08:57","[LAC] Jordan Rebound (Off:1 Def:1)","0","-80","1","0","0","4","","1610612746","201599","9","0","","1610612746"
"25","29","08:45","[LAC] Paul Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","0","-80","0","0","45","5","","1610612746","101108","9","0","","1610612746"
"26","31","08:32","[IND 2-9] Young Hook Shot: Made (2 PTS) Assist: George (1 AST)","14","47","2","0","3","1","","1610612754","201152","9","2","202331","1610612754"
"27","32","08:32","[LAC] Mbah a Moute Foul: Shooting (1 PF) (1 FTA) (T Brothers)","14","47","0","0","2","6","201152","1610612746","201601","9","2","","1610612754"
"28","33","08:32","[IND] Young Free Throw 1 of 1 Missed","0","-80","2","0","10","3","","1610612754","201152","9","2","","1610612754"
"29","35","08:31","[LAC] Griffin Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612746","201933","9","2","","1610612754"
"30","36","08:18","[IND] Young Foul: Shooting (1 PF) (2 FTA) (T Brothers)","17","65","0","0","2","6","201933","1610612754","201152","9","2","","1610612746"
"31","37","08:18","[LAC 10-2] Griffin Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612746","201933","10","2","","1610612746"
"32","39","08:18","[LAC] Griffin Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612746","201933","10","2","","1610612746"
"33","41","08:17","[IND] Turner Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612754","1626167","10","2","","1610612746"
"34","42","08:06","[IND] Ellis 3pt Shot: Missed","-232","62","3","0","1","2","","1610612754","101145","10","2","","1610612754"
"35","43","08:05","[LAC] Jordan Rebound (Off:1 Def:2)","0","-80","0","0","0","4","","1610612746","201599","10","2","","1610612754"
"36","44","07:56","[LAC] Redick 3pt Shot: Missed","250","-10","3","0","1","2","","1610612746","200755","10","2","","1610612746"
"37","45","07:55","[IND] Young Rebound (Off:1 Def:2)","0","-80","0","0","0","4","","1610612754","201152","10","2","","1610612746"
"38","46","07:45","[IND] Turner Jump Shot: Missed","-115","154","2","0","1","2","","1610612754","1626167","10","2","","1610612754"
"39","47","07:44","[LAC] Griffin Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612746","201933","10","2","","1610612754"
"40","48","07:39","[LAC] Mbah a Moute Turnover : Step Out of Bounds Turnover (1 TO)","0","-80","0","0","39","5","","1610612746","201601","10","2","","1610612746"
"41","49","07:21","[IND] Turner Turnaround Jump Shot: Missed","14","95","2","0","47","2","","1610612754","1626167","10","2","","1610612754"
"42","50","07:18","[LAC] Paul Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612746","101108","10","2","","1610612754"
"43","51","07:15","[LAC] Paul Turnover : Out of Bounds - Bad Pass Turnover (2 TO)","0","-80","0","0","45","5","","1610612746","101108","10","2","","1610612746"
"44","52","07:06","[IND 4-10] Ellis Cutting Layup Shot: Made (2 PTS) Assist: George (2 AST)","15","16","2","0","98","1","","1610612754","101145","10","4","202331","1610612754"
"45","53","06:46","[LAC] Jordan Turnover : Bad Pass (1 TO) Steal:George (1 ST)","0","-80","1","0","1","5","202331","1610612746","201599","10","4","","1610612746"
"46","54","06:43","[IND 6-10] Ellis Running Layup Shot: Made (4 PTS)","-4","11","2","1","41","1","","1610612754","101145","10","6","","1610612754"
"47","55","06:26","[LAC] Paul Turnover : Out of Bounds - Bad Pass Turnover (3 TO)","0","-80","0","0","45","5","","1610612746","101108","10","6","","1610612746"
"48","56","06:15","[IND] George Fadeaway Jump Shot: Missed","140","38","2","0","63","2","","1610612754","202331","10","6","","1610612754"
"49","58","06:11","[LAC] Griffin Rebound (Off:0 Def:4)","0","-80","0","0","0","4","","1610612746","201933","10","6","","1610612754"
"50","59","05:56","[LAC 13-6] Redick 3pt Shot: Made (9 PTS) Assist: Griffin (2 AST)","236","67","3","0","1","1","","1610612746","200755","13","6","201933","1610612746"
"51","60","05:41","[IND 8-13] Turner Turnaround Jump Shot: Made (2 PTS) Assist: Ellis (1 AST)","-176","101","2","0","47","1","","1610612754","1626167","13","8","101145","1610612754"
"52","61","05:30","[LAC 16-8] Mbah a Moute 3pt Shot: Made (3 PTS) Assist: Griffin (3 AST)","-243","0","3","0","1","1","","1610612746","201601","16","8","201933","1610612746"
