"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Embiid vs Nurkic (Ilyasova gains possession)","0","-80","0","0","0","10","203994","1610612755","203954","0","0","101141","1610612755"
"3","2","11:48","[DEN] Faried Foul: Shooting (1 PF) (2 FTA) (A Smith)","-43","2","0","0","2","6","203954","1610612743","202702","0","0","","1610612755"
"4","3","11:48","[PHI 1-0] Embiid Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612755","203954","1","0","","1610612755"
"5","5","11:48","[PHI 2-0] Embiid Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612755","203954","2","0","","1610612755"
"6","7","11:31","[DEN] Mudiay Layup Shot: Missed Block: Embiid (1 BLK)","-14","11","2","0","5","2","203954","1610612743","1626144","2","0","","1610612743"
"7","9","11:29","[DEN] Nurkic Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612743","203994","2","0","","1610612743"
"8","8","11:29","[DEN] Nurkic Tip Layup Shot: Missed","-7","-6","2","0","97","2","","1610612743","203994","2","0","","1610612743"
"9","10","11:27","[PHI] Rodriguez Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612755","200771","2","0","","1610612743"
"10","11","11:16","[PHI 4-0] Embiid Jump Shot: Made (4 PTS)","-119","18","2","0","1","1","","1610612755","203954","4","0","","1610612755"
"11","12","11:06","[PHI] Embiid Foul: Shooting Block (1 PF) (2 FTA) (K Lane)","-11","26","0","0","29","6","201568","1610612755","203954","4","0","","1610612743"
"12","13","11:06","[DEN 1-4] Gallinari Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612743","201568","4","1","","1610612743"
"13","15","11:06","[DEN 2-4] Gallinari Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612743","201568","4","2","","1610612743"
"14","17","10:55","[PHI] Stauskas Jump Shot: Missed","107","146","2","0","1","2","","1610612755","203917","4","2","","1610612755"
"15","18","10:54","[DEN] Barton Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612743","203115","4","2","","1610612755"
"16","19","10:47","[PHI] Henderson Foul: Personal (1 PF) (K Lane)","-9","190","0","0","1","6","201568","1610612755","201945","4","2","","1610612743"
"17","20","10:40","[DEN] Mudiay 3pt Shot: Missed","-245","31","3","0","1","2","","1610612743","1626144","4","2","","1610612743"
"18","21","10:38","[PHI] Ilyasova Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612755","101141","4","2","","1610612743"
"19","22","10:33","[PHI] Ilyasova Layup Shot: Missed Block: Nurkic (1 BLK)","-24","3","2","1","5","2","203994","1610612755","101141","4","2","","1610612755"
"20","23","10:31","[DEN] Faried Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612743","202702","4","2","","1610612755"
"21","24","10:25","[DEN 4-4] Nurkic Running Layup Shot: Made (2 PTS) Assist: Barton (1 AST)","-14","-6","2","1","41","1","","1610612743","203994","4","4","203115","1610612743"
"22","25","10:19","[PHI] Henderson 3pt Shot: Missed","146","193","3","1","1","2","","1610612755","201945","4","4","","1610612755"
"23","26","10:15","[DEN] Mudiay Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612743","1626144","4","4","","1610612755"
"24","27","10:06","[DEN] Nurkic Turnover : 3 Second Violation (1 TO)","0","-80","0","0","8","5","","1610612743","203994","4","4","","1610612743"
"25","28","09:53","[DEN] Gallinari Foul: Personal (1 PF) (M McCutchen)","-2","26","0","0","1","6","203954","1610612743","201568","4","4","","1610612755"
