"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Howard vs Adams (Oladipo gains possession)","0","-80","0","0","0","10","203500","1610612737","2730","0","0","203506","1610612760"
"3","2","11:36","[OKC] Adams Jump Shot: Missed","6","41","2","0","1","2","","1610612760","203500","0","0","","1610612760"
"4","3","11:34","[OKC] Adams Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612760","203500","0","0","","1610612760"
"5","4","11:22","[OKC] Adams Turnover : Lost Ball (1 TO) Steal:Howard (1 ST)","0","-80","1","0","2","5","2730","1610612760","203500","0","0","","1610612760"
"6","17","11:22","[ATL] Bazemore Alley Oop Dunk Shot: Missed","-17","-4","2","1","52","2","","1610612737","203145","0","0","","1610612737"
"7","22","11:22","[ATL] Bazemore Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612737","203145","0","0","","1610612737"
"8","5","11:13","[ATL] Bazemore Turnover : Lost Ball (1 TO) Steal:Oladipo (1 ST)","0","-80","1","0","2","5","203506","1610612737","203145","0","0","","1610612737"
"9","6","11:08","[OKC] Oladipo Running Layup Shot: Missed","0","2","2","1","41","2","","1610612760","203506","0","0","","1610612760"
"10","7","11:08","[ATL] Team Rebound","0","-80","0","0","0","4","","1610612737","0","0","0","","1610612760"
"11","8","10:52","[ATL] Millsap Cutting Layup Shot: Missed","-27","11","2","0","98","2","","1610612737","200794","0","0","","1610612737"
"12","9","10:51","[OKC] Westbrook Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612760","201566","0","0","","1610612737"
"13","10","10:48","[OKC] Roberson Turnover : Lost Ball (1 TO) Steal:Schroder (1 ST)","0","-80","1","0","2","5","203471","1610612760","203460","0","0","","1610612760"
"14","11","10:21","[ATL] Bazemore 3pt Shot: Missed","-99","219","3","0","1","2","","1610612737","203145","0","0","","1610612737"
"15","12","10:20","[ATL] Team Rebound","0","-80","0","0","0","4","","1610612737","0","0","0","","1610612737"
"16","13","10:14","[ATL] Bazemore 3pt Shot: Missed","238","-16","3","0","1","2","","1610612737","203145","0","0","","1610612737"
"17","14","10:13","[OKC] Adams Rebound (Off:1 Def:1)","0","-80","0","0","0","4","","1610612760","203500","0","0","","1610612737"
"18","15","10:05","[OKC] Sabonis 3pt Shot: Missed","236","2","3","0","1","2","","1610612760","1627734","0","0","","1610612760"
