"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Jordan vs Nance Jr. (Paul gains possession)","0","-80","0","0","0","10","1626204","1610612746","201599","0","0","101108","1610612746"
"3","2","11:45","[LAC] Redick Jump Shot: Missed","182","11","2","0","1","2","","1610612746","200755","0","0","","1610612746"
"4","3","11:42","[LAL] Ingram Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612747","1627742","0","0","","1610612746"
"5","4","11:32","[LAL] Clarkson Pullup Jump shot: Missed","-147","-1","2","0","79","2","","1610612747","203903","0","0","","1610612747"
"6","5","11:29","[LAC] Jordan Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612746","201599","0","0","","1610612747"
"7","6","11:20","[LAC 2-0] Griffin Jump Shot: Made (2 PTS)","-140","129","2","0","1","1","","1610612746","201933","2","0","","1610612746"
"8","7","11:04","[LAL] Randle Turnaround Fadeaway shot: Missed","55","188","2","0","86","2","","1610612747","203944","2","0","","1610612747"
"9","8","11:01","[LAC] Jordan Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612746","201599","2","0","","1610612747"
"10","9","10:46","[LAC 5-0] Paul 3pt Shot: Made (3 PTS) Assist: Griffin (1 AST)","-238","2","3","0","1","1","","1610612746","101108","5","0","201933","1610612746"
"11","10","10:26","[LAL] Ingram Jump Shot: Missed Block: Mbah a Moute (1 BLK)","-97","33","2","0","1","2","201601","1610612747","1627742","5","0","","1610612747"
"12","11","10:24","[LAC] Redick Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612746","200755","5","0","","1610612747"
"13","12","10:18","[LAC 7-0] Mbah a Moute Running Layup Shot: Made (2 PTS) Assist: Paul (1 AST)","19","16","2","1","41","1","","1610612746","201601","7","0","101108","1610612746"
"14","13","09:58","[LAL] Russell 3pt Shot: Missed","42","267","3","0","1","2","","1610612747","1626156","7","0","","1610612747"
"15","14","09:57","[LAL] Nance Jr. Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612747","1626204","7","0","","1610612747"
"16","15","09:52","[LAL] Russell 3pt Shot: Missed","117","228","3","0","1","2","","1610612747","1626156","7","0","","1610612747"
"17","16","09:51","[LAC] Paul Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612746","101108","7","0","","1610612747"
"18","17","09:43","[LAC 9-0] Paul Step Back Jump shot: Made (5 PTS)","114","2","2","0","80","1","","1610612746","101108","9","0","","1610612746"
"19","18","09:24","[LAL] Ingram Jump Shot: Missed","27","46","2","0","1","2","","1610612747","1627742","9","0","","1610612747"
"20","19","09:22","[LAC] Jordan Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612746","201599","9","0","","1610612747"
"21","20","09:11","[LAC 11-0] Jordan Reverse Dunk Shot: Made (2 PTS) Assist: Paul (2 AST)","-12","18","2","0","51","1","","1610612746","201599","11","0","101108","1610612746"
"22","21","09:11","[LAL] Team Timeout : Regular","0","-80","0","0","1","9","","1610612747","0","11","0","","1610612747"
"23","22","09:00","[LAL] Russell Turnover : Lost Ball (1 TO) Steal:Jordan (1 ST)","0","-80","1","0","2","5","201599","1610612747","1626156","11","0","","1610612747"
"24","23","08:55","[LAC] Paul Turnover : Bad Pass (1 TO) Steal:Russell (1 ST)","0","-80","1","0","1","5","1626156","1610612746","101108","11","0","","1610612746"
"25","33","08:51","[LAL] Randle Running Layup Shot: Missed Block: Mbah a Moute (2 BLK)","16","-1","2","1","41","2","201601","1610612747","203944","11","0","","1610612747"
"26","24","08:49","[LAC] Griffin Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612746","201933","11","0","","1610612747"
"27","25","08:43","[LAC 14-0] Redick 3pt Shot: Made (3 PTS) Assist: Paul (3 AST)","233","26","3","1","103","1","","1610612746","200755","14","0","101108","1610612746"
"28","27","08:20","[LAL] Ingram Foul: Offensive (1 PF) (T Brothers)","-107","16","0","0","4","6","201601","1610612747","1627742","14","0","","1610612747"
"29","28","08:20","[LAL] Ingram Turnover : Foul (1 TO)","0","-80","0","0","5","5","","1610612747","1627742","14","0","","1610612747"
"30","29","08:20","[LAL] Randle Substitution replaced by Robinson","0","-80","0","0","0","8","","1610612747","203944","14","0","203080","1610612746"
"31","30","08:06","[LAC 17-0] Redick 3pt Shot: Made (6 PTS) Assist: Paul (4 AST)","-230","-11","3","0","1","1","","1610612746","200755","17","0","101108","1610612746"
"32","31","07:55","[LAL] Clarkson 3pt Shot: Missed","-173","178","3","0","1","2","","1610612747","203903","17","0","","1610612747"
"33","32","07:54","[LAC] Jordan Rebound (Off:0 Def:4)","0","-80","0","0","0","4","","1610612746","201599","17","0","","1610612747"
"34","34","07:52","[LAC] Jordan Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","0","-80","0","0","45","5","","1610612746","201599","17","0","","1610612746"
"35","35","07:40","[LAL] Robinson Jump Shot: Missed Block: Jordan (1 BLK)","133","47","2","0","1","2","201599","1610612747","203080","17","0","","1610612747"
"36","36","07:40","[LAL] Team Rebound","0","-80","0","0","0","4","","1610612747","0","17","0","","1610612747"
"37","38","07:27","[LAL 2-17] Robinson Floating Jump shot: Made (2 PTS)","-88","18","2","0","78","1","","1610612747","203080","17","2","","1610612747"
"38","39","07:04","[LAC] Griffin 3pt Shot: Missed","-138","213","3","0","1","2","","1610612746","201933","17","2","","1610612746"
"39","40","07:03","[LAL] Robinson Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612747","203080","17","2","","1610612746"
"40","42","06:56","[LAL] Russell 3pt Shot: Missed","171","228","3","0","1","2","","1610612747","1626156","17","2","","1610612747"
"41","43","06:54","[LAL] Robinson Rebound (Off:1 Def:1)","0","-80","1","0","0","4","","1610612747","203080","17","2","","1610612747"
"42","44","06:50","[LAL] Robinson Jump Shot: Missed","-184","-11","2","0","1","2","","1610612747","203080","17","2","","1610612747"
"43","45","06:50","[LAC] Team Rebound","0","-80","0","0","0","4","","1610612746","0","17","2","","1610612747"
"44","46","06:50","[LAC] Jordan Turnover : Bad Pass (2 TO) Steal:Nance Jr. (1 ST)","0","-80","1","0","1","5","1626204","1610612746","201599","17","2","","1610612746"
"45","47","06:40","[LAL 4-17] Clarkson Floating Jump shot: Made (2 PTS) Assist: Ingram (1 AST)","-53","13","2","0","78","1","","1610612747","203903","17","4","1627742","1610612747"
"46","48","06:29","[LAC] Mbah a Moute Layup Shot: Missed","-4","8","2","0","5","2","","1610612746","201601","17","4","","1610612746"
"47","49","06:28","[LAC] Jordan Rebound (Off:1 Def:4)","0","-80","1","0","0","4","","1610612746","201599","17","4","","1610612746"
"48","50","06:28","[LAL] Clarkson Foul: Shooting (1 PF) (2 FTA) (T Brothers)","10","31","0","0","2","6","201599","1610612747","203903","17","4","","1610612746"
"49","51","06:28","[LAC] Jordan Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612746","201599","17","4","","1610612746"
