"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Lopez vs Howard (Foye gains possession)","0","-80","0","0","0","10","2730","1610612751","201572","0","0","200751","1610612751"
"3","2","11:44","[BKN] Hollis-Jefferson Turnover : Out of Bounds Lost Ball Turnover (1 TO)","0","-80","0","0","40","5","","1610612751","1626178","0","0","","1610612751"
"4","3","11:29","[ATL] Howard Turnover : Lost Ball (1 TO) Steal:Hollis-Jefferson (1 ST)","0","-80","1","0","2","5","1626178","1610612737","2730","0","0","","1610612737"
"5","4","11:10","[BKN] Lopez 3pt Shot: Missed","209","136","3","0","1","2","","1610612751","201572","0","0","","1610612751"
"6","5","11:09","[ATL] Hardaway Jr. Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612737","203501","0","0","","1610612751"
"7","6","11:07","[ATL] Hardaway Jr. Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","0","-80","0","0","45","5","","1610612737","203501","0","0","","1610612737"
"8","7","10:55","[BKN] Lopez Hook Shot: Missed","-73","65","2","0","3","2","","1610612751","201572","0","0","","1610612751"
"9","8","10:54","[ATL] Team Rebound","0","-80","0","0","0","4","","1610612737","0","0","0","","1610612751"
"10","9","10:42","[ATL 2-0] Hardaway Jr. Jump Shot: Made (2 PTS) Assist: Prince (1 AST)","112","139","2","0","1","1","","1610612737","203501","0","2","1627752","1610612737"
"11","10","10:42","[BKN] LeVert Foul: Shooting (1 PF) (1 FTA) (L Holtkamp)","104","141","0","0","2","6","203501","1610612751","1627747","0","2","","1610612737"
"12","11","10:42","[ATL 3-0] Hardaway Jr. Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612737","203501","0","3","","1610612737"
"13","13","10:34","[BKN] LeVert 3pt Shot: Missed","22","249","3","0","1","2","","1610612751","1627747","0","3","","1610612751"
"14","14","10:33","[ATL] Hardaway Jr. Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612737","203501","0","3","","1610612751"
"15","15","10:23","[ATL 5-0] Prince Driving Layup Shot: Made (2 PTS) Assist: Schroder (1 AST)","22","8","2","0","42","1","","1610612737","1627752","0","5","203471","1610612737"
"16","16","10:23","[BKN] LeVert Foul: Shooting (2 PF) (1 FTA) (K Mauer)","22","8","0","0","2","6","1627752","1610612751","1627747","0","5","","1610612737"
"17","17","10:23","[ATL] Prince Free Throw 1 of 1 Missed","0","-80","2","0","10","3","","1610612737","1627752","0","5","","1610612737"
"18","19","10:22","[BKN] Lin Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612751","202391","0","5","","1610612737"
"19","20","10:09","[BKN 3-5] Lin 3pt Shot: Made (3 PTS) Assist: Hollis-Jefferson (1 AST)","-102","219","3","0","1","1","","1610612751","202391","3","5","1626178","1610612751"
"20","21","09:44","[ATL] Hardaway Jr. Step Back Jump shot: Missed","4","190","2","0","80","2","","1610612737","203501","3","5","","1610612737"
"21","22","09:43","[BKN] Foye Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612751","200751","3","5","","1610612737"
"22","23","09:32","[BKN] Lopez Turnover : Bad Pass (1 TO) Steal:Schroder (1 ST)","0","-80","1","0","1","5","203471","1610612751","201572","3","5","","1610612751"
"23","24","09:27","[ATL 7-3] Schroder Running Layup Shot: Made (2 PTS)","-27","2","2","1","41","1","","1610612737","203471","3","7","","1610612737"
"24","25","09:16","[BKN 5-7] Lin Driving Finger Roll Layup Shot: Made (5 PTS)","33","7","2","0","75","1","","1610612751","202391","5","7","","1610612751"
"25","26","09:00","[ATL] Schroder Turnover : Bad Pass (1 TO) Steal:Hollis-Jefferson (2 ST)","0","-80","1","0","1","5","1626178","1610612737","203471","5","7","","1610612737"
"26","27","08:49","[BKN] Foye 3pt Shot: Missed","-161","190","3","0","1","2","","1610612751","200751","5","7","","1610612751"
"27","28","08:48","[BKN] Hollis-Jefferson Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612751","1626178","5","7","","1610612751"
"28","30","08:39","[BKN 8-7] Lin 3pt Shot: Made (8 PTS) Assist: Lopez (1 AST)","-114","219","3","0","1","1","","1610612751","202391","8","7","201572","1610612751"
"29","31","08:21","[ATL 9-8] Hardaway Jr. Driving Layup Shot: Made (5 PTS) Assist: Ilyasova (1 AST)","25","2","2","0","42","1","","1610612737","203501","8","9","101141","1610612737"
"30","32","08:04","[BKN] Lopez Fadeaway Jump Shot: Missed","-120","36","2","0","63","2","","1610612751","201572","8","9","","1610612751"
"31","33","08:03","[ATL] Howard Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612737","2730","8","9","","1610612751"
"32","34","07:53","[ATL 11-8] Howard Dunk Shot: Made (2 PTS) Assist: Ilyasova (2 AST)","0","1","2","0","7","1","","1610612737","2730","8","11","101141","1610612737"
"33","35","07:30","[BKN 11-11] Lopez 3pt Shot: Made (3 PTS) Assist: LeVert (1 AST)","-132","219","3","0","1","1","","1610612751","201572","11","11","1627747","1610612751"
"34","37","07:20","[ATL] Team Timeout : Regular","0","-80","0","0","1","9","","1610612737","0","11","11","","1610612737"
"35","38","07:12","[ATL] Schroder Pullup Jump shot: Missed","-130","134","2","0","79","2","","1610612737","203471","11","11","","1610612737"
"36","39","07:11","[BKN] LeVert Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612751","1627747","11","11","","1610612737"
"37","41","07:04","[ATL] Prince Substitution replaced by Dunleavy","0","-80","0","0","0","8","","1610612737","1627752","11","11","2399","1610612751"
"38","42","07:04","[BKN] LeVert Substitution replaced by Whitehead","0","-80","0","0","0","8","","1610612751","1627747","11","11","1627785","1610612751"
"39","43","07:00","[BKN 14-11] Hollis-Jefferson 3pt Shot: Made (3 PTS) Assist: Foye (1 AST)","-106","214","3","0","1","1","","1610612751","1626178","14","11","200751","1610612751"
"40","44","06:38","[ATL] Howard Turnover : Bad Pass (2 TO) Steal:Lopez (1 ST)","0","-80","1","0","1","5","201572","1610612737","2730","14","11","","1610612737"
"41","45","06:25","[BKN] Lin 3pt Shot: Missed","143","228","3","0","1","2","","1610612751","202391","14","11","","1610612751"
"42","46","06:24","[ATL] Schroder Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612737","203471","14","11","","1610612751"
"43","47","06:18","[ATL 14-14] Ilyasova 3pt Shot: Made (3 PTS) Assist: Dunleavy (1 AST)","-184","165","3","1","1","1","","1610612737","101141","14","14","2399","1610612737"
"44","48","06:03","[BKN] Hollis-Jefferson Jump Shot: Missed","-115","105","2","0","1","2","","1610612751","1626178","14","14","","1610612751"
"45","49","06:02","[BKN] Lopez Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612751","201572","14","14","","1610612751"
"46","50","05:59","[BKN 16-14] Lopez Hook Shot: Made (5 PTS) Assist: Foye (2 AST)","81","23","2","0","3","1","","1610612751","201572","16","14","200751","1610612751"
"47","51","05:46","[ATL 17-16] Hardaway Jr. 3pt Shot: Made (8 PTS) Assist: Schroder (2 AST)","6","252","3","0","1","1","","1610612737","203501","16","17","203471","1610612737"
"48","52","05:19","[BKN] Lin Turnover : Bad Pass (1 TO) Steal:Ilyasova (1 ST)","0","-80","1","0","1","5","101141","1610612751","202391","16","17","","1610612751"
"49","53","05:08","[ATL 19-16] Howard Dunk Shot: Made (4 PTS) Assist: Hardaway Jr. (1 AST)","0","1","2","0","7","1","","1610612737","2730","16","19","203501","1610612737"
"50","54","05:08","[BKN] Team Timeout : Regular","0","-80","0","0","1","9","","1610612751","0","16","19","","1610612751"
"51","56","05:08","[ATL] Ilyasova Substitution replaced by Millsap","0","-80","0","0","0","8","","1610612737","101141","16","19","200794","1610612751"
"52","57","05:08","[BKN] Foye Substitution replaced by Kilpatrick","0","-80","0","0","0","8","","1610612751","200751","16","19","203930","1610612751"
"53","58","05:08","[BKN] Hollis-Jefferson Substitution replaced by Booker","0","-80","0","0","0","8","","1610612751","1626178","16","19","202344","1610612751"
"54","59","04:56","[BKN 18-19] Lopez Hook Shot: Made (7 PTS) Assist: Booker (1 AST)","17","65","2","0","3","1","","1610612751","201572","18","19","202344","1610612751"
"55","60","04:56","[ATL] Howard Foul: Shooting (1 PF) (1 FTA) (L Holtkamp)","17","65","0","0","2","6","201572","1610612737","2730","18","19","","1610612751"
"56","61","04:56","[BKN 19-19] Lopez Free Throw 1 of 1 (8 PTS)","0","-80","1","0","10","3","","1610612751","201572","19","19","","1610612751"
"57","63","04:47","[BKN] Whitehead Foul: Shooting (1 PF) (2 FTA) (K Mauer)","66","116","0","0","2","6","203501","1610612751","1627785","19","19","","1610612737"
"58","64","04:47","[ATL] Hardaway Jr. Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612737","203501","19","19","","1610612737"
"59","65","04:47","[ATL] Team Rebound","0","-80","0","0","1","4","","1610612737","0","19","19","","1610612737"
"60","66","04:47","[ATL 20-19] Hardaway Jr. Free Throw 2 of 2 (9 PTS)","0","-80","1","0","12","3","","1610612737","203501","19","20","","1610612737"
"61","68","04:34","[BKN] Booker 3pt Shot: Missed","1","252","3","0","1","2","","1610612751","202344","19","20","","1610612751"
"62","69","04:33","[ATL] Howard Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612737","2730","19","20","","1610612751"
"63","70","04:26","[ATL] Dunleavy 3pt Shot: Missed","53","247","3","0","1","2","","1610612737","2399","19","20","","1610612737"
"64","71","04:25","[BKN] Team Rebound","0","-80","0","0","0","4","","1610612751","0","19","20","","1610612737"
"65","72","04:25","[ATL] Howard Substitution replaced by Muscala","0","-80","0","0","0","8","","1610612737","2730","19","20","203488","1610612751"
"66","73","04:14","[BKN 21-20] Lopez Floating Jump shot: Made (10 PTS) Assist: Lin (1 AST)","6","67","2","0","78","1","","1610612751","201572","21","20","202391","1610612751"
"67","74","03:56","[ATL] Schroder Floating Jump shot: Missed Block: Lopez (1 BLK)","28","47","2","0","78","2","201572","1610612737","203471","21","20","","1610612737"
"68","75","03:55","[BKN] Lopez Rebound (Off:1 Def:1)","0","-80","0","0","0","4","","1610612751","201572","21","20","","1610612737"
"69","76","03:43","[BKN 23-20] Lopez Jump Shot: Made (12 PTS) Assist: Lin (2 AST)","42","97","2","0","1","1","","1610612751","201572","23","20","202391","1610612751"
"70","77","03:26","[ATL] Schroder 3pt Shot: Missed","4","264","3","0","1","2","","1610612737","203471","23","20","","1610612737"
"71","78","03:25","[BKN] Kilpatrick Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612751","203930","23","20","","1610612737"
"72","79","03:17","[BKN 26-20] Lopez 3pt Shot: Made (15 PTS) Assist: Kilpatrick (1 AST)","-161","203","3","0","1","1","","1610612751","201572","26","20","203930","1610612751"
"73","80","03:00","[ATL] Millsap Running Jump Shot: Missed","-56","80","2","0","46","2","","1610612737","200794","26","20","","1610612737"
"74","81","02:59","[BKN] Booker Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612751","202344","26","20","","1610612737"
"75","82","02:45","[BKN] Kilpatrick 3pt Shot: Missed","-210","134","3","0","1","2","","1610612751","203930","26","20","","1610612751"
"76","83","02:44","[BKN] Lin Rebound (Off:1 Def:1)","0","-80","1","0","0","4","","1610612751","202391","26","20","","1610612751"
"77","84","02:39","[BKN 29-20] Lopez 3pt Shot: Made (18 PTS) Assist: Lin (3 AST)","166","224","3","0","1","1","","1610612751","201572","29","20","202391","1610612751"
"78","85","02:39","[ATL] Team Timeout : Short","0","-80","0","0","2","9","","1610612737","0","29","20","","1610612737"
"79","87","02:39","[BKN] Lin Substitution replaced by Dinwiddie","0","-80","0","0","0","8","","1610612751","202391","29","20","203915","1610612737"
"80","88","02:39","[BKN] Lopez Substitution replaced by Acy","0","-80","0","0","0","8","","1610612751","201572","29","20","203112","1610612737"
"81","89","02:39","[ATL] Hardaway Jr. Substitution replaced by Prince","0","-80","0","0","0","8","","1610612737","203501","29","20","1627752","1610612737"
"82","90","02:14","[ATL] Schroder Pullup Jump shot: Missed","4","203","2","0","79","2","","1610612737","203471","29","20","","1610612737"
"83","91","02:13","[ATL] Muscala Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612737","203488","29","20","","1610612737"
"84","92","02:11","[ATL 22-29] Muscala Layup Shot: Made (2 PTS)","25","7","2","0","5","1","","1610612737","203488","29","22","","1610612737"
