"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Porzingis vs Johnson (Horford gains possession)","0","-80","0","0","0","10","101161","1610612752","204001","0","0","201143","1610612738"
"3","2","11:44","[BOS] Crowder Turnover : Lost Ball (1 TO) Steal:Porzingis (1 ST)","0","-80","1","0","2","5","204001","1610612738","203109","0","0","","1610612738"
"4","3","11:39","[NYK] Vujacic Pullup Jump shot: Missed","-137","21","2","1","79","2","","1610612752","2756","0","0","","1610612752"
"5","4","11:38","[BOS] Team Rebound","0","-80","0","0","0","4","","1610612738","0","0","0","","1610612752"
"6","5","11:26","[BOS] Thomas 3pt Shot: Missed","92","234","3","0","1","2","","1610612738","202738","0","0","","1610612738"
"7","6","11:24","[BOS] Horford Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612738","201143","0","0","","1610612738"
"8","7","11:16","[BOS 3-0] Johnson 3pt Shot: Made (3 PTS) Assist: Thomas (1 AST)","53","232","3","0","1","1","","1610612738","101161","0","3","202738","1610612738"
"9","8","11:00","[NYK] Porzingis Jump Shot: Missed","-58","110","2","0","1","2","","1610612752","204001","0","3","","1610612752"
"10","9","10:58","[BOS] Horford Rebound (Off:1 Def:1)","0","-80","0","0","0","4","","1610612738","201143","0","3","","1610612752"
"11","10","10:50","[BOS] Johnson Foul: Offensive (1 PF) (M Ervin)","-58","16","0","0","4","6","1626195","1610612738","101161","0","3","","1610612738"
"12","11","10:50","[BOS] Johnson Turnover : Foul (1 TO)","0","-80","0","0","5","5","","1610612738","101161","0","3","","1610612738"
"13","12","10:50","[BOS] Brown Substitution replaced by Smart","0","-80","0","0","0","8","","1610612738","1627759","0","3","203935","1610612752"
"14","13","10:30","[NYK] Vujacic 3pt Shot: Missed","225","-31","3","0","1","2","","1610612752","2756","0","3","","1610612752"
"15","14","10:28","[BOS] Smart Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612738","203935","0","3","","1610612752"
"16","15","10:24","[BOS 5-0] Crowder Layup Shot: Made (2 PTS) Assist: Smart (1 AST)","14","7","2","1","5","1","","1610612738","203109","0","5","203935","1610612738"
"17","16","10:11","[BOS] Crowder Foul: Personal (1 PF) (J Tiven)","17","11","0","0","1","6","1627758","1610612738","203109","0","5","","1610612752"
"18","17","10:04","[NYK 2-5] Lee Floating Jump shot: Made (2 PTS) Assist: Hernangomez (1 AST)","-45","67","2","0","78","1","","1610612752","201584","2","5","1626195","1610612752"
"19","18","09:46","[BOS] Horford Turnover : Bad Pass (1 TO) Steal:Baker (1 ST)","0","-80","1","0","1","5","1627758","1610612738","201143","2","5","","1610612738"
