"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Davis vs Lopez (Mirotic gains possession)","0","-80","0","0","0","10","201577","1610612740","203076","0","0","202703","1610612741"
"3","2","11:43","[CHI] Butler Jump Shot: Missed","28","198","2","0","1","2","","1610612741","202710","0","0","","1610612741"
"4","3","11:41","[NOP] Holiday Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612740","201950","0","0","","1610612741"
"5","4","11:20","[NOP] Frazier 3pt Shot: Missed","204","160","3","0","1","2","","1610612740","204025","0","0","","1610612740"
"6","5","11:19","[CHI] Rondo Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612741","200765","0","0","","1610612740"
"7","6","10:58","[CHI 2-0] Zipser Jump Shot: Made (2 PTS) Assist: Butler (1 AST)","163","136","2","0","1","1","","1610612741","1627835","0","2","202710","1610612741"
"8","7","10:43","[NOP] Cousins Jump Shot: Missed","138","105","2","0","1","2","","1610612740","202326","0","2","","1610612740"
"9","8","10:42","[CHI] Zipser Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612741","1627835","0","2","","1610612740"
"10","9","10:31","[CHI 4-0] Lopez Jump Shot: Made (2 PTS) Assist: Rondo (1 AST)","-22","141","2","0","1","1","","1610612741","201577","0","4","200765","1610612741"
"11","11","10:13","[NOP] S Hill 3pt Shot: Missed","222","16","3","0","1","2","","1610612740","203524","0","4","","1610612740"
"12","12","10:13","[CHI] Rondo Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612741","200765","0","4","","1610612740"
"13","13","10:10","[CHI] Rondo Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","0","-80","0","0","45","5","","1610612741","200765","0","4","","1610612741"
"14","14","09:48","[NOP 2-4] Holiday Jump Shot: Made (2 PTS)","148","121","2","0","45","1","","1610612740","201950","2","4","","1610612740"
"15","15","09:31","[CHI 6-2] Rondo Driving Layup Shot: Made (2 PTS)","-22","0","2","0","42","1","","1610612741","200765","2","6","","1610612741"
"16","16","09:20","[NOP 4-6] Davis Jump Shot: Made (2 PTS) Assist: Holiday (1 AST)","182","65","2","1","1","1","","1610612740","203076","4","6","201950","1610612740"
"17","17","09:07","[CHI] Rondo Turnover : Bad Pass (2 TO) Steal:Davis (1 ST)","0","-80","1","0","1","5","203076","1610612741","200765","4","6","","1610612741"
"18","18","08:58","[NOP 6-6] Cousins Layup Shot: Made (2 PTS) Assist: Holiday (2 AST)","20","2","2","0","5","1","","1610612740","202326","6","6","201950","1610612740"
"19","19","08:45","[NOP] Frazier Foul: Shooting (1 PF) (2 FTA) (M Davis)","-19","3","0","0","2","6","201577","1610612740","204025","6","6","","1610612741"
"20","20","08:45","[CHI] Lopez Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612741","201577","6","6","","1610612741"
"21","21","08:45","[CHI] Team Rebound","0","-80","0","0","1","4","","1610612741","0","6","6","","1610612741"
"22","22","08:45","[CHI 7-6] Lopez Free Throw 2 of 2 (3 PTS)","0","-80","1","0","12","3","","1610612741","201577","6","7","","1610612741"
"23","24","08:38","[NOP] Cousins Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","0","-80","0","0","45","5","","1610612740","202326","6","7","","1610612740"
"24","26","08:12","[CHI 9-6] Lopez Layup Shot: Made (5 PTS)","-20","21","2","0","5","1","","1610612741","201577","6","9","","1610612741"
"25","27","08:03","[NOP] Frazier Layup Shot: Missed","17","3","2","1","5","2","","1610612740","204025","6","9","","1610612740"
"26","28","08:01","[CHI] Lopez Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612741","201577","6","9","","1610612740"
"27","29","07:50","[CHI] Rondo 3pt Shot: Missed","50","239","3","0","1","2","","1610612741","200765","6","9","","1610612741"
"28","30","07:49","[NOP] S Hill Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612740","203524","6","9","","1610612741"
"29","31","07:36","[NOP] Cousins Turnover : Out of Bounds - Bad Pass Turnover (2 TO)","0","-80","0","0","45","5","","1610612740","202326","6","9","","1610612740"
"30","32","07:23","[CHI] Butler Jump Shot: Missed","-86","116","2","0","1","2","","1610612741","202710","6","9","","1610612741"
"31","33","07:22","[CHI] Butler Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612741","202710","6","9","","1610612741"
"32","34","07:21","[CHI 11-6] Butler Layup Shot: Made (2 PTS)","19","3","2","0","5","1","","1610612741","202710","6","11","","1610612741"
"33","35","07:21","[NOP] S Hill Foul: Shooting (1 PF) (1 FTA) (T Brown)","19","3","0","0","2","6","202710","1610612740","203524","6","11","","1610612741"
"34","37","07:21","[CHI 12-6] Butler Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612741","202710","6","12","","1610612741"
"35","39","07:06","[CHI] Lopez Foul: Shooting (1 PF) (2 FTA) (M Davis)","156","70","0","0","2","6","203076","1610612741","201577","6","12","","1610612740"
"36","40","07:06","[NOP 7-12] Davis Free Throw 1 of 2 (3 PTS)","0","-80","1","0","11","3","","1610612740","203076","7","12","","1610612740"
"37","42","07:06","[NOP 8-12] Davis Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612740","203076","8","12","","1610612740"
"38","45","06:50","[CHI] Mirotic Jump Shot: Missed","-212","85","2","0","1","2","","1610612741","202703","8","12","","1610612741"
"39","46","06:50","[CHI] Rondo Rebound (Off:1 Def:2)","0","-80","1","0","0","4","","1610612741","200765","8","12","","1610612741"
"40","47","06:46","[CHI 14-8] Rondo Layup Shot: Made (4 PTS)","25","7","2","0","5","1","","1610612741","200765","8","14","","1610612741"
"41","49","06:30","[NOP] Cousins 3pt Shot: Missed","-14","252","3","0","1","2","","1610612740","202326","8","14","","1610612740"
"42","50","06:29","[CHI] Mirotic Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612741","202703","8","14","","1610612740"
"43","51","06:22","[CHI] Mirotic 3pt Shot: Missed","-133","257","3","1","1","2","","1610612741","202703","8","14","","1610612741"
"44","52","06:21","[NOP] Cousins Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612740","202326","8","14","","1610612741"
"45","53","06:14","[NOP] Davis Layup Shot: Missed Block: Mirotic (1 BLK)","20","8","2","0","5","2","202703","1610612740","203076","8","14","","1610612740"
"46","54","06:11","[CHI] Mirotic Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612741","202703","8","14","","1610612740"
"47","55","06:09","[NOP] Holiday Foul: Shooting (1 PF) (2 FTA) (T Brown)","28","16","0","1","2","6","202710","1610612740","201950","8","14","","1610612741"
"48","56","06:09","[CHI] Butler Free Throw 1 of 2 Missed","0","-80","2","1","11","3","","1610612741","202710","8","14","","1610612741"
"49","57","06:09","[CHI] Team Rebound","0","-80","0","0","1","4","","1610612741","0","8","14","","1610612741"
"50","58","06:09","[CHI 15-8] Butler Free Throw 2 of 2 (4 PTS)","0","-80","1","1","12","3","","1610612741","202710","8","15","","1610612741"
"51","60","05:55","[NOP] Holiday Layup Shot: Missed","4","23","2","0","5","2","","1610612740","201950","8","15","","1610612740"
"52","61","05:54","[CHI] Rondo Rebound (Off:1 Def:3)","0","-80","0","0","0","4","","1610612741","200765","8","15","","1610612740"
"53","62","05:51","[CHI 17-8] Butler Dunk Shot: Made (6 PTS) Assist: Rondo (2 AST)","0","1","2","1","7","1","","1610612741","202710","8","17","200765","1610612741"
"54","63","05:44","[NOP] Team Timeout : Regular","0","-80","0","0","1","9","","1610612740","0","8","17","","1610612740"
"55","65","05:44","[CHI] Zipser Substitution replaced by Valentine","0","-80","0","0","0","8","","1610612741","1627835","8","17","1627756","1610612740"
"56","66","05:44","[NOP] Frazier Substitution replaced by Moore","0","-80","0","0","0","8","","1610612740","204025","8","17","202734","1610612740"
"57","67","05:34","[NOP 10-17] Cousins Jump Shot: Made (4 PTS) Assist: Moore (1 AST)","17","31","2","0","1","1","","1610612740","202326","10","17","202734","1610612740"
"58","69","05:12","[CHI] Lopez Hook Shot: Missed","-30","7","2","0","3","2","","1610612741","201577","10","17","","1610612741"
"59","70","05:10","[NOP] Cousins Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612740","202326","10","17","","1610612741"
"60","71","05:03","[NOP] Davis 3pt Shot: Missed","199","139","3","0","1","2","","1610612740","203076","10","17","","1610612740"
"61","72","05:02","[CHI] Rondo Rebound (Off:1 Def:4)","0","-80","0","0","0","4","","1610612741","200765","10","17","","1610612740"
"62","73","04:55","[NOP] Holiday Foul: Shooting (2 PF) (2 FTA) (J Goble)","79","129","0","0","2","6","202710","1610612740","201950","10","17","","1610612741"
"63","74","04:55","[CHI 18-10] Butler Free Throw 1 of 2 (7 PTS)","0","-80","1","0","11","3","","1610612741","202710","10","18","","1610612741"
"64","76","04:55","[NOP] Holiday Substitution replaced by Frazier","0","-80","0","0","0","8","","1610612740","201950","10","18","204025","1610612741"
