"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Nance Jr. vs Wright (Ingram gains possession)","0","-80","0","0","0","10","201148","1610612747","1626204","0","0","1627742","1610612747"
"3","2","11:54","[LAL 2-0] Ingram Driving Layup Shot: Made (2 PTS)","-5","8","2","0","42","1","","1610612747","1627742","2","0","","1610612747"
"4","3","11:36","[MEM 2-2] Selden Driving Dunk Shot: Made (2 PTS) Assist: Ennis (1 AST)","-18","11","2","0","49","1","","1610612763","1627782","2","2","203516","1610612763"
"5","4","11:18","[LAL] Russell Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","0","-80","0","0","45","5","","1610612747","1626156","2","2","","1610612747"
"6","5","11:01","[MEM] Allen Reverse Layup Shot: Missed Block: Nance Jr. (1 BLK)","31","18","2","0","44","2","1626204","1610612763","2754","2","2","","1610612763"
"7","6","11:00","[MEM] Allen Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612763","2754","2","2","","1610612763"
"8","7","10:54","[MEM] Selden Floating Jump shot: Missed","44","109","2","0","78","2","","1610612763","1627782","2","2","","1610612763"
"9","8","10:51","[LAL] Randle Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612747","203944","2","2","","1610612763"
"10","9","10:45","[LAL 5-2] Randle 3pt Shot: Made (3 PTS) Assist: Clarkson (1 AST)","138","236","3","1","1","1","","1610612747","203944","5","2","203903","1610612747"
"11","10","10:23","[MEM] Wright Driving Layup Shot: Missed Block: Randle (1 BLK)","26","21","2","0","42","2","203944","1610612763","201148","5","2","","1610612763"
"12","11","10:19","[LAL] Russell Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612747","1626156","5","2","","1610612763"
"13","12","10:05","[LAL] Clarkson 3pt Shot: Missed","-175","192","3","0","1","2","","1610612747","203903","5","2","","1610612747"
"14","13","10:04","[MEM] Selden Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612763","1627782","5","2","","1610612747"
"15","14","09:53","[MEM] Conley Floating Jump shot: Missed","-44","21","2","0","78","2","","1610612763","201144","5","2","","1610612763"
"16","15","09:51","[LAL] Randle Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612747","203944","5","2","","1610612763"
"17","16","09:45","[LAL] Ingram 3pt Shot: Missed","238","-31","3","1","1","2","","1610612747","1627742","5","2","","1610612747"
"18","17","09:42","[MEM] Conley Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612763","201144","5","2","","1610612747"
"19","18","09:38","[MEM 4-5] Allen Running Layup Shot: Made (2 PTS) Assist: Conley (1 AST)","-18","11","2","1","41","1","","1610612763","2754","5","4","201144","1610612763"
"20","19","09:26","[LAL] Randle 3pt Shot: Missed","-20","261","3","0","1","2","","1610612747","203944","5","4","","1610612747"
"21","20","09:25","[MEM] Ennis Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612763","203516","5","4","","1610612747"
"22","21","09:08","[MEM 7-5] Allen 3pt Shot: Made (5 PTS) Assist: Conley (2 AST)","225","125","3","0","1","1","","1610612763","2754","5","7","201144","1610612763"
"23","22","08:40","[LAL 7-7] Russell Driving Layup Shot: Made (2 PTS) Assist: Clarkson (2 AST)","-7","26","2","0","42","1","","1610612747","1626156","7","7","203903","1610612747"
"24","23","08:31","[LAL] Russell Foul: Personal (1 PF) (R Mott)","-163","178","0","0","1","6","2754","1610612747","1626156","7","7","","1610612763"
