"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Valanciunas vs Holmes (Joseph gains possession)","0","-80","0","0","0","10","1626158","1610612761","202685","0","0","202709","1610612761"
"3","2","11:39","[TOR] Ibaka Turnaround Hook Shot: Missed","1","65","2","0","58","2","","1610612761","201586","0","0","","1610612761"
"4","3","11:39","[PHI] Luwawu-Cabarrot Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612755","1627789","0","0","","1610612761"
"5","4","11:25","[PHI 3-0] Luwawu-Cabarrot 3pt Shot: Made (3 PTS) Assist: McConnell (1 AST)","1","242","3","0","1","1","","1610612755","1627789","0","3","204456","1610612755"
"6","5","11:13","[TOR] Valanciunas Jump Shot: Missed","143","121","2","0","1","2","","1610612761","202685","0","3","","1610612761"
"7","6","11:12","[PHI] Luwawu-Cabarrot Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612755","1627789","0","3","","1610612761"
"8","7","10:55","[PHI] Saric 3pt Shot: Missed","94","224","3","0","1","2","","1610612755","203967","0","3","","1610612755"
"9","8","10:52","[TOR] Joseph Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612761","202709","0","3","","1610612755"
"10","9","10:46","[TOR] Ibaka Jump Shot: Missed","-148","56","2","0","1","2","","1610612761","201586","0","3","","1610612761"
"11","10","10:45","[PHI] Holmes Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612755","1626158","0","3","","1610612761"
"12","11","10:37","[PHI] Holmes 3pt Shot: Missed","-39","239","3","0","1","2","","1610612755","1626158","0","3","","1610612755"
"13","12","10:37","[TOR] Ibaka Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612761","201586","0","3","","1610612755"
"14","13","10:29","[PHI] Luwawu-Cabarrot Foul: Shooting (1 PF) (2 FTA) (B Spooner)","76","149","0","0","2","6","201942","1610612755","1627789","0","3","","1610612761"
"15","14","10:29","[TOR 1-3] DeRozan Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612761","201942","1","3","","1610612761"
"16","16","10:29","[TOR 2-3] DeRozan Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612761","201942","2","3","","1610612761"
"17","18","10:12","[PHI] Holmes Cutting Dunk Shot: Missed Block: Ibaka (1 BLK)","6","11","2","0","108","2","201586","1610612755","1626158","2","3","","1610612755"
"18","19","10:11","[PHI] Anderson Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612755","1626147","2","3","","1610612755"
"19","20","10:03","[PHI 5-2] Anderson Driving Bank Hook Shot: Made (2 PTS)","-32","28","2","0","93","1","","1610612755","1626147","2","5","","1610612755"
"20","22","09:51","[TOR] Ibaka Layup Shot: Missed","-14","11","2","0","5","2","","1610612761","201586","2","5","","1610612761"
"21","23","09:51","[PHI] Saric Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612755","203967","2","5","","1610612761"
"22","25","09:45","[PHI] Saric Running Layup Shot: Missed Block: Ibaka (2 BLK)","15","0","2","0","41","2","201586","1610612755","203967","2","5","","1610612755"
"23","26","09:44","[TOR] Joseph Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612761","202709","2","5","","1610612755"
"24","27","09:39","[TOR 4-5] Carroll Running Layup Shot: Made (2 PTS) Assist: Joseph (1 AST)","6","2","2","1","41","1","","1610612761","201960","4","5","202709","1610612761"
"25","28","09:24","[PHI 7-4] Holmes Hook Shot: Made (2 PTS) Assist: McConnell (2 AST)","86","41","2","0","3","1","","1610612755","1626158","4","7","204456","1610612755"
"26","29","09:14","[TOR 6-7] Joseph Pullup Jump shot: Made (2 PTS)","150","95","2","0","79","1","","1610612761","202709","6","7","","1610612761"
"27","30","09:04","[PHI] Saric Driving Layup Shot: Missed Block: Ibaka (3 BLK)","-9","16","2","0","42","2","201586","1610612755","203967","6","7","","1610612755"
"28","31","09:03","[PHI] Anderson Rebound (Off:2 Def:0)","0","-80","1","0","0","4","","1610612755","1626147","6","7","","1610612755"
"29","32","08:52","[PHI 9-6] Luwawu-Cabarrot Driving Reverse Layup Shot: Made (5 PTS) Assist: McConnell (3 AST)","0","7","2","0","73","1","","1610612755","1627789","6","9","204456","1610612755"
"30","33","08:32","[TOR 9-9] Carroll 3pt Shot: Made (5 PTS) Assist: DeRozan (1 AST)","87","228","3","0","1","1","","1610612761","201960","9","9","201942","1610612761"
"31","34","08:32","[PHI] Team Timeout : Regular","0","-80","0","0","1","9","","1610612755","0","9","9","","1610612755"
"32","38","08:14","[PHI 12-9] Anderson 3pt Shot: Made (5 PTS) Assist: McConnell (4 AST)","-166","178","3","0","1","1","","1610612755","1626147","9","12","204456","1610612755"
"33","39","07:53","[TOR] Ibaka 3pt Shot: Missed","-127","218","3","0","1","2","","1610612761","201586","9","12","","1610612761"
"34","40","07:52","[PHI] Team Rebound","0","-80","0","0","0","4","","1610612755","0","9","12","","1610612761"
