"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Dedmon vs Gobert (Exum gains possession)","0","-80","0","0","0","10","203497","1610612759","203473","0","0","203957","1610612762"
"3","2","11:48","[UTA 2-0] Diaw Turnaround Jump Shot: Made (2 PTS) Assist: Hood (1 AST)","-27","75","2","0","47","1","","1610612762","2564","0","2","203918","1610612762"
"4","3","11:30","[SAS 2-2] Dedmon Dunk Shot: Made (2 PTS) Assist: Anderson (1 AST)","0","1","2","0","7","1","","1610612759","203473","2","2","203937","1610612759"
"5","4","11:07","[UTA 4-2] Diaw Driving Finger Roll Layup Shot: Made (4 PTS)","19","2","2","0","75","1","","1610612762","2564","2","4","","1610612762"
"6","5","10:53","[SAS 4-4] Leonard Step Back Jump shot: Made (2 PTS)","-143","95","2","0","80","1","","1610612759","202695","4","4","","1610612759"
"7","6","10:30","[UTA] Exum Reverse Layup Shot: Missed","-16","11","2","0","44","2","","1610612762","203957","4","4","","1610612762"
"8","7","10:28","[SAS] Bertans Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612759","202722","4","4","","1610612762"
"9","8","10:23","[SAS 6-4] Dedmon Alley Oop Dunk Shot: Made (4 PTS) Assist: Anderson (2 AST)","0","1","2","1","52","1","","1610612759","203473","6","4","203937","1610612759"
"10","9","10:01","[UTA] Hood Jump Shot: Missed","120","129","2","0","1","2","","1610612762","203918","6","4","","1610612762"
"11","10","10:00","[UTA] Diaw Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612762","2564","6","4","","1610612762"
"12","11","09:57","[UTA] Diaw Turnover : Lost Ball (1 TO) Steal:Anderson (1 ST)","0","-80","1","0","2","5","203937","1610612762","2564","6","4","","1610612762"
"13","12","09:38","[SAS 8-4] Parker Jump Shot: Made (2 PTS) Assist: Leonard (1 AST)","-205","8","2","0","1","1","","1610612759","2225","8","4","202695","1610612759"
"14","13","09:20","[UTA] Exum Floating Jump shot: Missed","-7","72","2","0","78","2","","1610612762","203957","8","4","","1610612762"
