"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Holmes vs Lopez (Anderson gains possession)","0","-80","0","0","0","10","201572","1610612755","1626158","0","0","1626147","1610612755"
"3","2","11:41","[PHI] Saric Turnover : Bad Pass (1 TO) Steal:Foye (1 ST)","0","-80","1","0","1","5","200751","1610612755","203967","0","0","","1610612755"
"4","3","11:30","[BKN 3-0] Lopez 3pt Shot: Made (3 PTS) Assist: LeVert (1 AST)","207","139","3","0","1","1","","1610612751","201572","0","3","1627747","1610612751"
"5","4","11:07","[PHI 2-3] Holmes Jump Shot: Made (2 PTS) Assist: Luwawu-Cabarrot (1 AST)","-169","57","2","0","1","1","","1610612755","1626158","2","3","1627789","1610612755"
"6","5","10:47","[BKN] Lin Layup Shot: Missed","27","13","2","0","5","2","","1610612751","202391","2","3","","1610612751"
"7","6","10:45","[PHI] Holmes Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612755","1626158","2","3","","1610612751"
"8","7","10:36","[PHI 5-3] Holmes 3pt Shot: Made (5 PTS) Assist: Saric (1 AST)","17","247","3","0","1","1","","1610612755","1626158","5","3","203967","1610612755"
"9","9","10:20","[BKN] Lin Layup Shot: Missed Block: Holmes (1 BLK)","17","2","2","0","5","2","1626158","1610612751","202391","5","3","","1610612751"
"10","10","10:19","[BKN] Team Rebound","0","-80","0","0","0","4","","1610612751","0","5","3","","1610612751"
"11","11","10:12","[BKN 5-5] Hollis-Jefferson Cutting Dunk Shot: Made (2 PTS) Assist: Lin (1 AST)","0","1","2","0","108","1","","1610612751","1626178","5","5","202391","1610612751"
"12","12","09:56","[BKN] Lopez Foul: Shooting (1 PF) (2 FTA) (J VanDuyne)","15","-6","0","0","2","6","203967","1610612751","201572","5","5","","1610612755"
"13","13","09:56","[PHI 6-5] Saric Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612755","203967","6","5","","1610612755"
"14","15","09:56","[PHI] Saric Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612755","203967","6","5","","1610612755"
"15","17","09:55","[BKN] Lin Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612751","202391","6","5","","1610612755"
"16","18","09:39","[BKN 7-6] Hollis-Jefferson Layup Shot: Made (4 PTS) Assist: Lin (2 AST)","-7","0","2","0","5","1","","1610612751","1626178","6","7","202391","1610612751"
"17","20","09:17","[PHI] Holmes Layup Shot: Missed Block: Lopez (1 BLK)","-17","-6","2","0","5","2","201572","1610612755","1626158","6","7","","1610612755"
"18","21","09:15","[BKN] LeVert Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612751","1627747","6","7","","1610612755"
"19","22","09:07","[BKN] LeVert 3pt Shot: Missed","197","154","3","0","1","2","","1610612751","1627747","6","7","","1610612751"
"20","23","09:06","[PHI] Holmes Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612755","1626158","6","7","","1610612751"
"21","24","08:57","[PHI] Luwawu-Cabarrot 3pt Shot: Missed","-219","146","3","0","1","2","","1610612755","1627789","6","7","","1610612755"
"22","25","08:56","[BKN] Lin Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612751","202391","6","7","","1610612755"
"23","26","08:51","[BKN] Lin Turnover : Bad Pass (1 TO) Steal:Holmes (1 ST)","0","-80","1","0","1","5","1626158","1610612751","202391","6","7","","1610612751"
"24","27","08:43","[PHI] McConnell Running Jump Shot: Missed","46","47","2","1","46","2","","1610612755","204456","6","7","","1610612755"
"25","28","08:42","[BKN] Team Rebound","0","-80","0","0","0","4","","1610612751","0","6","7","","1610612755"
"26","29","08:27","[BKN 9-6] Lopez Hook Shot: Made (5 PTS) Assist: LeVert (2 AST)","-22","36","2","0","3","1","","1610612751","201572","6","9","1627747","1610612751"
"27","30","08:17","[PHI] Saric 3pt Shot: Missed","55","244","3","0","1","2","","1610612755","203967","6","9","","1610612755"
"28","31","08:16","[BKN] Foye Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612751","200751","6","9","","1610612755"
