"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Gortat vs Zeller (Wall gains possession)","0","-80","0","0","0","10","203469","1610612764","101162","0","0","202322","1610612764"
"3","2","11:37","[WAS] Porter Jump Shot: Missed","-35","90","2","0","1","2","","1610612764","203490","0","0","","1610612764"
"4","3","11:36","[CHA] Zeller Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612766","203469","0","0","","1610612764"
"5","4","11:14","[CHA] Williams Layup Shot: Missed","-6","-16","2","0","5","2","","1610612766","101107","0","0","","1610612766"
"6","5","11:13","[WAS] Wall Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612764","202322","0","0","","1610612766"
"7","7","11:06","[WAS] Beal 3pt Shot: Missed","122","237","3","0","1","2","","1610612764","203078","0","0","","1610612764"
"8","8","11:05","[CHA] Batum Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612766","201587","0","0","","1610612764"
"9","9","10:53","[CHA] Kidd-Gilchrist Jump Shot: Missed","135","21","2","0","1","2","","1610612766","203077","0","0","","1610612766"
"10","10","10:52","[WAS] Porter Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612764","203490","0","0","","1610612766"
"11","11","10:41","[WAS] Porter 3pt Shot: Missed","236","126","3","0","1","2","","1610612764","203490","0","0","","1610612764"
"12","12","10:40","[CHA] Walker Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612766","202689","0","0","","1610612764"
"13","13","10:33","[CHA 3-0] Batum 3pt Shot: Made (3 PTS) Assist: Kidd-Gilchrist (1 AST)","-205","175","3","0","1","1","","1610612766","201587","0","3","203077","1610612766"
"14","14","10:13","[WAS 2-3] Gortat Jump Shot: Made (2 PTS) Assist: Porter (1 AST)","-142","67","2","0","1","1","","1610612764","101162","2","3","203490","1610612764"
"15","15","09:59","[CHA] Batum Turnover : Bad Pass (1 TO) Steal:Wall (1 ST)","0","-80","1","0","1","5","202322","1610612766","201587","2","3","","1610612766"
"16","16","09:50","[WAS] Porter Jump Shot: Missed","-106","100","2","0","1","2","","1610612764","203490","2","3","","1610612764"
"17","17","09:49","[CHA] Walker Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612766","202689","2","3","","1610612764"
"18","18","09:35","[CHA] Walker 3pt Shot: Missed","140","239","3","0","1","2","","1610612766","202689","2","3","","1610612766"
"19","19","09:34","[WAS] Gortat Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612764","101162","2","3","","1610612766"
"20","20","09:23","[WAS] Wall Jump Shot: Missed","-120","110","2","0","1","2","","1610612764","202322","2","3","","1610612764"
"21","21","09:22","[CHA] Zeller Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612766","203469","2","3","","1610612764"
"22","22","09:13","[CHA 5-2] Batum Driving Bank shot: Made (5 PTS)","50","21","2","0","82","1","","1610612766","201587","2","5","","1610612766"
"23","23","08:49","[WAS] Mark Morris Jump Shot: Missed","-127","82","2","0","1","2","","1610612764","202693","2","5","","1610612764"
"24","24","08:48","[CHA] Zeller Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612766","203469","2","5","","1610612764"
"25","25","08:27","[CHA] Williams 3pt Shot: Missed","184","210","3","0","1","2","","1610612766","101107","2","5","","1610612766"
"26","26","08:26","[CHA] Zeller Rebound (Off:1 Def:3)","0","-80","1","0","0","4","","1610612766","203469","2","5","","1610612766"
"27","27","08:22","[CHA] Zeller Turnover : Bad Pass (1 TO) Steal:Wall (2 ST)","0","-80","1","0","1","5","202322","1610612766","203469","2","5","","1610612766"
"28","28","08:13","[WAS 4-5] Beal Fadeaway Jump Shot: Made (2 PTS) Assist: Porter (2 AST)","-48","136","2","0","63","1","","1610612764","203078","4","5","203490","1610612764"
"29","30","07:59","[CHA] Williams Turnover : Bad Pass (1 TO) Steal:Wall (3 ST)","0","-80","1","0","1","5","202322","1610612766","101107","4","5","","1610612766"
"30","31","07:54","[WAS] Beal Layup Shot: Missed","1","1","2","1","5","2","","1610612764","203078","4","5","","1610612764"
"31","32","07:52","[CHA] Walker Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612766","202689","4","5","","1610612764"
"32","33","07:40","[CHA] Batum Turnover : Lost Ball (2 TO) Steal:Wall (4 ST)","0","-80","1","0","2","5","202322","1610612766","201587","4","5","","1610612766"
"33","544","07:37","[WAS] Wall Running Layup Shot: Missed Block: Walker (1 BLK)","0","7","2","0","41","2","202689","1610612764","202322","4","5","","1610612764"
"34","545","07:36","[WAS] Team Rebound","0","-80","0","0","0","4","","1610612764","0","4","5","","1610612764"
"35","36","07:34","[WAS 6-5] Mark Morris Jump Shot: Made (2 PTS) Assist: Porter (3 AST)","176","62","2","0","1","1","","1610612764","202693","6","5","203490","1610612764"
"36","37","07:13","[CHA 7-6] Kidd-Gilchrist Pullup Jump shot: Made (2 PTS)","137","146","2","0","79","1","","1610612766","203077","6","7","","1610612766"
"37","39","06:53","[WAS 9-7] Wall 3pt Shot: Made (3 PTS) Assist: Beal (1 AST)","122","242","3","0","1","1","","1610612764","202322","9","7","203078","1610612764"
"38","40","06:29","[CHA 9-9] Zeller Fadeaway Jump Shot: Made (2 PTS) Assist: Batum (1 AST)","68","100","2","0","63","1","","1610612766","203469","9","9","201587","1610612766"
"39","41","06:29","[WAS] Mark Morris Foul: Shooting (1 PF) (1 FTA) (L Wood)","68","100","0","0","2","6","203469","1610612764","202693","9","9","","1610612766"
"40","42","06:29","[CHA 10-9] Zeller Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612766","203469","9","10","","1610612766"
"41","45","06:15","[WAS] Mark Morris Jump Shot: Missed","166","16","2","0","1","2","","1610612764","202693","9","10","","1610612764"
"42","46","06:14","[CHA] Zeller Rebound (Off:1 Def:4)","0","-80","0","0","0","4","","1610612766","203469","9","10","","1610612764"
"43","47","05:55","[CHA] Zeller Jump Shot: Missed","-124","178","2","0","1","2","","1610612766","203469","9","10","","1610612766"
"44","48","05:53","[CHA] Kidd-Gilchrist Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612766","203077","9","10","","1610612766"
"45","49","05:50","[CHA 12-9] Kidd-Gilchrist Reverse Layup Shot: Made (4 PTS) Assist: Walker (1 AST)","12","7","2","0","44","1","","1610612766","203077","9","12","202689","1610612766"
"46","50","05:37","[WAS 12-12] Beal 3pt Shot: Made (5 PTS) Assist: Wall (1 AST)","-184","188","3","0","1","1","","1610612764","203078","12","12","202322","1610612764"
"47","51","05:19","[CHA 14-12] Batum Fadeaway Jump Shot: Made (7 PTS)","151","3","2","0","63","1","","1610612766","201587","12","14","","1610612766"
"48","52","04:59","[WAS] Porter 3pt Shot: Missed Block: Williams (1 BLK)","-173","174","3","0","1","2","101107","1610612764","203490","12","14","","1610612764"
"49","53","04:58","[CHA] Zeller Rebound (Off:1 Def:5)","0","-80","0","0","0","4","","1610612766","203469","12","14","","1610612764"
"50","54","04:48","[CHA] Walker 3pt Shot: Missed","-114","244","3","0","1","2","","1610612766","202689","12","14","","1610612766"
"51","55","04:48","[WAS] Gortat Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612764","101162","12","14","","1610612766"
"52","56","04:30","[WAS 14-14] Mark Morris Cutting Dunk Shot: Made (4 PTS) Assist: Wall (2 AST)","0","1","2","0","108","1","","1610612764","202693","14","14","202322","1610612764"
"53","57","04:19","[CHA] Team Timeout : Regular","0","-80","0","0","1","9","","1610612766","0","14","14","","1610612766"
"54","59","04:19","[CHA] Kidd-Gilchrist Substitution replaced by Kaminsky","0","-80","0","0","0","8","","1610612766","203077","14","14","1626163","1610612766"
"55","60","04:19","[CHA] Williams Substitution replaced by Belinelli","0","-80","0","0","0","8","","1610612766","101107","14","14","201158","1610612766"
"56","61","04:19","[WAS] Gortat Substitution replaced by Mahinmi","0","-80","0","0","0","8","","1610612764","101162","14","14","101133","1610612766"
"57","63","04:04","[CHA] Batum 3pt Shot: Missed","-176","185","3","0","1","2","","1610612766","201587","14","14","","1610612766"
"58","64","04:03","[WAS] Mark Morris Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612764","202693","14","14","","1610612766"
"59","65","03:48","[WAS] Wall Turnover : Bad Pass (1 TO)","0","-80","0","0","1","5","","1610612764","202322","14","14","","1610612764"
"60","66","03:32","[CHA 16-14] Zeller Reverse Layup Shot: Made (5 PTS)","9","-1","2","0","44","1","","1610612766","203469","14","16","","1610612766"
"61","67","03:18","[WAS] Wall Turnover : Bad Pass (2 TO) Steal:Walker (1 ST)","0","-80","1","0","1","5","202689","1610612764","202322","14","16","","1610612764"
"62","68","03:13","[CHA 18-14] Zeller Layup Shot: Made (7 PTS) Assist: Walker (2 AST)","-4","3","2","1","5","1","","1610612766","203469","14","18","202689","1610612766"
"63","69","03:13","[WAS] Mark Morris Foul: Shooting (2 PF) (1 FTA) (S Foster)","-4","3","0","1","2","6","203469","1610612764","202693","14","18","","1610612766"
"64","70","03:13","[WAS] Porter Substitution replaced by Oubre","0","-80","0","0","0","8","","1610612764","203490","14","18","1626162","1610612766"
"65","71","03:13","[WAS] Mark Morris Substitution replaced by Smith","0","-80","0","0","0","8","","1610612764","202693","14","18","201160","1610612766"
"66","72","03:13","[CHA 19-14] Zeller Free Throw 1 of 1 (8 PTS)","0","-80","1","1","10","3","","1610612766","203469","14","19","","1610612766"
"67","75","02:52","[WAS] Smith 3pt Shot: Missed","-227","28","3","0","1","2","","1610612764","201160","14","19","","1610612764"
"68","76","02:50","[CHA] Walker Rebound (Off:0 Def:4)","0","-80","0","0","0","4","","1610612766","202689","14","19","","1610612764"
"69","77","02:37","[CHA 22-14] Walker 3pt Shot: Made (3 PTS) Assist: Batum (2 AST)","42","267","3","0","1","1","","1610612766","202689","14","22","201587","1610612766"
"70","79","02:22","[CHA] Zeller Foul: Defense 3 Second (0 PF) (L Wood)","0","-80","0","0","17","6","","1610612766","203469","14","22","","1610612764"
"71","80","02:22","[WAS] Team Timeout : Regular","0","-80","0","0","1","9","","1610612764","0","14","22","","1610612764"
"72","82","02:22","[CHA] Zeller Substitution replaced by Roberts","0","-80","0","0","0","8","","1610612766","203469","14","22","203148","1610612764"
"73","83","02:22","[CHA] Batum Substitution replaced by Lamb","0","-80","0","0","0","8","","1610612766","201587","14","22","203087","1610612764"
"74","84","02:22","[CHA] Walker Substitution replaced by Plumlee","0","-80","0","0","0","8","","1610612766","202689","14","22","203101","1610612764"
