"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Cauley-Stein vs Noel (Ferrell gains possession)","0","-80","0","0","0","10","203457","1610612758","1626161","0","0","1627812","1610612742"
"3","2","11:42","[DAL] Brussino Jump Shot: Missed","-142","90","2","0","1","2","","1610612742","1627852","0","0","","1610612742"
"4","3","11:41","[SAC] Galloway Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612758","204038","0","0","","1610612742"
"5","4","11:15","[SAC 3-0] Galloway 3pt Shot: Made (3 PTS) Assist: Hield (1 AST)","-91","228","3","0","1","1","","1610612758","204038","3","0","1627741","1610612758"
"6","5","10:57","[DAL 2-3] Barnes Step Back Jump shot: Made (2 PTS)","-156","11","2","0","80","1","","1610612742","203084","3","2","","1610612742"
"7","6","10:41","[DAL] Noel Foul: Shooting (1 PF) (2 FTA) (E Dalen)","48","16","0","0","2","6","204038","1610612742","203457","3","2","","1610612758"
"8","7","10:41","[SAC 4-2] Galloway Free Throw 1 of 2 (4 PTS)","0","-80","1","0","11","3","","1610612758","204038","4","2","","1610612758"
"9","9","10:41","[SAC] Galloway Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612758","204038","4","2","","1610612758"
"10","11","10:39","[SAC] Galloway Rebound (Off:1 Def:1)","0","-80","1","0","0","4","","1610612758","204038","4","2","","1610612758"
"11","12","10:37","[SAC] Galloway Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","0","-80","0","0","45","5","","1610612758","204038","4","2","","1610612758"
"12","13","10:19","[SAC] Labissiere Foul: Shooting (1 PF) (2 FTA) (B Kennedy)","-43","8","0","0","2","6","203457","1610612758","1627746","4","2","","1610612742"
"13","14","10:19","[DAL] Noel Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612742","203457","4","2","","1610612742"
"14","15","10:19","[DAL] Team Rebound","0","-80","0","0","1","4","","1610612742","0","4","2","","1610612742"
"15","16","10:19","[DAL 3-4] Noel Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612742","203457","4","3","","1610612742"
"16","18","10:04","[SAC] Hield Jump Shot: Missed","137","116","2","0","1","2","","1610612758","1627741","4","3","","1610612758"
"17","19","10:04","[DAL] Brussino Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612742","1627852","4","3","","1610612758"
"18","20","09:54","[DAL 5-4] Noel Floating Jump shot: Made (3 PTS) Assist: Ferrell (1 AST)","17","65","2","0","78","1","","1610612742","203457","4","5","1627812","1610612742"
