"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Davis vs Jokic (Cousins gains possession)","0","-80","0","0","0","10","203999","1610612740","203076","0","0","202326","1610612740"
"3","2","11:48","[NOP] Cousins Turnover : Bad Pass (1 TO) Steal:Murray (1 ST)","0","-80","1","0","1","5","1627750","1610612740","202326","0","0","","1610612740"
"4","3","11:39","[DEN] Murray Turnover : Bad Pass (1 TO) Steal:Frazier (1 ST)","0","-80","1","0","1","5","204025","1610612743","1627750","0","0","","1610612743"
"5","4","11:34","[NOP 2-0] Davis Alley Oop Dunk Shot: Made (2 PTS) Assist: Frazier (1 AST)","0","1","2","1","52","1","","1610612740","203076","2","0","204025","1610612740"
"6","5","11:17","[DEN 2-2] Gallinari Fadeaway Jump Shot: Made (2 PTS)","146","31","2","0","63","1","","1610612743","201568","2","2","","1610612743"
"7","6","10:53","[NOP 4-2] Cousins Floating Jump shot: Made (2 PTS)","4","46","2","0","78","1","","1610612740","202326","4","2","","1610612740"
"8","7","10:42","[DEN] Murray Turnover : Out of Bounds - Bad Pass Turnover (2 TO)","0","-80","0","0","45","5","","1610612743","1627750","4","2","","1610612743"
"9","8","10:36","[NOP] Holiday Jump Shot: Missed","66","149","2","0","1","2","","1610612740","201950","4","2","","1610612740"
"10","9","10:34","[NOP] Team Rebound","0","-80","0","0","0","4","","1610612740","0","4","2","","1610612740"
"11","10","10:34","[DEN] Jokic Foul: Loose Ball (1 PF) (M Kogut)","-38","33","0","0","3","6","203076","1610612743","203999","4","2","","1610612740"
"12","11","10:28","[NOP] Davis Jump Shot: Missed","109","75","2","0","1","2","","1610612740","203076","4","2","","1610612740"
"13","12","10:26","[DEN] Faried Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612743","202702","4","2","","1610612740"
"14","13","10:11","[DEN 4-4] Gallinari Step Back Jump shot: Made (4 PTS)","-45","193","2","0","80","1","","1610612743","201568","4","4","","1610612743"
"15","14","09:59","[NOP] Davis Jump Shot: Missed","-24","51","2","0","1","2","","1610612740","203076","4","4","","1610612740"
"16","15","09:58","[DEN] Gallinari Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612743","201568","4","4","","1610612740"
"17","16","09:48","[DEN] Jokic Layup Shot: Missed","15","7","2","0","5","2","","1610612743","203999","4","4","","1610612743"
"18","18","09:47","[DEN] Jokic Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612743","203999","4","4","","1610612743"
"19","17","09:46","[DEN 6-4] Jokic Putback Layup Shot: Made (2 PTS)","15","26","2","0","72","1","","1610612743","203999","4","6","","1610612743"
"20","19","09:34","[NOP 6-6] Cousins Driving Layup Shot: Made (4 PTS)","12","16","2","0","42","1","","1610612740","202326","6","6","","1610612740"
"21","20","09:10","[DEN 8-6] Harris Jump Shot: Made (2 PTS) Assist: Murray (1 AST)","150","0","2","0","1","1","","1610612743","203914","6","8","1627750","1610612743"
"22","21","08:56","[NOP 8-8] Holiday Alley Oop Layup shot: Made (2 PTS) Assist: Cousins (1 AST)","-19","3","2","0","43","1","","1610612740","201950","8","8","202326","1610612740"
"23","22","08:45","[DEN 10-8] Jokic Jump Shot: Made (4 PTS) Assist: Harris (1 AST)","128","124","2","0","1","1","","1610612743","203999","8","10","203914","1610612743"
"24","23","08:32","[NOP 11-10] Davis 3pt Shot: Made (5 PTS) Assist: Holiday (1 AST)","101","229","3","0","1","1","","1610612740","203076","11","10","201950","1610612740"
"25","24","08:09","[DEN 13-11] Murray 3pt Shot: Made (3 PTS) Assist: Faried (1 AST)","225","61","3","0","1","1","","1610612743","1627750","11","13","202702","1610612743"
"26","25","07:55","[NOP 13-13] Frazier Driving Layup Shot: Made (2 PTS)","-25","2","2","0","42","1","","1610612740","204025","13","13","","1610612740"
"27","26","07:53","[DEN] Team Timeout : Regular","0","-80","0","0","1","9","","1610612743","0","13","13","","1610612743"
"28","27","07:41","[NOP] S Hill Foul: Shooting (1 PF) (2 FTA) (D Crawford)","38","-1","0","0","2","6","201568","1610612740","203524","13","13","","1610612743"
"29","28","07:41","[DEN 14-13] Gallinari Free Throw 1 of 2 (5 PTS)","0","-80","1","0","11","3","","1610612743","201568","13","14","","1610612743"
"30","31","07:41","[DEN 15-13] Gallinari Free Throw 2 of 2 (6 PTS)","0","-80","1","0","12","3","","1610612743","201568","13","15","","1610612743"
"31","33","07:31","[NOP] Cousins Jump Shot: Missed Block: Faried (1 BLK)","-83","7","2","0","1","2","202702","1610612740","202326","13","15","","1610612740"
"32","34","07:30","[NOP] Team Rebound","0","-80","0","0","0","4","","1610612740","0","13","15","","1610612740"
"33","35","07:21","[NOP] Frazier Jump Shot: Missed","64","183","2","0","1","2","","1610612740","204025","13","15","","1610612740"
"34","36","07:19","[NOP] Cousins Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612740","202326","13","15","","1610612740"
"35","37","07:19","[DEN] Faried Foul: Loose Ball (1 PF) (D Crawford)","-25","13","0","0","3","6","202326","1610612743","202702","13","15","","1610612740"
"36","38","07:10","[NOP] S Hill Layup Shot: Missed","22","3","2","0","5","2","","1610612740","203524","13","15","","1610612740"
"37","39","07:09","[DEN] Jokic Rebound (Off:1 Def:1)","0","-80","0","0","0","4","","1610612743","203999","13","15","","1610612740"
"38","40","07:05","[DEN] Gallinari 3pt Shot: Missed","-160","193","3","1","1","2","","1610612743","201568","13","15","","1610612743"
"39","41","07:03","[NOP] Frazier Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612740","204025","13","15","","1610612743"
"40","42","06:54","[NOP] Cousins 3pt Shot: Missed","-96","232","3","0","1","2","","1610612740","202326","13","15","","1610612740"
"41","43","06:52","[DEN] Faried Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612743","202702","13","15","","1610612740"
"42","44","06:43","[NOP] Cousins Foul: Personal (1 PF) (M Kogut)","128","193","0","0","1","6","203999","1610612740","202326","13","15","","1610612743"
