"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Adams vs Maker (Oladipo gains possession)","0","-80","0","0","0","10","1627748","1610612760","203500","0","0","203506","1610612760"
"3","2","11:45","[OKC] Oladipo 3pt Shot: Missed","-38","244","3","0","1","2","","1610612760","203506","0","0","","1610612760"
"4","3","11:44","[MIL] Antetokounmpo Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612749","203507","0","0","","1610612760"
"5","4","11:21","[MIL] Middleton Turnaround Fadeaway shot: Missed","133","70","2","0","86","2","","1610612749","203114","0","0","","1610612749"
"6","5","11:20","[OKC] Westbrook Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612760","201566","0","0","","1610612749"
"7","7","11:01","[MIL] Maker Violation:Defensive Goaltending (T Brothers)","0","-80","0","0","2","7","","1610612749","1627748","0","0","","1610612760"
"8","6","11:01","[OKC 2-0] Gibson Hook Shot: Made (2 PTS)","51","7","2","0","3","1","","1610612760","201959","2","0","","1610612760"
"9","8","10:51","[MIL] Maker Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","0","-80","0","0","45","5","","1610612749","1627748","2","0","","1610612749"
"10","9","10:41","[MIL] Maker Foul: Personal (1 PF) (J Tiven)","-1","41","0","0","1","6","203500","1610612749","1627748","2","0","","1610612760"
"11","10","10:29","[OKC] Adams Layup Shot: Missed","-12","-5","2","0","5","2","","1610612760","203500","2","0","","1610612760"
"12","11","10:29","[MIL] Antetokounmpo Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612749","203507","2","0","","1610612760"
"13","12","10:25","[MIL] Antetokounmpo Running Layup Shot: Missed Block: Roberson (1 BLK)","15","11","2","1","41","2","203460","1610612749","203507","2","0","","1610612749"
"14","13","10:25","[OKC] Team Rebound","0","-80","0","0","0","4","","1610612760","0","2","0","","1610612749"
"15","14","10:03","[OKC] Westbrook Pullup Jump shot: Missed","155","85","2","0","79","2","","1610612760","201566","2","0","","1610612760"
"16","15","10:02","[MIL] Middleton Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612749","203114","2","0","","1610612760"
"17","16","09:50","[MIL 2-2] Maker Reverse Layup Shot: Made (2 PTS) Assist: Snell (1 AST)","9","7","2","0","44","1","","1610612749","1627748","2","2","203503","1610612749"
"18","17","09:27","[OKC] Oladipo Turnover : Bad Pass (1 TO) Steal:Dellavedova (1 ST)","0","-80","1","0","1","5","203521","1610612760","203506","2","2","","1610612760"
"19","18","09:23","[OKC] Oladipo Foul: Shooting Block (1 PF) (2 FTA) (J Tiven)","78","31","0","1","29","6","203507","1610612760","203506","2","2","","1610612749"
