"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Jordan vs Noel (Paul gains possession)","0","-80","0","0","0","10","203457","1610612746","201599","0","0","101108","1610612746"
"3","2","11:48","[LAC] Paul Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","0","-80","0","0","45","5","","1610612746","101108","0","0","","1610612746"
"4","3","11:32","[DAL] Matthews Turnover : Lost Ball (1 TO) Steal:Redick (1 ST)","0","-80","1","0","2","5","200755","1610612742","202083","0","0","","1610612742"
"5","4","11:23","[LAC 3-0] Redick 3pt Shot: Made (3 PTS) Assist: Paul (1 AST)","161","213","3","0","1","1","","1610612746","200755","3","0","101108","1610612746"
"6","5","11:05","[DAL] Barnes Step Back Jump shot: Missed","115","124","2","0","80","2","","1610612742","203084","3","0","","1610612742"
"7","6","11:02","[LAC] Jordan Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612746","201599","3","0","","1610612742"
"8","7","10:54","[LAC 5-0] Griffin Reverse Layup Shot: Made (2 PTS) Assist: Paul (2 AST)","24","21","2","0","44","1","","1610612746","201933","5","0","101108","1610612746"
"9","9","10:29","[DAL] Matthews Fadeaway Jump Shot: Missed","-132","90","2","0","63","2","","1610612742","202083","5","0","","1610612742"
"10","10","10:27","[LAC] Jordan Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612746","201599","5","0","","1610612742"
"11","11","10:25","[LAC 7-0] Griffin Running Dunk Shot: Made (4 PTS) Assist: Paul (3 AST)","0","1","2","1","50","1","","1610612746","201933","7","0","101108","1610612746"
"12","12","10:00","[DAL 2-7] Nowitzki Turnaround Jump Shot: Made (2 PTS)","63","129","2","0","47","1","","1610612742","1717","7","2","","1610612742"
"13","13","09:49","[LAC 9-2] Griffin Driving Hook Shot: Made (6 PTS)","17","46","2","0","57","1","","1610612746","201933","9","2","","1610612746"
"14","14","09:24","[DAL 4-9] Barnes Turnaround Fadeaway shot: Made (2 PTS)","7","154","2","0","86","1","","1610612742","203084","9","4","","1610612742"
"15","15","09:14","[LAC 11-4] Paul Pullup Jump shot: Made (2 PTS)","173","7","2","0","79","1","","1610612746","101108","11","4","","1610612746"
"16","16","08:52","[DAL 6-11] Barnes Pullup Jump shot: Made (4 PTS) Assist: Matthews (1 AST)","145","62","2","0","79","1","","1610612742","203084","11","6","202083","1610612742"
"17","17","08:44","[LAC 13-6] Mbah a Moute Jump Shot: Made (2 PTS) Assist: Paul (4 AST)","-135","111","2","0","1","1","","1610612746","201601","13","6","101108","1610612746"
"18","19","08:31","[DAL] Ferrell 3pt Shot: Missed","110","223","3","0","1","2","","1610612742","1627812","13","6","","1610612742"
"19","20","08:30","[LAC] Jordan Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612746","201599","13","6","","1610612742"
"20","21","08:19","[LAC 16-6] Griffin 3pt Shot: Made (9 PTS) Assist: Paul (5 AST)","-230","7","3","0","1","1","","1610612746","201933","16","6","101108","1610612746"
"21","22","08:17","[DAL] Team Timeout : Regular","0","-80","0","0","1","9","","1610612742","0","16","6","","1610612742"
"22","24","08:01","[DAL] Ferrell Pullup Jump shot: Missed","-122","134","2","0","79","2","","1610612742","1627812","16","6","","1610612742"
"23","25","07:59","[LAC] Paul Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612746","101108","16","6","","1610612742"
"24","26","07:55","[DAL] Barnes Foul: Personal (1 PF) (B Forte)","12","47","0","0","1","6","201599","1610612742","203084","16","6","","1610612746"
"25","27","07:41","[LAC 19-6] Paul 3pt Shot: Made (5 PTS)","189","193","3","0","79","1","","1610612746","101108","19","6","","1610612746"
"26","28","07:28","[DAL] Nowitzki Jump Shot: Missed","64","175","2","0","1","2","","1610612742","1717","19","6","","1610612742"
"27","29","07:26","[LAC] Jordan Rebound (Off:0 Def:4)","0","-80","0","0","0","4","","1610612746","201599","19","6","","1610612742"
"28","30","07:14","[LAC 22-6] Redick 3pt Shot: Made (6 PTS) Assist: Griffin (1 AST)","-214","149","3","0","1","1","","1610612746","200755","22","6","201933","1610612746"
"29","31","07:10","[DAL] Team Timeout : Short","0","-80","0","0","2","9","","1610612742","0","22","6","","1610612742"
"30","33","07:10","[DAL] Noel Substitution replaced by Harris","0","-80","0","0","0","8","","1610612742","203457","22","6","2734","1610612742"
"31","34","07:10","[DAL] Ferrell Substitution replaced by Barea","0","-80","0","0","0","8","","1610612742","1627812","22","6","200826","1610612742"
"32","35","06:51","[DAL] Nowitzki 3pt Shot: Missed","-11","272","3","0","1","2","","1610612742","1717","22","6","","1610612742"
"33","36","06:50","[LAC] Griffin Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612746","201933","22","6","","1610612742"
"34","37","06:39","[LAC] Jordan Turnover : Lost Ball (1 TO) Steal:Nowitzki (1 ST)","0","-80","1","0","2","5","1717","1610612746","201599","22","6","","1610612746"
"35","39","06:25","[DAL 9-22] Harris 3pt Shot: Made (3 PTS) Assist: Barea (1 AST)","-161","223","3","0","1","1","","1610612742","2734","22","9","200826","1610612742"
"36","40","06:02","[LAC] Mbah a Moute Driving Finger Roll Layup Shot: Missed","19","8","2","0","75","2","","1610612746","201601","22","9","","1610612746"
"37","41","06:01","[DAL] Nowitzki Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612742","1717","22","9","","1610612746"
"38","42","05:48","[DAL] Barnes 3pt Shot: Missed","-243","36","3","0","1","2","","1610612742","203084","22","9","","1610612742"
"39","43","05:47","[LAC] Paul Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612746","101108","22","9","","1610612742"
"40","44","05:41","[LAC 25-9] Paul 3pt Shot: Made (8 PTS)","-27","254","3","1","103","1","","1610612746","101108","25","9","","1610612746"
"41","45","05:22","[DAL 11-25] Barea Driving Floating Bank Jump Shot: Made (2 PTS) Assist: Matthews (2 AST)","-47","19","2","0","102","1","","1610612742","200826","25","11","202083","1610612742"
"42","46","05:09","[LAC] Paul Step Back Jump shot: Missed","15","160","2","0","80","2","","1610612746","101108","25","11","","1610612746"
"43","47","05:05","[DAL] Nowitzki Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612742","1717","25","11","","1610612746"
"44","48","05:01","[DAL] Barea Turnover : Step Out of Bounds Turnover (1 TO)","0","-80","0","0","39","5","","1610612742","200826","25","11","","1610612742"
"45","49","05:01","[DAL] Nowitzki Substitution replaced by Mejri","0","-80","0","0","0","8","","1610612742","1717","25","11","1626257","1610612746"
"46","51","04:49","[LAC] Redick Jump Shot: Missed","202","7","2","0","1","2","","1610612746","200755","25","11","","1610612746"
"47","52","04:48","[DAL] Matthews Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612742","202083","25","11","","1610612746"
"48","53","04:37","[DAL] Matthews Floating Jump shot: Missed","-12","28","2","0","78","2","","1610612742","202083","25","11","","1610612742"
"49","54","04:34","[DAL] Mejri Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612742","1626257","25","11","","1610612742"
"50","55","04:30","[DAL] Harris 3pt Shot: Missed","-127","237","3","0","1","2","","1610612742","2734","25","11","","1610612742"
"51","56","04:29","[LAC] Redick Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612746","200755","25","11","","1610612742"
"52","57","04:24","[LAC 27-11] Jordan Running Finger Roll Layup Shot: Made (2 PTS) Assist: Paul (6 AST)","14","18","2","1","76","1","","1610612746","201599","27","11","101108","1610612746"
"53","58","04:24","[DAL] Matthews Foul: Shooting (1 PF) (1 FTA) (K Mauer)","14","18","0","1","2","6","201599","1610612742","202083","27","11","","1610612746"
"54","59","04:24","[LAC] Griffin Substitution replaced by Crawford","0","-80","0","0","0","8","","1610612746","201933","27","11","2037","1610612746"
"55","60","04:24","[LAC] Jordan Free Throw 1 of 1 Missed","0","-80","2","1","10","3","","1610612746","201599","27","11","","1610612746"
"56","62","04:23","[DAL] Mejri Rebound (Off:1 Def:1)","0","-80","0","0","0","4","","1610612742","1626257","27","11","","1610612746"
"57","63","04:13","[DAL] Barea Fadeaway Jump Shot: Missed","63","65","2","0","63","2","","1610612742","200826","27","11","","1610612742"
"58","64","04:10","[LAC] Jordan Rebound (Off:0 Def:5)","0","-80","0","0","0","4","","1610612746","201599","27","11","","1610612742"
"59","65","04:02","[LAC] Mbah a Moute 3pt Shot: Missed","-237","23","3","0","1","2","","1610612746","201601","27","11","","1610612746"
"60","66","04:01","[DAL] Barea Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612742","200826","27","11","","1610612746"
"61","67","03:42","[DAL 14-27] Barea 3pt Shot: Made (5 PTS) Assist: Matthews (3 AST)","132","224","3","0","1","1","","1610612742","200826","27","14","202083","1610612742"
"62","68","03:40","[LAC] Team Timeout : Regular","0","-80","0","0","1","9","","1610612746","0","27","14","","1610612746"
"63","70","03:28","[LAC] Redick Pullup Jump shot: Missed","-1","208","2","0","79","2","","1610612746","200755","27","14","","1610612746"
"64","71","03:25","[DAL] Barea Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612742","200826","27","14","","1610612746"
"65","72","03:15","[DAL 16-27] Barnes Jump Shot: Made (6 PTS) Assist: Harris (1 AST)","82","185","2","0","1","1","","1610612742","203084","27","16","2734","1610612742"
"66","73","02:59","[LAC] Paul Pullup Jump shot: Missed","74","129","2","0","79","2","","1610612746","101108","27","16","","1610612746"
"67","74","02:56","[DAL] Harris Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612742","2734","27","16","","1610612746"
"68","75","02:42","[DAL] Mejri Turnover : Lost Ball (1 TO) Steal:Paul (1 ST)","0","-80","1","0","2","5","101108","1610612742","1626257","27","16","","1610612742"
"69","76","02:38","[LAC 29-16] Jordan Running Dunk Shot: Made (4 PTS) Assist: Paul (7 AST)","0","1","2","1","50","1","","1610612746","201599","29","16","101108","1610612746"
"70","77","02:18","[DAL] Barea Pullup Jump shot: Missed","-102","198","2","0","79","2","","1610612742","200826","29","16","","1610612742"
"71","78","02:15","[LAC] Jordan Rebound (Off:0 Def:6)","0","-80","0","0","0","4","","1610612746","201599","29","16","","1610612742"
"72","79","02:06","[LAC 32-16] Redick 3pt Shot: Made (9 PTS)","-84","247","3","0","79","1","","1610612746","200755","32","16","","1610612746"
"73","80","02:06","[DAL] Matthews Foul: Shooting (2 PF) (1 FTA) (K Mauer)","-84","247","0","0","2","6","200755","1610612742","202083","32","16","","1610612746"
"74","81","02:06","[LAC] Paul Substitution replaced by Felton","0","-80","0","0","0","8","","1610612746","101108","32","16","101109","1610612746"
"75","82","02:06","[LAC] Jordan Substitution replaced by Speights","0","-80","0","0","0","8","","1610612746","201599","32","16","201578","1610612746"
"76","83","02:06","[LAC 33-16] Redick Free Throw 1 of 1 (10 PTS)","0","-80","1","0","10","3","","1610612746","200755","33","16","","1610612746"
"77","85","01:48","[DAL 19-33] Matthews 3pt Shot: Made (3 PTS) Assist: Barnes (1 AST)","19","257","3","0","1","1","","1610612742","202083","33","19","203084","1610612742"
"78","86","01:28","[LAC] Mbah a Moute 3pt Shot: Missed","254","-11","3","0","1","2","","1610612746","201601","33","19","","1610612746"
"79","87","01:26","[DAL] Harris Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612742","2734","33","19","","1610612746"
"80","88","01:18","[DAL] Barnes 3pt Shot: Missed","-228","16","3","0","1","2","","1610612742","203084","33","19","","1610612742"
"81","89","01:17","[LAC] Speights Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612746","201578","33","19","","1610612742"
"82","90","01:10","[LAC 35-19] Felton Driving Layup Shot: Made (2 PTS) Assist: Redick (1 AST)","-16","11","2","0","42","1","","1610612746","101109","35","19","200755","1610612746"
