"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Capela vs Jokic (Faried gains possession)","0","-80","0","0","0","10","203999","1610612745","203991","0","0","202702","1610612743"
"3","2","11:36","[DEN 3-0] Harris 3pt Shot: Made (3 PTS) Assist: Nelson (1 AST)","-92","247","3","0","1","1","","1610612743","203914","0","3","2749","1610612743"
"4","3","11:13","[HOU] Williams 3pt Shot: Missed","230","105","3","0","1","2","","1610612745","1627786","0","3","","1610612745"
"5","4","11:13","[DEN] Nelson Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612743","2749","0","3","","1610612745"
"6","5","11:01","[DEN] Nelson Cutting Layup Shot: Missed","12","2","2","0","98","2","","1610612743","2749","0","3","","1610612743"
"7","6","11:00","[HOU] Harden Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612745","201935","0","3","","1610612743"
"8","7","10:52","[HOU 3-3] Ariza 3pt Shot: Made (3 PTS) Assist: Harden (1 AST)","236","2","3","0","1","1","","1610612745","2772","3","3","201935","1610612745"
"9","8","10:38","[DEN 5-3] Jokic Layup Shot: Made (2 PTS)","42","2","2","0","5","1","","1610612743","203999","3","5","","1610612743"
"10","9","10:32","[HOU] Williams Foul: Offensive Charge (1 PF) (E Lewis)","64","21","0","1","26","6","202702","1610612745","1627786","3","5","","1610612745"
"11","10","10:32","[HOU] Williams Turnover : Foul (1 TO)","0","-80","0","0","5","5","","1610612745","1627786","3","5","","1610612745"
"12","11","10:20","[DEN 8-3] Gallinari 3pt Shot: Made (3 PTS) Assist: Jokic (1 AST)","-199","156","3","0","1","1","","1610612743","201568","3","8","203999","1610612743"
"13","12","10:02","[HOU] Williams Driving Layup Shot: Missed","-1","-1","2","0","42","2","","1610612745","1627786","3","8","","1610612745"
"14","13","10:02","[DEN] Jokic Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612743","203999","3","8","","1610612745"
"15","14","09:54","[DEN] Nelson 3pt Shot: Missed","-225","0","3","0","1","2","","1610612743","2749","3","8","","1610612743"
"16","15","09:54","[HOU] Ariza Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612745","2772","3","8","","1610612743"
"17","16","09:50","[HOU 5-8] Williams Alley Oop Dunk Shot: Made (2 PTS) Assist: Harden (2 AST)","0","1","2","1","52","1","","1610612745","1627786","5","8","201935","1610612745"
"18","17","09:32","[DEN] Jokic 3pt Shot: Missed","232","110","3","0","1","2","","1610612743","203999","5","8","","1610612743"
"19","18","09:31","[HOU] Williams Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612745","1627786","5","8","","1610612743"
"20","19","09:18","[HOU] Williams 3pt Shot: Missed","171","180","3","0","1","2","","1610612745","1627786","5","8","","1610612745"
"21","20","09:18","[DEN] Nelson Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612743","2749","5","8","","1610612745"
"22","21","09:06","[DEN] Faried Turnaround Hook Shot: Missed","92","18","2","0","58","2","","1610612743","202702","5","8","","1610612743"
"23","22","09:05","[HOU] Capela Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612745","203991","5","8","","1610612743"
"24","23","08:55","[HOU] Harden Turnover : Bad Pass (1 TO) Steal:Jokic (1 ST)","0","-80","1","0","1","5","203999","1610612745","201935","5","8","","1610612745"
"25","24","08:46","[HOU] Williams Foul: Personal (2 PF) (E Lewis)","-76","21","0","0","1","6","202702","1610612745","1627786","5","8","","1610612743"
"26","26","08:46","[HOU] Williams Substitution replaced by Gordon","0","-80","0","0","0","8","","1610612745","1627786","5","8","201569","1610612743"
"27","27","08:32","[DEN 10-5] Jokic Cutting Layup Shot: Made (4 PTS) Assist: Faried (1 AST)","-20","7","2","0","98","1","","1610612743","203999","5","10","202702","1610612743"
"28","28","08:26","[HOU 7-10] Capela Dunk Shot: Made (2 PTS) Assist: Harden (3 AST)","0","1","2","1","7","1","","1610612745","203991","7","10","201935","1610612745"
"29","29","08:06","[DEN] Nelson Turnover : Traveling (1 TO)","0","-80","0","0","4","5","","1610612743","2749","7","10","","1610612743"
"30","30","07:43","[HOU] Harden 3pt Shot: Missed","-7","247","3","0","1","2","","1610612745","201935","7","10","","1610612745"
"31","31","07:42","[DEN] Jokic Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612743","203999","7","10","","1610612745"
"32","32","07:34","[DEN 12-7] Faried Alley Oop Layup shot: Made (2 PTS) Assist: Jokic (2 AST)","0","11","2","0","43","1","","1610612743","202702","7","12","203999","1610612743"
"33","33","07:15","[HOU 10-12] Ariza 3pt Shot: Made (6 PTS) Assist: Capela (1 AST)","235","11","3","0","1","1","","1610612745","2772","10","12","203991","1610612745"
"34","34","07:03","[DEN] Jokic Driving Reverse Layup Shot: Missed","15","0","2","0","73","2","","1610612743","203999","10","12","","1610612743"
"35","35","07:02","[DEN] Faried Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612743","202702","10","12","","1610612743"
"36","36","07:01","[DEN 14-10] Faried Jump Shot: Made (4 PTS)","27","36","2","0","1","1","","1610612743","202702","10","14","","1610612743"
"37","37","06:48","[HOU 12-14] Ariza Layup Shot: Made (8 PTS)","25","2","2","0","5","1","","1610612745","2772","12","14","","1610612745"
"38","38","06:37","[DEN] Faried Reverse Layup Shot: Missed Block: Harden (1 BLK)","27","-5","2","0","44","2","201935","1610612743","202702","12","14","","1610612743"
"39","39","06:37","[DEN] Team Rebound","0","-80","0","0","0","4","","1610612743","0","12","14","","1610612743"
"40","40","06:21","[DEN] Gallinari 3pt Shot: Missed","228","95","3","0","1","2","","1610612743","201568","12","14","","1610612743"
"41","41","06:21","[HOU] Capela Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612745","203991","12","14","","1610612743"
"42","42","06:08","[DEN] Harris Foul: Personal (1 PF) (E Lewis)","25","242","0","0","1","6","201935","1610612743","203914","12","14","","1610612745"
"43","44","06:02","[HOU 14-14] Beverley Driving Floating Jump Shot: Made (2 PTS)","-34","41","2","0","101","1","","1610612745","201976","14","14","","1610612745"
"44","45","05:40","[DEN] Nelson 3pt Shot: Missed","-233","7","3","0","1","2","","1610612743","2749","14","14","","1610612743"
"45","46","05:39","[HOU] Beverley Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612745","201976","14","14","","1610612743"
"46","47","05:26","[HOU 16-14] Harden Jump Shot: Made (2 PTS)","6","36","2","0","1","1","","1610612745","201935","16","14","","1610612745"
"47","48","05:26","[DEN] Harris Foul: Shooting (2 PF) (1 FTA) (S Foster)","6","36","0","0","2","6","201935","1610612743","203914","16","14","","1610612745"
"48","49","05:26","[HOU] Team Timeout : Regular","0","-80","0","0","1","9","","1610612745","0","16","14","","1610612745"
"49","50","05:26","[DEN] Faried Substitution replaced by Chandler","0","-80","0","0","0","8","","1610612743","202702","16","14","201163","1610612745"
"50","51","05:26","[DEN] Harris Substitution replaced by Murray","0","-80","0","0","0","8","","1610612743","203914","16","14","1627750","1610612745"
"51","52","05:26","[HOU] Capela Substitution replaced by Williams","0","-80","0","0","0","8","","1610612745","203991","16","14","101150","1610612745"
"52","53","05:26","[HOU] Beverley Substitution replaced by Nene","0","-80","0","0","0","8","","1610612745","201976","16","14","2403","1610612745"
"53","54","05:26","[HOU 17-14] Harden Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612745","201935","17","14","","1610612745"
"54","56","05:10","[DEN] Jokic Jump Shot: Missed","-89","51","2","0","1","2","","1610612743","203999","17","14","","1610612743"
"55","57","05:10","[HOU] Ariza Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612745","2772","17","14","","1610612743"
"56","58","05:03","[HOU] Gordon 3pt Shot: Missed","168","193","3","0","1","2","","1610612745","201569","17","14","","1610612745"
"57","59","05:02","[DEN] Jokic Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612743","203999","17","14","","1610612745"
"58","60","04:52","[DEN 16-17] Nelson Driving Layup Shot: Made (2 PTS)","15","2","2","0","42","1","","1610612743","2749","17","16","","1610612743"
"59","61","04:40","[HOU 20-16] Gordon 3pt Shot: Made (3 PTS) Assist: Harden (4 AST)","-38","242","3","0","1","1","","1610612745","201569","20","16","201935","1610612745"
"60","62","04:23","[DEN] Jokic Turnover : Lost Ball (1 TO) Steal:Nene (1 ST)","0","-80","1","0","2","5","2403","1610612743","203999","20","16","","1610612743"
"61","63","04:16","[DEN] Nelson Foul: Personal (1 PF) (E Lewis)","-61","26","0","0","1","6","201935","1610612743","2749","20","16","","1610612745"
"62","64","04:12","[HOU 23-16] Harden 3pt Shot: Made (6 PTS) Assist: Nene (1 AST)","-204","159","3","0","1","1","","1610612745","201935","23","16","2403","1610612745"
"63","65","04:11","[DEN] Team Timeout : Regular","0","-80","0","0","1","9","","1610612743","0","23","16","","1610612743"
"64","67","04:11","[DEN] Nelson Substitution replaced by Mudiay","0","-80","0","0","0","8","","1610612743","2749","23","16","1626144","1610612743"
"65","68","03:55","[HOU] Ariza Foul: Personal (1 PF) (S Foster)","6","31","0","0","1","6","203999","1610612745","2772","23","16","","1610612743"
"66","69","03:45","[DEN 19-23] Gallinari 3pt Shot: Made (6 PTS) Assist: Mudiay (1 AST)","146","203","3","0","1","1","","1610612743","201568","23","19","1626144","1610612743"
"67","70","03:28","[HOU] Harden Turnover : Bad Pass (2 TO) Steal:Murray (1 ST)","0","-80","1","0","1","5","1627750","1610612745","201935","23","19","","1610612745"
"68","71","03:23","[DEN 21-23] Gallinari Cutting Dunk Shot: Made (8 PTS) Assist: Murray (1 AST)","0","1","2","1","108","1","","1610612743","201568","23","21","1627750","1610612743"
"69","72","03:09","[DEN] Jokic Foul: Shooting (1 PF) (2 FTA) (G Petraitis)","-43","16","0","0","2","6","2403","1610612743","203999","23","21","","1610612745"
"70","73","03:09","[HOU] Nene Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612745","2403","23","21","","1610612745"
"71","74","03:09","[HOU] Team Rebound","0","-80","0","0","1","4","","1610612745","0","23","21","","1610612745"
"72","75","03:09","[HOU] Ariza Substitution replaced by Williams","0","-80","0","0","0","8","","1610612745","2772","23","21","1627786","1610612745"
"73","76","03:09","[DEN] Jokic Substitution replaced by Plumlee","0","-80","0","0","0","8","","1610612743","203999","23","21","203486","1610612745"
"74","77","03:09","[HOU 24-21] Nene Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612745","2403","24","21","","1610612745"
"75","79","02:54","[DEN] Murray 3pt Shot: Missed","215","144","3","0","79","2","","1610612743","1627750","24","21","","1610612743"
"76","80","02:53","[DEN] Team Rebound","0","-80","0","0","0","4","","1610612743","0","24","21","","1610612743"
"77","82","02:36","[DEN] Chandler Jump Shot: Missed","199","75","2","0","1","2","","1610612743","201163","24","21","","1610612743"
"78","83","02:35","[HOU] Nene Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612745","2403","24","21","","1610612743"
"79","84","02:27","[HOU 26-21] Nene Cutting Finger Roll Layup Shot: Made (3 PTS) Assist: Harden (5 AST)","-4","23","2","0","99","1","","1610612745","2403","26","21","201935","1610612745"
"80","85","02:09","[DEN] Chandler Jump Shot: Missed","4","72","2","0","1","2","","1610612743","201163","26","21","","1610612743"
"81","86","02:08","[DEN] Mudiay Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612743","1626144","26","21","","1610612743"
"82","87","02:07","[DEN] Mudiay Layup Shot: Missed","24","8","2","0","5","2","","1610612743","1626144","26","21","","1610612743"
"83","88","02:06","[DEN] Chandler Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612743","201163","26","21","","1610612743"
"84","89","02:04","[DEN 23-26] Chandler Layup Shot: Made (2 PTS)","1","18","2","0","5","1","","1610612743","201163","26","23","","1610612743"
"85","90","01:48","[HOU 28-23] Nene Cutting Layup Shot: Made (5 PTS) Assist: Williams (1 AST)","20","2","2","0","98","1","","1610612745","2403","28","23","101150","1610612745"
"86","91","01:36","[DEN] Mudiay 3pt Shot: Missed","-196","144","3","0","1","2","","1610612743","1626144","28","23","","1610612743"
"87","92","01:35","[HOU] Williams Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612745","101150","28","23","","1610612743"
"88","93","01:27","[HOU] Nene Jump Shot: Missed Block: Plumlee (1 BLK)","-20","36","2","0","1","2","203486","1610612745","2403","28","23","","1610612745"
"89","94","01:26","[DEN] Mudiay Rebound (Off:1 Def:1)","0","-80","0","0","0","4","","1610612743","1626144","28","23","","1610612745"
"90","95","01:22","[DEN] Chandler Running Layup Shot: Missed","-19","8","2","0","41","2","","1610612743","201163","28","23","","1610612743"
"91","96","01:21","[HOU] Williams Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612745","101150","28","23","","1610612743"
"92","97","01:15","[HOU 31-23] Williams 3pt Shot: Made (3 PTS)","181","169","3","1","79","1","","1610612745","101150","31","23","","1610612745"
"93","98","00:57.2","[DEN 25-31] Chandler Jump Shot: Made (4 PTS)","48","41","2","0","1","1","","1610612743","201163","31","25","","1610612743"
"94","99","00:57.2","[HOU] Williams Foul: Shooting Block (3 PF) (1 FTA) (G Petraitis)","48","41","0","0","29","6","201163","1610612745","1627786","31","25","","1610612743"
"95","100","00:57.2","[HOU] Williams Substitution replaced by Ariza","0","-80","0","0","0","8","","1610612745","1627786","31","25","2772","1610612743"
"96","101","00:57.2","[DEN] Gallinari Substitution replaced by Hernangomez","0","-80","0","0","0","8","","1610612743","201568","31","25","1627823","1610612743"
"97","102","00:57.2","[DEN] Chandler Free Throw 1 of 1 Missed","0","-80","2","0","10","3","","1610612743","201163","31","25","","1610612743"
"98","104","00:57.2","[HOU] Ariza Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612745","2772","31","25","","1610612743"
"99","105","00:41.8","[HOU 33-25] Nene Dunk Shot: Made (7 PTS) Assist: Harden (6 AST)","0","1","2","0","7","1","","1610612745","2403","33","25","201935","1610612745"
"100","106","00:24.9","[DEN] Hernangomez 3pt Shot: Missed","-94","228","3","0","1","2","","1610612743","1627823","33","25","","1610612743"
"101","107","00:24.6","[HOU] Harden Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612745","201935","33","25","","1610612743"
"102","108","00:02.6","[DEN] Chandler Foul: Shooting (1 PF) (3 FTA) (E Lewis)","-156","208","1","0","2","6","201935","1610612743","201163","33","25","","1610612745"
"103","109","00:02.6","[HOU 34-25] Harden Free Throw 1 of 3 (7 PTS)","0","-80","1","0","13","3","","1610612745","201935","34","25","","1610612745"
"104","111","00:02.6","[HOU 35-25] Harden Free Throw 2 of 3 (8 PTS)","0","-80","1","0","14","3","","1610612745","201935","35","25","","1610612745"
"105","113","00:02.6","[HOU 36-25] Harden Free Throw 3 of 3 (9 PTS)","0","-80","1","0","15","3","","1610612745","201935","36","25","","1610612745"
"106","116","00:00.0","[DEN] Murray 3pt Shot: Missed","187","457","3","0","1","2","","1610612743","1627750","36","25","","1610612743"
"107","118","00:00.0","[DEN] Team Rebound","0","-80","0","0","0","4","","1610612743","0","36","25","","1610612743"
"108","117","00:00.0","End Period","0","-80","0","0","0","13","","0","0","36","25","","1610612743"
"109","120","12:00","Start Period","0","-80","0","0","0","12","","0","0","36","25","","1610612745"
"110","121","11:45","[HOU] Williams 3pt Shot: Missed","-232","2","3","0","1","2","","1610612745","101150","36","25","","1610612745"
"111","122","11:44","[HOU] Capela Rebound (Off:1 Def:2)","0","-80","1","0","0","4","","1610612745","203991","36","25","","1610612745"
"112","123","11:33","[HOU] Ariza Layup Shot: Missed","15","3","2","0","5","2","","1610612745","2772","36","25","","1610612745"
"113","125","11:33","[HOU] Ariza Rebound (Off:1 Def:3)","0","-80","1","0","0","4","","1610612745","2772","36","25","","1610612745"
"114","124","11:33","[HOU] Ariza Tip Layup Shot: Missed","17","13","2","0","97","2","","1610612745","2772","36","25","","1610612745"
"115","126","11:33","[HOU] Capela Rebound (Off:2 Def:2)","0","-80","1","0","0","4","","1610612745","203991","36","25","","1610612745"
"116","127","11:33","[DEN] Chandler Foul: Personal (2 PF) (S Foster)","-16","23","0","0","1","6","203991","1610612743","201163","36","25","","1610612745"
"117","128","11:30","[HOU] Williams Turnover : Bad Pass (1 TO) Steal:Plumlee (1 ST)","0","-80","1","0","1","5","203486","1610612745","101150","36","25","","1610612745"
"118","129","11:30","[HOU] Capela Foul: Personal (1 PF) (E Lewis)","181","472","0","0","1","6","203486","1610612745","203991","36","25","","1610612743"
"119","131","11:18","[DEN] Murray Driving Layup Shot: Missed","-16","2","2","0","42","2","","1610612743","1627750","36","25","","1610612743"
"120","133","11:17","[DEN] Plumlee Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612743","203486","36","25","","1610612743"
"121","132","11:16","[DEN 27-36] Plumlee Layup Shot: Made (2 PTS)","-9","0","2","0","5","1","","1610612743","203486","36","27","","1610612743"
"122","134","11:06","[HOU] Capela Cutting Dunk Shot: Missed Block: Plumlee (2 BLK)","0","1","2","0","108","2","203486","1610612745","203991","36","27","","1610612745"
"123","135","11:05","[DEN] Plumlee Rebound (Off:1 Def:1)","0","-80","0","0","0","4","","1610612743","203486","36","27","","1610612745"
"124","136","11:00","[DEN] Mudiay Turnover : Bad Pass (1 TO)","0","-80","0","0","1","5","","1610612743","1626144","36","27","","1610612743"
"125","137","11:00","[DEN] Mudiay Foul: Loose Ball (1 PF) (E Lewis)","-79","694","0","0","3","6","201976","1610612743","1626144","36","27","","1610612745"
"126","138","10:47","[HOU 38-27] Beverley Driving Layup Shot: Made (4 PTS)","22","7","2","0","42","1","","1610612745","201976","38","27","","1610612745"
"127","139","10:28","[DEN] Murray 3pt Shot: Missed","137","210","3","0","79","2","","1610612743","1627750","38","27","","1610612743"
"128","140","10:27","[HOU] Ariza Rebound (Off:1 Def:4)","0","-80","0","0","0","4","","1610612745","2772","38","27","","1610612743"
"129","141","10:19","[HOU] Beverley Driving Layup Shot: Missed","19","2","2","0","42","2","","1610612745","201976","38","27","","1610612745"
"130","142","10:18","[DEN] Murray Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612743","1627750","38","27","","1610612745"
"131","143","10:13","[HOU] Beverley Foul: Personal (1 PF) (E Lewis)","78","134","0","0","1","6","1627750","1610612745","201976","38","27","","1610612743"
"132","144","10:13","[DEN] Hernangomez Substitution replaced by Harris","0","-80","0","0","0","8","","1610612743","1627823","38","27","203914","1610612743"
"133","146","10:05","[DEN 29-38] Plumlee Hook Shot: Made (4 PTS) Assist: Murray (2 AST)","0","75","2","0","3","1","","1610612743","203486","38","29","1627750","1610612743"
"134","147","09:51","[HOU] Gordon Floating Jump shot: Missed","32","85","2","0","78","2","","1610612745","201569","38","29","","1610612745"
"135","148","09:50","[HOU] Capela Rebound (Off:3 Def:2)","0","-80","1","0","0","4","","1610612745","203991","38","29","","1610612745"
"136","149","09:34","[HOU] Gordon 3pt Shot: Missed","-241","51","3","0","1","2","","1610612745","201569","38","29","","1610612745"
"137","150","09:33","[DEN] Mudiay Rebound (Off:1 Def:2)","0","-80","0","0","0","4","","1610612743","1626144","38","29","","1610612745"
"138","151","09:20","[DEN] Harris 3pt Shot: Missed","186","188","3","0","1","2","","1610612743","203914","38","29","","1610612743"
"139","152","09:19","[HOU] Ariza Rebound (Off:1 Def:5)","0","-80","0","0","0","4","","1610612745","2772","38","29","","1610612743"
"140","153","09:13","[DEN] Mudiay Foul: Shooting (2 PF) (3 FTA) (S Foster)","53","257","0","1","2","6","101150","1610612743","1626144","38","29","","1610612745"
"141","154","09:13","[HOU 39-29] Williams Free Throw 1 of 3 (4 PTS)","0","-80","1","1","13","3","","1610612745","101150","39","29","","1610612745"
"142","156","09:13","[HOU 40-29] Williams Free Throw 2 of 3 (5 PTS)","0","-80","1","1","14","3","","1610612745","101150","40","29","","1610612745"
"143","158","09:13","[HOU 41-29] Williams Free Throw 3 of 3 (6 PTS)","0","-80","1","1","15","3","","1610612745","101150","41","29","","1610612745"
"144","160","08:58","[DEN] Murray 3pt Shot: Missed","-201","149","3","0","1","2","","1610612743","1627750","41","29","","1610612743"
"145","161","08:57","[HOU] Williams Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612745","101150","41","29","","1610612743"
"146","162","08:50","[HOU] Williams Driving Layup Shot: Missed","12","8","2","0","42","2","","1610612745","101150","41","29","","1610612745"
"147","164","08:50","[HOU] Capela Rebound (Off:4 Def:2)","0","-80","1","0","0","4","","1610612745","203991","41","29","","1610612745"
"148","163","08:50","[HOU 43-29] Capela Putback Dunk Shot: Made (4 PTS)","0","1","2","0","87","1","","1610612745","203991","43","29","","1610612745"
"149","165","08:31","[DEN] Harris Jump Bank Shot: Missed","89","31","2","0","66","2","","1610612743","203914","43","29","","1610612743"
"150","166","08:30","[HOU] Capela Rebound (Off:4 Def:3)","0","-80","0","0","0","4","","1610612745","203991","43","29","","1610612743"
"151","167","08:21","[HOU 45-29] Capela Cutting Dunk Shot: Made (6 PTS) Assist: Beverley (1 AST)","0","1","2","0","108","1","","1610612745","203991","45","29","201976","1610612745"
"152","168","08:21","[DEN] Team Timeout : Regular","0","-80","0","0","1","9","","1610612743","0","45","29","","1610612743"
"153","170","08:21","[DEN] Murray Substitution replaced by Gallinari","0","-80","0","0","0","8","","1610612743","1627750","45","29","201568","1610612743"
"154","171","08:21","[DEN] Mudiay Substitution replaced by Jokic","0","-80","0","0","0","8","","1610612743","1626144","45","29","203999","1610612743"
"155","172","08:21","[DEN] Plumlee Substitution replaced by Nelson","0","-80","0","0","0","8","","1610612743","203486","45","29","2749","1610612743"
"156","173","08:06","[DEN] Jokic Hook Shot: Missed","-20","31","2","0","3","2","","1610612743","203999","45","29","","1610612743"
"157","174","08:05","[HOU] Beverley Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612745","201976","45","29","","1610612743"
"158","176","07:45","[HOU] Gordon Driving Layup Shot: Missed","-16","7","2","0","42","2","","1610612745","201569","45","29","","1610612745"
"159","177","07:44","[DEN] Jokic Rebound (Off:0 Def:4)","0","-80","0","0","0","4","","1610612743","203999","45","29","","1610612745"
