"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Vonleh vs Towns (Rush gains possession)","0","-80","0","0","0","10","1626157","1610612757","203943","0","0","201575","1610612750"
"3","2","11:43","[MIN 2-0] Wiggins Driving Finger Roll Layup Shot: Made (2 PTS)","10","16","2","0","75","1","","1610612750","203952","0","2","","1610612750"
"4","3","11:28","[POR 2-2] Vonleh Alley Oop Dunk Shot: Made (2 PTS) Assist: Lillard (1 AST)","0","1","2","0","52","1","","1610612757","203943","2","2","203081","1610612757"
"5","4","11:08","[MIN 4-2] Towns Driving Floating Jump Shot: Made (2 PTS) Assist: Wiggins (1 AST)","61","2","2","0","101","1","","1610612750","1626157","2","4","203952","1610612750"
"6","5","11:01","[POR] McCollum Driving Reverse Layup Shot: Missed Block: Towns (1 BLK)","14","-5","2","0","73","2","1626157","1610612757","203468","2","4","","1610612757"
"7","6","10:59","[MIN] Dieng Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612750","203476","2","4","","1610612757"
"8","7","10:42","[MIN 6-2] Wiggins Turnaround Jump Shot: Made (4 PTS)","4","72","2","0","47","1","","1610612750","203952","2","6","","1610612750"
"9","8","10:21","[POR] Aminu Driving Floating Jump Shot: Missed","-22","31","2","0","101","2","","1610612757","202329","2","6","","1610612757"
"10","9","10:21","[MIN] Rubio Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612750","201937","2","6","","1610612757"
"11","10","10:15","[MIN] Rush 3pt Shot: Missed","215","134","3","1","103","2","","1610612750","201575","2","6","","1610612750"
"12","11","10:13","[POR] Harkless Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612757","203090","2","6","","1610612750"
"13","12","10:02","[POR] Lillard Step Back Jump shot: Missed","197","11","2","0","80","2","","1610612757","203081","2","6","","1610612757"
"14","13","10:01","[MIN] Rubio Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612750","201937","2","6","","1610612757"
"15","14","09:51","[MIN 8-2] Wiggins Turnaround Bank shot: Made (6 PTS) Assist: Rubio (1 AST)","63","21","2","0","85","1","","1610612750","203952","2","8","201937","1610612750"
"16","15","09:29","[POR] Harkless Hook Shot: Missed","-29","16","2","0","3","2","","1610612757","203090","2","8","","1610612757"
"17","16","09:28","[MIN] Towns Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612750","1626157","2","8","","1610612757"
