"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Nene vs Drummond (Anderson gains possession)","0","-80","0","0","0","10","203083","1610612745","2403","0","0","201583","1610612745"
"3","2","11:43","[HOU 3-0] Anderson 3pt Shot: Made (3 PTS) Assist: Harden (1 AST)","-125","223","3","0","1","1","","1610612745","201583","3","0","201935","1610612745"
"4","3","11:20","[DET 2-3] Marc Morris Pullup Jump shot: Made (2 PTS)","105","185","2","0","79","1","","1610612765","202694","3","2","","1610612765"
"5","4","11:10","[HOU] Nene Cutting Layup Shot: Missed","6","8","2","0","98","2","","1610612745","2403","3","2","","1610612745"
"6","5","11:09","[DET] Caldwell-Pope Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612765","203484","3","2","","1610612745"
"7","6","11:01","[DET] Marc Morris 3pt Shot: Missed","-147","190","3","0","1","2","","1610612765","202694","3","2","","1610612765"
"8","7","11:00","[HOU] Anderson Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612745","201583","3","2","","1610612765"
"9","8","10:46","[HOU] Nene Turnaround Fadeaway shot: Missed","-94","56","2","0","86","2","","1610612745","2403","3","2","","1610612745"
"10","9","10:45","[DET] Drummond Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612765","203083","3","2","","1610612745"
"11","10","10:39","[DET] Ellenson Jump Shot: Missed","161","141","2","1","1","2","","1610612765","1627740","3","2","","1610612765"
"12","11","10:38","[HOU] Ariza Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612745","2772","3","2","","1610612765"
"13","12","10:31","[HOU 5-2] Nene Cutting Dunk Shot: Made (2 PTS) Assist: Harden (2 AST)","0","1","2","0","108","1","","1610612745","2403","5","2","201935","1610612745"
"14","13","10:15","[DET] Smith Jump Shot: Missed","28","18","2","0","1","2","","1610612765","202397","5","2","","1610612765"
"15","14","10:14","[HOU] Nene Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612745","2403","5","2","","1610612765"
"16","15","10:01","[HOU] Ariza 3pt Shot: Missed","230","36","3","0","1","2","","1610612745","2772","5","2","","1610612745"
"17","16","10:00","[HOU] Nene Rebound (Off:1 Def:1)","0","-80","1","0","0","4","","1610612745","2403","5","2","","1610612745"
"18","17","09:49","[HOU 7-2] Nene Cutting Dunk Shot: Made (4 PTS) Assist: Harden (3 AST)","0","1","2","0","108","1","","1610612745","2403","7","2","201935","1610612745"
"19","18","09:42","[DET] Team Timeout : Regular","0","-80","0","0","1","9","","1610612765","0","7","2","","1610612765"
"20","20","09:33","[DET] Ellenson 3pt Shot: Missed","-147","203","3","0","1","2","","1610612765","1627740","7","2","","1610612765"
"21","21","09:32","[DET] Marc Morris Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612765","202694","7","2","","1610612765"
"22","22","09:30","[DET] Marc Morris Tip Layup Shot: Missed","6","16","2","0","97","2","","1610612765","202694","7","2","","1610612765"
"23","23","09:30","[HOU] Beverley Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612745","201976","7","2","","1610612765"
"24","24","09:23","[HOU 10-2] Anderson 3pt Shot: Made (6 PTS) Assist: Beverley (1 AST)","-153","193","3","0","1","1","","1610612745","201583","10","2","201976","1610612745"
"25","25","09:07","[DET 4-10] Smith Driving Layup Shot: Made (2 PTS)","-6","7","2","0","42","1","","1610612765","202397","10","4","","1610612765"
"26","26","08:49","[HOU 13-4] Anderson 3pt Shot: Made (9 PTS) Assist: Nene (1 AST)","151","237","3","0","1","1","","1610612745","201583","13","4","2403","1610612745"
"27","27","08:22","[DET] Marc Morris Jump Shot: Missed","166","92","2","0","1","2","","1610612765","202694","13","4","","1610612765"
"28","28","08:21","[HOU] Anderson Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612745","201583","13","4","","1610612765"
"29","29","08:13","[HOU] Harden Driving Floating Jump Shot: Missed","-16","70","2","0","101","2","","1610612745","201935","13","4","","1610612745"
"30","30","08:12","[HOU] Nene Rebound (Off:2 Def:1)","0","-80","1","0","0","4","","1610612745","2403","13","4","","1610612745"
"31","31","08:09","[HOU 15-4] Nene Putback Layup Shot: Made (6 PTS)","-3","9","2","0","72","1","","1610612745","2403","15","4","","1610612745"
"32","32","08:00","[HOU] Beverley Foul: Shooting (1 PF) (2 FTA) (G Zielinski)","20","57","0","0","2","6","202397","1610612745","201976","15","4","","1610612765"
"33","33","08:00","[DET 5-15] Smith Free Throw 1 of 2 (3 PTS)","0","-80","1","0","11","3","","1610612765","202397","15","5","","1610612765"
"34","35","08:00","[DET 6-15] Smith Free Throw 2 of 2 (4 PTS)","0","-80","1","0","12","3","","1610612765","202397","15","6","","1610612765"
"35","37","07:47","[HOU] Ariza 3pt Shot: Missed","161","198","3","0","1","2","","1610612745","2772","15","6","","1610612745"
"36","38","07:46","[DET] Caldwell-Pope Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612765","203484","15","6","","1610612745"
"37","39","07:37","[DET 8-15] Smith Pullup Jump shot: Made (6 PTS)","86","159","2","0","79","1","","1610612765","202397","15","8","","1610612765"
"38","40","07:29","[HOU] Anderson 3pt Shot: Missed","-1","273","3","0","1","2","","1610612745","201583","15","8","","1610612745"
"39","41","07:28","[DET] Caldwell-Pope Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612765","203484","15","8","","1610612745"
"40","42","07:20","[DET 10-15] Ellenson Cutting Layup Shot: Made (2 PTS) Assist: Smith (1 AST)","7","18","2","0","98","1","","1610612765","1627740","15","10","202397","1610612765"
"41","43","07:15","[DET] Marc Morris Foul: Shooting (1 PF) (2 FTA) (G Zielinski)","7","26","0","1","2","6","2772","1610612765","202694","15","10","","1610612745"
"42","44","07:15","[HOU 16-10] Ariza Free Throw 1 of 2 (1 PTS)","0","-80","1","1","11","3","","1610612745","2772","16","10","","1610612745"
"43","46","07:15","[HOU] Ariza Free Throw 2 of 2 Missed","0","-80","2","1","12","3","","1610612745","2772","16","10","","1610612745"
"44","48","07:14","[DET] Drummond Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612765","203083","16","10","","1610612745"
