"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Valanciunas vs Whiteside (McGruder gains possession)","0","-80","0","0","0","10","202355","1610612761","202685","0","0","203585","1610612748"
"3","2","11:41","[MIA] Johnson 3pt Shot: Missed","240","-16","3","0","1","2","","1610612748","201949","0","0","","1610612748"
"4","3","11:39","[TOR] Team Rebound","0","-80","0","0","0","4","","1610612761","0","0","0","","1610612748"
"5","4","11:27","Jump Ball DeRozan vs Johnson (Johnson gains possession)","0","-80","0","0","0","10","201949","1610612761","201942","0","0","201949","1610612761"
"6","5","11:27","[TOR] DeRozan Turnover : Lost Ball (1 TO) Steal:Johnson (1 ST)","0","-80","1","0","2","5","201949","1610612761","201942","0","0","","1610612761"
"7","6","11:13","[MIA 2-0] G Dragic Driving Layup Shot: Made (2 PTS)","-7","2","2","0","42","1","","1610612748","201609","0","2","","1610612748"
"8","7","10:59","[TOR] DeRozan Turnover : Bad Pass (2 TO) Steal:Richardson (1 ST)","0","-80","1","0","1","5","1626196","1610612761","201942","0","2","","1610612761"
"9","8","10:54","[MIA 4-0] G Dragic Running Finger Roll Layup Shot: Made (4 PTS) Assist: Richardson (1 AST)","15","16","2","1","76","1","","1610612748","201609","0","4","1626196","1610612748"
"10","9","10:36","[TOR] Carroll Jump Shot: Missed","-201","2","2","0","1","2","","1610612761","201960","0","4","","1610612761"
"11","10","10:36","[TOR] Team Rebound","0","-80","0","0","0","4","","1610612761","0","0","4","","1610612761"
"12","11","10:36","[MIA] Whiteside Foul: Loose Ball (1 PF) (M Lindsay)","10","16","0","0","3","6","202685","1610612748","202355","0","4","","1610612761"
"13","12","10:29","[TOR] Valanciunas Turnaround Bank Hook Shot: Missed","-45","2","2","0","96","2","","1610612761","202685","0","4","","1610612761"
"14","13","10:29","[TOR] Valanciunas Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612761","202685","0","4","","1610612761"
"15","14","10:19","[TOR 3-4] Carroll 3pt Shot: Made (3 PTS) Assist: DeRozan (1 AST)","241","11","3","0","1","1","","1610612761","201960","3","4","201942","1610612761"
"16","16","10:01","[MIA] McGruder Driving Hook Shot: Missed","15","33","2","0","57","2","","1610612748","203585","3","4","","1610612748"
"17","17","10:00","[TOR] Ibaka Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612761","201586","3","4","","1610612748"
"18","19","09:43","[TOR] Ibaka Turnaround Jump Shot: Missed","-145","36","2","0","47","2","","1610612761","201586","3","4","","1610612761"
"19","20","09:42","[MIA] Whiteside Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612748","202355","3","4","","1610612761"
"20","21","09:33","[MIA] G Dragic Pullup Jump shot: Missed","24","149","2","0","79","2","","1610612748","201609","3","4","","1610612748"
"21","22","09:31","[TOR] Team Rebound","0","-80","0","0","0","4","","1610612761","0","3","4","","1610612748"
"22","23","09:07","[TOR] DeRozan Driving Layup Shot: Missed","14","11","2","0","42","2","","1610612761","201942","3","4","","1610612761"
"23","24","09:07","[MIA] Whiteside Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612748","202355","3","4","","1610612761"
"24","25","08:57","[MIA 7-3] Richardson 3pt Shot: Made (3 PTS) Assist: McGruder (1 AST)","-225","-10","3","0","1","1","","1610612748","1626196","3","7","203585","1610612748"
"25","26","08:43","[MIA] Whiteside Foul: Personal (2 PF) (D Taylor)","56","267","0","0","1","6","202685","1610612748","202355","3","7","","1610612761"
"26","27","08:43","[MIA] Whiteside Substitution replaced by Reed","0","-80","0","0","0","8","","1610612748","202355","3","7","203186","1610612761"
"27","28","08:28","[TOR] DeRozan Fadeaway Jump Shot: Missed","171","2","2","0","63","2","","1610612761","201942","3","7","","1610612761"
"28","29","08:28","[TOR] Team Rebound","0","-80","0","0","0","4","","1610612761","0","3","7","","1610612761"
"29","30","08:28","[TOR] Team Turnover : Shot Clock Turnover","0","-80","0","0","11","5","","1610612761","0","3","7","","1610612761"
"30","31","08:17","[TOR] Carroll Violation:Kicked Ball (M Callahan)","0","-80","0","0","5","7","","1610612761","201960","3","7","","1610612748"
"31","32","08:09","[MIA] Richardson Driving Layup Shot: Missed","-38","21","2","0","42","2","","1610612748","1626196","3","7","","1610612748"
"32","33","08:08","[TOR] Ibaka Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612761","201586","3","7","","1610612748"
"33","34","08:01","[TOR] Lowry 3pt Shot: Missed","-91","232","3","0","1","2","","1610612761","200768","3","7","","1610612761"
"34","35","08:00","[MIA] Reed Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612748","203186","3","7","","1610612761"
"35","36","07:49","[TOR] Ibaka Foul: Shooting (1 PF) (2 FTA) (M Callahan)","25","52","0","0","2","6","201949","1610612761","201586","3","7","","1610612748"
"36","37","07:49","[MIA 8-3] Johnson Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612748","201949","3","8","","1610612748"
"37","39","07:49","[MIA 9-3] Johnson Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612748","201949","3","9","","1610612748"
"38","41","07:34","[TOR] Ibaka 3pt Shot: Missed","99","237","3","0","1","2","","1610612761","201586","3","9","","1610612761"
"39","42","07:34","[MIA] Reed Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612748","203186","3","9","","1610612761"
"40","43","07:23","[MIA] G Dragic Floating Jump shot: Missed","53","77","2","0","78","2","","1610612748","201609","3","9","","1610612748"
"41","44","07:22","[TOR] DeRozan Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612761","201942","3","9","","1610612748"
"42","45","07:14","[TOR] Lowry Turnover : Bad Pass (1 TO) Steal:Richardson (2 ST)","0","-80","1","0","1","5","1626196","1610612761","200768","3","9","","1610612761"
"43","46","07:11","[TOR] Lowry Foul: Shooting (1 PF) (2 FTA) (M Lindsay)","-32","13","0","1","2","6","201609","1610612761","200768","3","9","","1610612748"
"44","47","07:11","[MIA 10-3] G Dragic Free Throw 1 of 2 (5 PTS)","0","-80","1","1","11","3","","1610612748","201609","3","10","","1610612748"
"45","49","07:11","[MIA] G Dragic Free Throw 2 of 2 Missed","0","-80","2","1","12","3","","1610612748","201609","3","10","","1610612748"
"46","51","07:09","[TOR] Valanciunas Rebound (Off:1 Def:1)","0","-80","0","0","0","4","","1610612761","202685","3","10","","1610612748"
"47","52","07:04","[TOR] Team Timeout : Regular","0","-80","0","0","1","9","","1610612761","0","3","10","","1610612761"
"48","55","06:57","[MIA] Reed Foul: Personal Block (1 PF) (D Taylor)","115","146","0","0","27","6","200768","1610612748","203186","3","10","","1610612761"
"49","56","06:49","[TOR] Valanciunas Turnaround Hook Shot: Missed","105","13","2","0","58","2","","1610612761","202685","3","10","","1610612761"
"50","57","06:48","[MIA] Johnson Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612748","201949","3","10","","1610612761"
"51","58","06:33","[MIA] McGruder Turnover : Lost Ball (1 TO) Steal:Lowry (1 ST)","0","-80","1","0","2","5","200768","1610612748","203585","3","10","","1610612748"
"52","59","06:24","[TOR 6-10] Ibaka 3pt Shot: Made (3 PTS) Assist: Lowry (1 AST)","-119","229","3","0","1","1","","1610612761","201586","6","10","200768","1610612761"
"53","60","06:07","[MIA] Johnson Driving Floating Jump Shot: Missed","40","31","2","0","101","2","","1610612748","201949","6","10","","1610612748"
"54","61","06:06","[MIA] Johnson Rebound (Off:1 Def:1)","0","-80","1","0","0","4","","1610612748","201949","6","10","","1610612748"
"55","62","06:04","[MIA] Johnson Layup Shot: Missed","-16","7","2","0","5","2","","1610612748","201949","6","10","","1610612748"
"56","63","06:04","[MIA] Team Rebound","0","-80","0","0","0","4","","1610612748","0","6","10","","1610612748"
"57","64","06:00","[MIA] Johnson 3pt Shot: Missed","-232","2","3","0","1","2","","1610612748","201949","6","10","","1610612748"
"58","65","06:00","[TOR] Valanciunas Rebound (Off:1 Def:2)","0","-80","0","0","0","4","","1610612761","202685","6","10","","1610612748"
"59","67","05:48","[TOR 8-10] DeRozan Driving Reverse Layup Shot: Made (2 PTS)","1","-1","2","0","73","1","","1610612761","201942","8","10","","1610612761"
"60","68","05:42","[TOR] Carroll Foul: Shooting (1 PF) (2 FTA) (M Lindsay)","-110","110","0","1","2","6","201609","1610612761","201960","8","10","","1610612748"
"61","69","05:42","[MIA 11-8] G Dragic Free Throw 1 of 2 (6 PTS)","0","-80","1","1","11","3","","1610612748","201609","8","11","","1610612748"
"62","71","05:42","[MIA 12-8] G Dragic Free Throw 2 of 2 (7 PTS)","0","-80","1","1","12","3","","1610612748","201609","8","12","","1610612748"
"63","73","05:27","[TOR] Valanciunas Jump Shot: Missed","-32","193","2","0","1","2","","1610612761","202685","8","12","","1610612761"
"64","74","05:26","[TOR] Ibaka Rebound (Off:1 Def:2)","0","-80","1","0","0","4","","1610612761","201586","8","12","","1610612761"
"65","75","05:17","[TOR 10-12] DeRozan Driving Layup Shot: Made (4 PTS)","-32","7","2","0","42","1","","1610612761","201942","10","12","","1610612761"
"66","78","05:03","[MIA] Reed Turnover : Offensive Goaltending (1 TO)","0","-80","0","0","15","5","","1610612748","203186","10","12","","1610612748"
"67","79","05:03","[MIA] G Dragic Substitution replaced by Johnson","0","-80","0","0","0","8","","1610612748","201609","10","12","204020","1610612761"
"68","80","04:52","[TOR 12-12] Lowry Driving Layup Shot: Made (2 PTS)","-25","13","2","0","42","1","","1610612761","200768","12","12","","1610612761"
"69","81","04:52","[MIA] McGruder Foul: Shooting (1 PF) (1 FTA) (M Lindsay)","-25","13","0","0","2","6","200768","1610612748","203585","12","12","","1610612761"
"70","82","04:52","[TOR] Lowry Free Throw 1 of 1 Missed","0","-80","2","0","10","3","","1610612761","200768","12","12","","1610612761"
"71","84","04:50","[MIA] Johnson Rebound (Off:1 Def:2)","0","-80","0","0","0","4","","1610612748","201949","12","12","","1610612761"
"72","85","04:35","[MIA] Johnson 3pt Shot: Missed","241","-6","3","0","80","2","","1610612748","201949","12","12","","1610612748"
"73","86","04:35","[MIA] McGruder Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612748","203585","12","12","","1610612748"
"74","87","04:35","[MIA 14-12] McGruder Layup Shot: Made (2 PTS)","0","8","2","0","5","1","","1610612748","203585","12","14","","1610612748"
"75","88","04:35","[TOR] Lowry Foul: Shooting (2 PF) (1 FTA) (M Lindsay)","0","8","0","0","2","6","203585","1610612761","200768","12","14","","1610612748"
"76","89","04:35","[TOR] Lowry Substitution replaced by Joseph","0","-80","0","0","0","8","","1610612761","200768","12","14","202709","1610612748"
"77","90","04:35","[MIA 15-12] McGruder Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612748","203585","12","15","","1610612748"
"78","93","04:20","[TOR 14-15] DeRozan Turnaround Jump Shot: Made (6 PTS) Assist: Joseph (1 AST)","105","43","2","0","47","1","","1610612761","201942","14","15","202709","1610612761"
"79","94","04:03","[MIA] Johnson 3pt Shot: Missed","235","2","3","0","1","2","","1610612748","204020","14","15","","1610612748"
"80","95","04:02","[TOR] Valanciunas Rebound (Off:1 Def:3)","0","-80","0","0","0","4","","1610612761","202685","14","15","","1610612748"
"81","96","03:41","[TOR] DeRozan Turnaround Fadeaway shot: Missed","130","95","2","0","86","2","","1610612761","201942","14","15","","1610612761"
"82","97","03:41","[MIA] Johnson Rebound (Off:1 Def:3)","0","-80","0","0","0","4","","1610612748","201949","14","15","","1610612761"
"83","98","03:35","[MIA] Johnson Running Layup Shot: Missed Block: Ibaka (1 BLK)","-24","11","2","1","41","2","201586","1610612748","201949","14","15","","1610612748"
"84","99","03:34","[MIA] Richardson Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612748","1626196","14","15","","1610612748"
"85","100","03:32","[MIA] Team Timeout : Regular","0","-80","0","0","1","9","","1610612748","0","14","15","","1610612748"
"86","101","03:32","[TOR] Carroll Substitution replaced by Patterson","0","-80","0","0","0","8","","1610612761","201960","14","15","202335","1610612748"
"87","106","03:32","[TOR] Valanciunas Substitution replaced by Tucker","0","-80","0","0","0","8","","1610612761","202685","14","15","200782","1610612748"
"88","102","03:32","[MIA] Johnson Substitution replaced by White","0","-80","0","0","0","8","","1610612748","201949","14","15","1627855","1610612748"
"89","103","03:19","[MIA 17-14] Richardson Jump Shot: Made (5 PTS) Assist: Reed (1 AST)","-145","13","2","0","1","1","","1610612748","1626196","14","17","203186","1610612748"
"90","104","03:04","[TOR 16-17] Joseph Pullup Jump shot: Made (2 PTS)","-142","21","2","0","79","1","","1610612761","202709","16","17","","1610612761"
"91","108","02:42","[MIA] McGruder 3pt Shot: Missed","-238","31","3","0","1","2","","1610612748","203585","16","17","","1610612748"
"92","109","02:42","[TOR] DeRozan Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612761","201942","16","17","","1610612748"
"93","110","02:36","[TOR 18-17] DeRozan Running Dunk Shot: Made (8 PTS)","0","1","2","1","50","1","","1610612761","201942","18","17","","1610612761"
"94","111","02:11","[MIA] Richardson Driving Floating Jump Shot: Missed","81","26","2","0","101","2","","1610612748","1626196","18","17","","1610612748"
"95","112","02:11","[TOR] Ibaka Rebound (Off:1 Def:3)","0","-80","0","0","0","4","","1610612761","201586","18","17","","1610612748"
"96","113","01:56","[MIA] Johnson Foul: Shooting Block (1 PF) (2 FTA) (M Callahan)","-78","41","1","0","29","6","201942","1610612748","204020","18","17","","1610612761"
"97","114","01:56","[TOR 19-17] DeRozan Free Throw 1 of 2 (9 PTS)","0","-80","1","0","11","3","","1610612761","201942","19","17","","1610612761"
"98","116","01:56","[MIA] McGruder Substitution replaced by G Dragic","0","-80","0","0","0","8","","1610612748","203585","19","17","201609","1610612761"
"99","118","01:56","[TOR] Ibaka Substitution replaced by Valanciunas","0","-80","0","0","0","8","","1610612761","201586","19","17","202685","1610612761"
"100","119","01:56","[TOR 20-17] DeRozan Free Throw 2 of 2 (10 PTS)","0","-80","1","0","12","3","","1610612761","201942","20","17","","1610612761"
"101","121","01:40","[MIA] White 3pt Shot: Missed","79","249","3","0","1","2","","1610612748","1627855","20","17","","1610612748"
