"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Gasol vs Hernangomez (Carter gains possession)","0","-80","0","0","0","10","1626195","1610612763","201188","0","0","1713","1610612763"
"3","2","11:39","[MEM] Gasol Jump Shot: Missed","151","149","2","0","1","2","","1610612763","201188","0","0","","1610612763"
"4","3","11:39","[NYK] Lee Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612752","201584","0","0","","1610612763"
"5","4","11:18","[NYK 2-0] Ndour Floating Jump shot: Made (2 PTS)","-27","41","2","0","78","1","","1610612752","1626254","0","2","","1610612752"
"6","5","11:18","[MEM] Allen Foul: Shooting (1 PF) (1 FTA) (M Kogut)","-27","41","0","0","2","6","1626254","1610612763","2754","0","2","","1610612752"
"7","6","11:18","[NYK 3-0] Ndour Free Throw 1 of 1 (3 PTS)","0","-80","1","0","10","3","","1610612752","1626254","0","3","","1610612752"
"8","10","11:06","[MEM 3-3] Conley 3pt Shot: Made (3 PTS) Assist: Carter (1 AST)","-37","244","3","0","1","1","","1610612763","201144","3","3","1713","1610612763"
"9","11","10:52","[NYK] Baker Driving Layup Shot: Missed Block: Green (1 BLK)","22","18","2","0","42","2","203210","1610612752","1627758","3","3","","1610612752"
"10","12","10:52","[NYK] Team Rebound","0","-80","0","0","0","4","","1610612752","0","3","3","","1610612752"
"11","13","10:49","[NYK 5-3] Ndour Layup Shot: Made (5 PTS) Assist: Holiday (1 AST)","19","3","2","0","5","1","","1610612752","1626254","3","5","203200","1610612752"
"12","14","10:25","[MEM 6-5] Conley 3pt Shot: Made (6 PTS)","1","257","3","0","1","1","","1610612763","201144","6","5","","1610612763"
"13","15","10:09","[NYK] Lee Driving Floating Bank Jump Shot: Missed","-35","26","2","0","102","2","","1610612752","201584","6","5","","1610612752"
"14","16","10:07","[NYK] Ndour Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612752","1626254","6","5","","1610612752"
"15","17","10:05","[NYK] Ndour Layup Shot: Missed","-11","2","2","0","5","2","","1610612752","1626254","6","5","","1610612752"
"16","18","10:04","[MEM] Gasol Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612763","201188","6","5","","1610612752"
"17","19","09:58","[MEM 8-5] Allen Cutting Layup Shot: Made (2 PTS) Assist: Carter (2 AST)","2","3","2","0","98","1","","1610612763","2754","8","5","1713","1610612763"
"18","20","09:47","[NYK] Baker Jump Shot: Missed","-137","100","2","0","1","2","","1610612752","1627758","8","5","","1610612752"
"19","21","09:47","[NYK] Ndour Rebound (Off:2 Def:0)","0","-80","1","0","0","4","","1610612752","1626254","8","5","","1610612752"
"20","22","09:36","[NYK] Hernangomez Floating Jump shot: Missed","-16","100","2","0","78","2","","1610612752","1626195","8","5","","1610612752"
"21","23","09:36","[MEM] Team Rebound","0","-80","0","0","0","4","","1610612763","0","8","5","","1610612752"
"22","24","09:10","[MEM 10-5] Allen Step Back Jump shot: Made (4 PTS)","40","38","2","0","80","1","","1610612763","2754","10","5","","1610612763"
"23","26","08:47","[NYK] Holiday 3pt Shot: Missed","-129","214","3","0","1","2","","1610612752","203200","10","5","","1610612752"
"24","27","08:47","[NYK] Team Rebound","0","-80","0","0","0","4","","1610612752","0","10","5","","1610612752"
"25","28","08:47","[NYK] Team Turnover : Shot Clock Turnover","0","-80","0","0","11","5","","1610612752","0","10","5","","1610612752"
"26","29","08:24","[MEM] Allen Driving Reverse Layup Shot: Missed","14","7","2","0","73","2","","1610612763","2754","10","5","","1610612763"
"27","30","08:22","[NYK] Lee Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612752","201584","10","5","","1610612763"
"28","31","08:18","[NYK 7-10] Ndour Driving Floating Bank Jump Shot: Made (7 PTS) Assist: Lee (1 AST)","-61","28","2","1","102","1","","1610612752","1626254","10","7","201584","1610612752"
"29","32","08:18","[MEM] Green Foul: Shooting (1 PF) (1 FTA) (B Spooner)","-61","28","0","1","2","6","1626254","1610612763","203210","10","7","","1610612752"
"30","33","08:18","[NYK] Ndour Free Throw 1 of 1 Missed","0","-80","2","1","10","3","","1610612752","1626254","10","7","","1610612752"
"31","35","08:17","[MEM] Carter Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612763","1713","10","7","","1610612752"
"32","36","07:59","[MEM] Gasol Turnaround Jump Shot: Missed","-68","41","2","0","47","2","","1610612763","201188","10","7","","1610612763"
"33","37","07:58","[NYK] Hernangomez Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612752","1626195","10","7","","1610612763"
