"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","1","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","2","12:00","Jump Ball Nance Jr. vs Cauley-Stein (Labissiere gains possession)","0","-80","0","0","0","10","1626161","1610612747","1626204","0","0","1627746","1610612758"
"3","3","11:46","[SAC 3-0] Hield 3pt Shot: Made (3 PTS) Assist: Collison (1 AST)","-142","222","3","0","1","1","","1610612758","1627741","0","3","201954","1610612758"
"4","4","11:27","[LAL 3-3] Clarkson 3pt Shot: Made (3 PTS) Assist: Ingram (1 AST)","29","243","3","0","1","1","","1610612747","203903","3","3","1627742","1610612747"
"5","5","10:58","[SAC] Hield Driving Layup Shot: Missed","-15","21","2","0","42","2","","1610612758","1627741","3","3","","1610612758"
"6","6","10:56","[LAL] Nance Jr. Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612747","1626204","3","3","","1610612758"
"7","7","10:39","[LAL 5-3] Ingram Turnaround Fadeaway shot: Made (2 PTS)","70","45","2","0","86","1","","1610612747","1627742","5","3","","1610612747"
"8","8","10:15","[LAL] Randle Foul: Shooting (1 PF) (2 FTA) (L Holtkamp)","-2","18","0","0","2","6","1626161","1610612747","203944","5","3","","1610612758"
"9","9","10:15","[SAC 4-5] Cauley-Stein Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612758","1626161","5","4","","1610612758"
"10","11","10:15","[SAC] Cauley-Stein Free Throw 2 of 2 Missed","0","-80","2","0","12","3","","1610612758","1626161","5","4","","1610612758"
"11","13","10:14","[LAL] Russell Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612747","1626156","5","4","","1610612758"
"12","14","09:54","[LAL] Russell Jump Shot: Missed","137","90","2","0","1","2","","1610612747","1626156","5","4","","1610612747"
"13","15","09:53","[SAC] Collison Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612758","201954","5","4","","1610612747"
"14","16","09:46","[SAC 6-5] Collison Pullup Jump shot: Made (2 PTS)","-38","183","2","0","79","1","","1610612758","201954","5","6","","1610612758"
"15","17","09:36","[LAL] Clarkson 3pt Shot: Missed","107","228","3","0","79","2","","1610612747","203903","5","6","","1610612747"
"16","18","09:33","[SAC] Labissiere Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612758","1627746","5","6","","1610612747"
"17","19","09:12","[SAC 8-5] Cauley-Stein Turnaround Jump Shot: Made (3 PTS)","178","67","2","0","47","1","","1610612758","1626161","5","8","","1610612758"
"18","20","09:01","[LAL] Randle 3pt Shot: Missed","36","256","3","0","1","2","","1610612747","203944","5","8","","1610612747"
"19","21","08:59","[SAC] Collison Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612758","201954","5","8","","1610612747"
"20","22","08:44","[SAC 10-5] Cauley-Stein Turnaround Hook Shot: Made (5 PTS) Assist: Collison (2 AST)","-5","114","2","0","58","1","","1610612758","1626161","5","10","201954","1610612758"
"21","23","08:23","[LAL] Clarkson Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","0","-80","0","0","45","5","","1610612747","203903","5","10","","1610612747"
"22","24","08:09","[SAC 12-5] Labissiere Driving Dunk Shot: Made (2 PTS) Assist: Collison (3 AST)","0","1","2","0","49","1","","1610612758","1627746","5","12","201954","1610612758"
"23","25","07:47","[LAL 7-12] Randle Floating Jump shot: Made (2 PTS) Assist: Nance Jr. (1 AST)","-20","80","2","0","78","1","","1610612747","203944","7","12","1626204","1610612747"
"24","26","07:21","[SAC] Hield Driving Layup Shot: Missed","-20","6","2","0","42","2","","1610612758","1627741","7","12","","1610612758"
"25","27","07:19","[SAC] Cauley-Stein Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612758","1626161","7","12","","1610612758"
"26","28","07:18","[SAC] Cauley-Stein Putback Layup Shot: Missed","0","1","2","0","72","2","","1610612758","1626161","7","12","","1610612758"
"27","29","07:17","[SAC] Cauley-Stein Rebound (Off:2 Def:0)","0","-80","1","0","0","4","","1610612758","1626161","7","12","","1610612758"
"28","30","07:16","[SAC 14-7] Cauley-Stein Putback Layup Shot: Made (7 PTS)","-7","8","2","0","72","1","","1610612758","1626161","7","14","","1610612758"
"29","31","07:05","[LAL] Nance Jr. 3pt Shot: Missed","-139","217","3","0","1","2","","1610612747","1626204","7","14","","1610612747"
"30","32","07:03","[SAC] Afflalo Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612758","201167","7","14","","1610612747"
"31","33","06:52","[SAC] Collison Pullup Jump shot: Missed","94","145","2","0","79","2","","1610612758","201954","7","14","","1610612758"
"32","34","06:49","[LAL] Nance Jr. Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612747","1626204","7","14","","1610612758"
"33","35","06:40","[LAL] Clarkson 3pt Shot: Missed","122","223","3","0","1","2","","1610612747","203903","7","14","","1610612747"
