"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Vucevic vs Turner (Gordon gains possession)","0","-80","0","0","0","10","1626167","1610612753","202696","0","0","203932","1610612753"
"3","3","11:39","[ORL] Vucevic Hook Shot: Missed","-61","33","2","0","3","2","","1610612753","202696","0","0","","1610612753"
"4","4","11:38","[IND] Turner Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612754","1626167","0","0","","1610612753"
"5","5","11:33","[IND] Ellis Turnover : Bad Pass (1 TO) Steal:Ross (1 ST)","0","-80","1","0","1","5","203082","1610612754","101145","0","0","","1610612754"
"6","6","11:24","[ORL 3-0] Ross 3pt Shot: Made (3 PTS) Assist: Gordon (1 AST)","-196","164","3","0","1","1","","1610612753","203082","3","0","203932","1610612753"
"7","7","11:06","[IND 2-3] Turner Layup Shot: Made (2 PTS) Assist: Teague (1 AST)","17","18","2","0","5","1","","1610612754","1626167","3","2","201952","1610612754"
"8","8","10:52","[ORL] Fournier Pullup Jump shot: Missed","-119","154","2","0","79","2","","1610612753","203095","3","2","","1610612753"
"9","9","10:51","[IND] Turner Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612754","1626167","3","2","","1610612753"
"10","10","10:42","[IND] Teague Floating Jump shot: Missed","-19","87","2","0","78","2","","1610612754","201952","3","2","","1610612754"
"11","11","10:40","[ORL] Ross Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612753","203082","3","2","","1610612754"
"12","12","10:30","[ORL 6-2] Ross 3pt Shot: Made (6 PTS) Assist: Vucevic (1 AST)","-192","180","3","0","1","1","","1610612753","203082","6","2","202696","1610612753"
"13","13","10:05","[IND] George 3pt Shot: Missed","-223","13","3","0","47","2","","1610612754","202331","6","2","","1610612754"
"14","14","10:03","[ORL] Payton Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612753","203901","6","2","","1610612754"
"15","15","09:55","[ORL 9-2] Ross 3pt Shot: Made (9 PTS) Assist: Payton (1 AST)","0","257","3","0","1","1","","1610612753","203082","9","2","203901","1610612753"
"16","16","09:42","[IND 4-9] Turner Jump Shot: Made (4 PTS) Assist: Teague (2 AST)","24","31","2","0","1","1","","1610612754","1626167","9","4","201952","1610612754"
"17","17","09:42","[ORL] Vucevic Foul: Shooting (1 PF) (1 FTA) (S Corbin)","24","31","0","0","2","6","1626167","1610612753","202696","9","4","","1610612754"
"18","18","09:42","[IND 5-9] Turner Free Throw 1 of 1 (5 PTS)","0","-80","1","0","10","3","","1610612754","1626167","9","5","","1610612754"
"19","20","09:30","[ORL] Ross Turnover : Lost Ball (1 TO) Steal:Teague (1 ST)","0","-80","1","0","2","5","201952","1610612753","203082","9","5","","1610612753"
"20","21","09:11","[IND 7-9] Young Hook Shot: Made (2 PTS) Assist: Turner (1 AST)","-19","21","2","0","3","1","","1610612754","201152","9","7","1626167","1610612754"
"21","22","08:59","[ORL] Ross Turnover : Lost Ball (2 TO) Steal:Teague (2 ST)","0","-80","1","0","2","5","201952","1610612753","203082","9","7","","1610612753"
"22","24","08:46","[IND 10-9] Teague 3pt Shot: Made (3 PTS) Assist: Ellis (1 AST)","189","193","3","0","1","1","","1610612754","201952","9","10","101145","1610612754"
"23","25","08:34","[ORL 11-10] Gordon Dunk Shot: Made (2 PTS) Assist: Payton (2 AST)","0","1","2","0","7","1","","1610612753","203932","11","10","203901","1610612753"
"24","26","08:15","[IND 12-11] George Fadeaway Jump Shot: Made (2 PTS)","97","61","2","0","63","1","","1610612754","202331","11","12","","1610612754"
"25","27","08:01","[ORL] Payton Cutting Layup Shot: Missed","9","21","2","0","98","2","","1610612753","203901","11","12","","1610612753"
"26","28","08:01","[ORL] Team Rebound","0","-80","0","0","0","4","","1610612753","0","11","12","","1610612753"
"27","29","07:58","[ORL 13-12] Vucevic Jump Shot: Made (2 PTS) Assist: Gordon (2 AST)","173","28","2","0","1","1","","1610612753","202696","13","12","203932","1610612753"
"28","30","07:43","[ORL] Ross Foul: Shooting (1 PF) (3 FTA) (B Barnaky)","-20","267","0","0","2","6","202331","1610612753","203082","13","12","","1610612754"
"29","31","07:43","[IND 13-13] George Free Throw 1 of 3 (3 PTS)","0","-80","1","0","13","3","","1610612754","202331","13","13","","1610612754"
"30","33","07:43","[IND 14-13] George Free Throw 2 of 3 (4 PTS)","0","-80","1","0","14","3","","1610612754","202331","13","14","","1610612754"
"31","35","07:43","[IND 15-13] George Free Throw 3 of 3 (5 PTS)","0","-80","1","0","15","3","","1610612754","202331","13","15","","1610612754"
"32","37","07:29","[IND] Ellis Foul: Shooting (1 PF) (2 FTA) (S Corbin)","-12","43","0","0","2","6","203095","1610612754","101145","13","15","","1610612753"
"33","38","07:29","[ORL 14-15] Fournier Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612753","203095","14","15","","1610612753"
"34","40","07:29","[ORL 15-15] Fournier Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612753","203095","15","15","","1610612753"
"35","42","07:12","[IND 17-15] Turner Jump Shot: Made (7 PTS) Assist: Ellis (2 AST)","71","149","2","0","45","1","","1610612754","1626167","15","17","101145","1610612754"
