"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Holmes vs Maker (McConnell gains possession)","0","-80","0","0","0","10","1627748","1610612755","1626158","0","0","204456","1610612755"
"3","2","11:38","[PHI] McConnell Turnover : Lost Ball (1 TO) Steal:Middleton (1 ST)","0","-80","1","0","2","5","203114","1610612755","204456","0","0","","1610612755"
"4","3","11:31","[MIL] Dellavedova 3pt Shot: Missed","78","232","3","0","1","2","","1610612749","203521","0","0","","1610612749"
"5","4","11:29","[PHI] Saric Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612755","203967","0","0","","1610612749"
"6","5","11:07","[PHI] Luwawu-Cabarrot Step Back Jump shot: Missed","122","31","2","0","80","2","","1610612755","1627789","0","0","","1610612755"
"7","6","11:06","[MIL] Snell Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612749","203503","0","0","","1610612755"
"8","7","10:47","[MIL] Antetokounmpo Driving Layup Shot: Missed","-28","4","2","0","42","2","","1610612749","203507","0","0","","1610612749"
"9","8","10:46","[PHI] Saric Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612755","203967","0","0","","1610612749"
"10","9","10:27","[PHI] Anderson 3pt Shot: Missed","186","193","3","0","1","2","","1610612755","1626147","0","0","","1610612755"
"11","10","10:25","[MIL] Antetokounmpo Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612749","203507","0","0","","1610612755"
"12","11","10:13","[MIL 2-0] Antetokounmpo Dunk Shot: Made (2 PTS) Assist: Dellavedova (1 AST)","0","1","2","0","7","1","","1610612749","203507","0","2","203521","1610612749"
"13","12","09:50","[PHI] Anderson Layup Shot: Missed","9","7","2","0","5","2","","1610612755","1626147","0","2","","1610612755"
"14","13","09:48","[MIL] Middleton Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612749","203114","0","2","","1610612755"
"15","14","09:43","[MIL 4-0] Middleton No Shot: Made (2 PTS)","-60","-11","2","1","0","1","","1610612749","203114","0","4","","1610612749"
"16","15","09:28","[PHI] Luwawu-Cabarrot Layup Shot: Missed Block: Maker (1 BLK)","-29","2","2","0","5","2","1627748","1610612755","1627789","0","4","","1610612755"
"17","16","09:27","[PHI] Team Rebound","0","-80","0","0","0","4","","1610612755","0","0","4","","1610612755"
"18","17","09:19","[PHI 2-4] Saric Driving Layup Shot: Made (2 PTS) Assist: McConnell (1 AST)","9","-6","2","0","42","1","","1610612755","203967","2","4","204456","1610612755"
"19","18","09:06","[MIL] Middleton Jump Shot: Missed","-163","52","2","0","1","2","","1610612749","203114","2","4","","1610612749"
"20","19","09:03","[PHI] McConnell Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612755","204456","2","4","","1610612749"
"21","20","08:56","[PHI 5-4] Saric 3pt Shot: Made (5 PTS) Assist: McConnell (2 AST)","159","200","3","0","1","1","","1610612755","203967","5","4","204456","1610612755"
