"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Pachulia vs Ajinca (Holiday gains possession)","0","-80","0","0","0","10","201582","1610612744","2585","0","0","201950","1610612740"
"3","2","11:42","[NOP] S Hill Jump Shot: Missed","-109","52","2","0","1","2","","1610612740","203524","0","0","","1610612740"
"4","3","11:42","[GSW] Pachulia Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612744","2585","0","0","","1610612740"
"5","4","11:25","[GSW 2-0] Durant Driving Reverse Dunk Shot: Made (2 PTS) Assist: Green (1 AST)","0","1","2","0","109","1","","1610612744","201142","2","0","203110","1610612744"
"6","5","11:13","[NOP] Holiday Floating Jump shot: Missed","-6","80","2","0","78","2","","1610612740","201950","2","0","","1610612740"
"7","6","11:12","[GSW] Pachulia Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612744","2585","2","0","","1610612740"
"8","7","11:05","[GSW] Thompson 3pt Shot: Missed","-207","164","3","1","46","2","","1610612744","202691","2","0","","1610612744"
"9","8","11:05","[GSW] Livingston Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612744","2733","2","0","","1610612744"
"10","9","10:57","[GSW 4-0] Pachulia Cutting Layup Shot: Made (2 PTS) Assist: Durant (1 AST)","12","13","2","0","98","1","","1610612744","2585","4","0","201142","1610612744"
"11","10","10:37","[GSW] Durant Foul: Shooting (1 PF) (2 FTA) (B Forte)","-53","31","0","0","2","6","204025","1610612744","201142","4","0","","1610612740"
"12","11","10:37","[NOP] Frazier Free Throw 1 of 2 Missed","0","-80","2","0","11","3","","1610612740","204025","4","0","","1610612740"
"13","12","10:37","[NOP] Team Rebound","0","-80","0","0","1","4","","1610612740","0","4","0","","1610612740"
"14","13","10:37","[NOP 1-4] Frazier Free Throw 2 of 2 (1 PTS)","0","-80","1","0","12","3","","1610612740","204025","4","1","","1610612740"
