"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Howard vs Frye (Schroder gains possession)","0","-80","0","0","0","10","101112","1610612737","2730","0","0","203471","1610612737"
"3","2","11:38","[ATL] Millsap Pullup Jump shot: Missed","-156","134","2","0","79","2","","1610612737","200794","0","0","","1610612737"
"4","3","11:37","[CLE] James Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612739","2544","0","0","","1610612737"
"5","4","11:22","[CLE 3-0] Irving 3pt Shot: Made (3 PTS) Assist: Love (1 AST)","127","203","3","0","1","1","","1610612739","202681","0","3","201567","1610612739"
"6","5","11:02","[ATL] Prince 3pt Shot: Missed","240","70","3","0","1","2","","1610612737","1627752","0","3","","1610612737"
"7","6","11:01","[CLE] Frye Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612739","101112","0","3","","1610612737"
"8","7","10:51","[CLE] James Driving Layup Shot: Missed Block: Prince (1 BLK)","-4","36","2","0","42","2","1627752","1610612739","2544","0","3","","1610612739"
"9","8","10:49","[CLE] James Rebound (Off:1 Def:1)","0","-80","1","0","0","4","","1610612739","2544","0","3","","1610612739"
"10","9","10:46","[CLE 6-0] Smith 3pt Shot: Made (3 PTS) Assist: Irving (1 AST)","-142","198","3","0","1","1","","1610612739","2747","0","6","202681","1610612739"
"11","10","10:30","[ATL 3-6] Hardaway Jr. 3pt Shot: Made (3 PTS) Assist: Schroder (1 AST)","205","154","3","0","1","1","","1610612737","203501","3","6","203471","1610612737"
"12","11","10:12","[CLE 9-3] Frye 3pt Shot: Made (3 PTS) Assist: James (1 AST)","-228","31","3","0","1","1","","1610612739","101112","3","9","2544","1610612739"
"13","12","09:53","[ATL] Millsap Layup Shot: Missed","9","7","2","0","5","2","","1610612737","200794","3","9","","1610612737"
"14","13","09:52","[CLE] Frye Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612739","101112","3","9","","1610612737"
"15","14","09:46","[CLE] Smith 3pt Shot: Missed","143","213","3","1","46","2","","1610612739","2747","3","9","","1610612739"
"16","15","09:43","[CLE] Frye Rebound (Off:1 Def:2)","0","-80","1","0","0","4","","1610612739","101112","3","9","","1610612739"
"17","16","09:36","[CLE 11-3] Irving Alley Oop Layup shot: Made (5 PTS) Assist: James (2 AST)","22","7","2","0","43","1","","1610612739","202681","3","11","2544","1610612739"
"18","17","09:23","[ATL] Millsap 3pt Shot: Missed","-65","237","3","0","1","2","","1610612737","200794","3","11","","1610612737"
