"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Jokic vs Adams (Oladipo gains possession)","0","-80","0","0","0","10","203500","1610612743","203999","0","0","203506","1610612760"
"3","2","11:37","[OKC 2-0] Oladipo Fadeaway Jump Shot: Made (2 PTS)","-135","41","2","0","63","1","","1610612760","203506","0","2","","1610612760"
"4","3","11:11","[DEN] Harris Floating Jump shot: Missed","-1","115","2","0","78","2","","1610612743","203914","0","2","","1610612743"
"5","4","11:10","[OKC] Westbrook Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612760","201566","0","2","","1610612743"
"6","5","11:04","[OKC 4-0] Westbrook Pullup Jump shot: Made (2 PTS)","133","141","2","1","79","1","","1610612760","201566","0","4","","1610612760"
"7","6","10:51","[OKC] Roberson Foul: Personal (1 PF) (K Mauer)","-25","41","0","0","1","6","201568","1610612760","203460","0","4","","1610612743"
"8","7","10:42","[DEN] Gallinari Layup Shot: Missed","14","21","2","0","5","2","","1610612743","201568","0","4","","1610612743"
"9","8","10:41","[OKC] Oladipo Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612760","203506","0","4","","1610612743"
"10","9","10:36","[OKC] Oladipo Driving Bank shot: Missed","-45","26","2","1","82","2","","1610612760","203506","0","4","","1610612760"
"11","10","10:34","[OKC] Adams Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612760","203500","0","4","","1610612760"
"12","11","10:24","[OKC] Gibson Jump Shot: Missed","22","169","2","0","1","2","","1610612760","201959","0","4","","1610612760"
"13","12","10:23","[DEN] Gallinari Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612743","201568","0","4","","1610612760"
"14","13","10:17","[DEN 3-4] Chandler 3pt Shot: Made (3 PTS) Assist: Harris (1 AST)","235","0","3","1","1","1","","1610612743","201163","3","4","203914","1610612743"
"15","14","09:55","[OKC] Gibson Hook Shot: Missed","-1","41","2","0","3","2","","1610612760","201959","3","4","","1610612760"
