"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Johnson vs Lopez (Lin gains possession)","0","-80","0","0","0","10","201572","1610612738","101161","0","0","202391","1610612751"
"3","2","11:42","[BKN] Lopez Driving Floating Jump Shot: Missed","74","52","2","0","101","2","","1610612751","201572","0","0","","1610612751"
"4","3","11:41","[BOS] Horford Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612738","201143","0","0","","1610612751"
"5","4","11:25","[BOS 3-0] Crowder 3pt Shot: Made (3 PTS) Assist: Horford (1 AST)","-71","244","3","0","1","1","","1610612738","203109","3","0","201143","1610612738"
"6","5","11:07","[BKN 2-3] LeVert Step Back Jump shot: Made (2 PTS) Assist: Lopez (1 AST)","-156","120","2","0","80","1","","1610612751","1627747","3","2","201572","1610612751"
"7","6","10:52","[BOS] Thomas Turnover : Bad Pass (1 TO) Steal:Foye (1 ST)","0","-80","1","0","1","5","200751","1610612738","202738","3","2","","1610612738"
"8","7","10:41","[BKN] Lopez 3pt Shot: Missed","-14","252","3","0","1","2","","1610612751","201572","3","2","","1610612751"
"9","8","10:40","[BOS] Horford Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612738","201143","3","2","","1610612751"
"10","9","10:26","[BOS] Horford Jump Shot: Missed","-133","65","2","0","1","2","","1610612738","201143","3","2","","1610612738"
"11","10","10:25","[BKN] Lin Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612751","202391","3","2","","1610612738"
"12","11","10:16","[BKN] Lopez Hook Shot: Missed","-47","70","2","0","3","2","","1610612751","201572","3","2","","1610612751"
"13","12","10:15","[BOS] Johnson Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612738","101161","3","2","","1610612751"
"14","13","10:07","[BOS] Thomas 3pt Shot: Missed","48","257","3","0","79","2","","1610612738","202738","3","2","","1610612738"
"15","14","10:06","[BKN] Lin Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612751","202391","3","2","","1610612738"
"16","15","09:41","[BKN] Lopez Jump Shot: Missed","115","149","2","0","1","2","","1610612751","201572","3","2","","1610612751"
"17","16","09:40","[BOS] Bradley Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612738","202340","3","2","","1610612751"
"18","17","09:27","[BOS 5-2] Thomas Cutting Layup Shot: Made (2 PTS) Assist: Horford (2 AST)","10","7","2","0","98","1","","1610612738","202738","5","2","201143","1610612738"
"19","18","09:12","[BKN] LeVert Pullup Jump shot: Missed","-78","56","2","0","79","2","","1610612751","1627747","5","2","","1610612751"
"20","19","09:11","[BOS] Crowder Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612738","203109","5","2","","1610612751"
"21","20","09:03","[BOS 7-2] Bradley Driving Finger Roll Layup Shot: Made (2 PTS) Assist: Crowder (1 AST)","12","11","2","0","75","1","","1610612738","202340","7","2","203109","1610612738"
"22","21","08:55","[BOS] Bradley Foul: Shooting (1 PF) (2 FTA) (S Twardoski)","-48","31","0","0","2","6","202391","1610612738","202340","7","2","","1610612751"
"23","22","08:55","[BKN 3-7] Lin Free Throw 1 of 2 (1 PTS)","0","-80","1","0","11","3","","1610612751","202391","7","3","","1610612751"
"24","24","08:55","[BKN 4-7] Lin Free Throw 2 of 2 (2 PTS)","0","-80","1","0","12","3","","1610612751","202391","7","4","","1610612751"
"25","26","08:44","[BOS] Thomas 3pt Shot: Missed","217","129","3","0","1","2","","1610612738","202738","7","4","","1610612738"
"26","27","08:43","[BKN] LeVert Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612751","1627747","7","4","","1610612738"
"27","28","08:31","[BKN 7-7] Hollis-Jefferson 3pt Shot: Made (3 PTS) Assist: LeVert (1 AST)","-219","120","3","0","1","1","","1610612751","1626178","7","7","1627747","1610612751"
"28","29","08:20","[BKN] Hollis-Jefferson Foul: Personal (1 PF) (T Brown)","159","51","0","0","1","6","201143","1610612751","1626178","7","7","","1610612738"
"29","30","08:13","[BOS 9-7] Johnson Cutting Dunk Shot: Made (2 PTS) Assist: Horford (3 AST)","0","1","2","0","108","1","","1610612738","101161","9","7","201143","1610612738"
"30","31","07:49","[BKN] Hollis-Jefferson Step Back Jump shot: Missed","-174","46","2","0","80","2","","1610612751","1626178","9","7","","1610612751"
"31","32","07:48","[BOS] Crowder Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612738","203109","9","7","","1610612751"
"32","33","07:40","[BOS 11-7] Horford Turnaround Bank Hook Shot: Made (2 PTS) Assist: Crowder (2 AST)","91","28","2","0","96","1","","1610612738","201143","11","7","203109","1610612738"
"33","34","07:27","[BKN] Lopez 3pt Shot: Missed","138","213","3","0","1","2","","1610612751","201572","11","7","","1610612751"
"34","35","07:26","[BOS] Bradley Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612738","202340","11","7","","1610612751"
"35","36","07:16","[BOS] Thomas Turnover : Step Out of Bounds Turnover (2 TO)","0","-80","0","0","39","5","","1610612738","202738","11","7","","1610612738"
"36","37","06:57","[BKN] Hollis-Jefferson Fadeaway Jump Shot: Missed","114","16","2","0","63","2","","1610612751","1626178","11","7","","1610612751"
"37","38","06:56","[BOS] Johnson Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612738","101161","11","7","","1610612751"
"38","39","06:46","[BOS 13-7] Thomas Driving Finger Roll Layup Shot: Made (4 PTS)","-7","3","2","0","75","1","","1610612738","202738","13","7","","1610612738"
"39","40","06:46","[BKN] Team Timeout : Regular","0","-80","0","0","1","9","","1610612751","0","13","7","","1610612751"
"40","42","06:33","[BOS] Bradley Foul: Personal (2 PF) (T Brown)","-173","111","0","0","1","6","202391","1610612738","202340","13","7","","1610612751"
"41","43","06:25","[BKN 9-13] Lin Pullup Jump shot: Made (4 PTS)","2","139","2","0","79","1","","1610612751","202391","13","9","","1610612751"
"42","44","05:59","[BOS] Horford Step Back Jump shot: Missed","171","31","2","0","80","2","","1610612738","201143","13","9","","1610612738"
"43","45","05:58","[BKN] LeVert Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612751","1627747","13","9","","1610612738"
"44","46","05:43","[BKN] Lin 3pt Shot: Missed","17","252","3","0","79","2","","1610612751","202391","13","9","","1610612751"
"45","47","05:42","[BOS] Horford Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612738","201143","13","9","","1610612751"
"46","48","05:31","[BOS] Horford 3pt Shot: Missed","-38","247","3","0","1","2","","1610612738","201143","13","9","","1610612738"
"47","49","05:30","[BKN] LeVert Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612751","1627747","13","9","","1610612738"
"48","50","05:24","[BKN] LeVert Turnover : Bad Pass (1 TO) Steal:Horford (1 ST)","0","-80","1","0","1","5","201143","1610612751","1627747","13","9","","1610612751"
"49","51","05:18","[BOS] Bradley 3pt Shot: Missed","173","188","3","1","1","2","","1610612738","202340","13","9","","1610612738"
"50","52","05:17","[BOS] Horford Rebound (Off:1 Def:3)","0","-80","1","0","0","4","","1610612738","201143","13","9","","1610612738"
"51","53","05:09","[BOS] Crowder Jump Shot: Missed","74","159","2","0","1","2","","1610612738","203109","13","9","","1610612738"
"52","55","05:08","[BOS] Bradley Rebound (Off:1 Def:2)","0","-80","1","0","0","4","","1610612738","202340","13","9","","1610612738"
"53","54","05:08","[BOS 15-9] Bradley Tip Layup Shot: Made (4 PTS)","8","19","2","0","97","1","","1610612738","202340","15","9","","1610612738"
"54","56","04:55","[BKN] LeVert 3pt Shot: Missed","-147","213","3","0","1","2","","1610612751","1627747","15","9","","1610612751"
"55","57","04:54","[BOS] Crowder Rebound (Off:0 Def:3)","0","-80","0","0","0","4","","1610612738","203109","15","9","","1610612751"
"56","58","04:45","[BOS] Thomas Turnover : Out of Bounds - Bad Pass Turnover (3 TO)","0","-80","0","0","45","5","","1610612738","202738","15","9","","1610612738"
"57","59","04:45","[BKN] Foye Substitution replaced by Dinwiddie","0","-80","0","0","0","8","","1610612751","200751","15","9","203915","1610612751"
"58","60","04:45","[BKN] LeVert Substitution replaced by Whitehead","0","-80","0","0","0","8","","1610612751","1627747","15","9","1627785","1610612751"
"59","61","04:45","[BOS] Crowder Substitution replaced by Smart","0","-80","0","0","0","8","","1610612738","203109","15","9","203935","1610612751"
"60","62","04:45","[BOS] Johnson Substitution replaced by Olynyk","0","-80","0","0","0","8","","1610612738","101161","15","9","203482","1610612751"
"61","63","04:37","[BKN] Lin Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","0","-80","0","0","45","5","","1610612751","202391","15","9","","1610612751"
"62","64","04:22","[BOS 18-9] Bradley 3pt Shot: Made (7 PTS) Assist: Olynyk (1 AST)","130","218","3","0","1","1","","1610612738","202340","18","9","203482","1610612738"
"63","65","04:10","[BKN] Hollis-Jefferson Jump Shot: Missed","30","62","2","0","1","2","","1610612751","1626178","18","9","","1610612751"
"64","66","04:08","[BKN] Lin Rebound (Off:1 Def:2)","0","-80","1","0","0","4","","1610612751","202391","18","9","","1610612751"
"65","67","03:58","[BOS] Olynyk Foul: Shooting (1 PF) (2 FTA) (T Brown)","1","13","0","0","2","6","202391","1610612738","203482","18","9","","1610612751"
"66","68","03:58","[BKN 10-18] Lin Free Throw 1 of 2 (5 PTS)","0","-80","1","0","11","3","","1610612751","202391","18","10","","1610612751"
"67","70","03:58","[BOS] Bradley Substitution replaced by Brown","0","-80","0","0","0","8","","1610612738","202340","18","10","1627759","1610612751"
"68","71","03:58","[BKN] Hollis-Jefferson Substitution replaced by Hamilton","0","-80","0","0","0","8","","1610612751","1626178","18","10","203120","1610612751"
"69","72","03:58","[BKN 11-18] Lin Free Throw 2 of 2 (6 PTS)","0","-80","1","0","12","3","","1610612751","202391","18","11","","1610612751"
"70","74","03:46","[BOS] Thomas 3pt Shot: Missed","155","208","3","0","79","2","","1610612738","202738","18","11","","1610612738"
"71","75","03:45","[BKN] Hamilton Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612751","203120","18","11","","1610612738"
"72","76","03:29","[BKN] Lin Turnaround Fadeaway shot: Missed","-79","26","2","0","86","2","","1610612751","202391","18","11","","1610612751"
"73","77","03:28","[BOS] Olynyk Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612738","203482","18","11","","1610612751"
"74","78","03:20","[BOS] Brown Turnover : Bad Pass (1 TO) Steal:Whitehead (1 ST)","0","-80","1","0","1","5","1627785","1610612738","1627759","18","11","","1610612738"
"75","79","03:17","[BKN] Dinwiddie Running Layup Shot: Missed","-11","11","2","1","41","2","","1610612751","203915","18","11","","1610612751"
"76","80","03:16","[BKN] Team Rebound","0","-80","0","0","0","4","","1610612751","0","18","11","","1610612751"
"77","81","03:16","[BKN] Lopez Substitution replaced by Goodwin","0","-80","0","0","0","8","","1610612751","201572","18","11","203462","1610612751"
"78","82","03:16","[BKN] Lin Substitution replaced by Nicholson","0","-80","0","0","0","8","","1610612751","202391","18","11","203094","1610612751"
"79","83","03:16","[BOS] Horford Substitution replaced by Jerebko","0","-80","0","0","0","8","","1610612738","201143","18","11","201973","1610612751"
"80","84","03:13","[BKN] Nicholson 3pt Shot: Missed","161","198","3","0","1","2","","1610612751","203094","18","11","","1610612751"
"81","85","03:12","[BOS] Jerebko Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612738","201973","18","11","","1610612751"
"82","86","03:01","[BKN] Nicholson Foul: Shooting (1 PF) (2 FTA) (T Brown)","-71","51","0","0","2","6","203482","1610612751","203094","18","11","","1610612738"
