"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Holmes vs Turner (Teague gains possession)","0","-80","0","0","0","10","1626167","1610612755","1626158","0","0","201952","1610612754"
"3","2","11:46","[IND] Teague Turnover : Bad Pass (1 TO) Steal:McConnell (1 ST)","0","-80","1","0","1","5","204456","1610612754","201952","0","0","","1610612754"
"4","3","11:37","[PHI] Anderson 3pt Shot: Missed","-248","-11","3","0","1","2","","1610612755","1626147","0","0","","1610612755"
"5","4","11:36","[IND] Ellis Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612754","101145","0","0","","1610612755"
"6","5","11:27","[IND] Turner Jump Shot: Missed Block: Saric (1 BLK)","-55","-16","2","0","1","2","203967","1610612754","1626167","0","0","","1610612754"
"7","6","11:25","[IND] Turner Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612754","1626167","0","0","","1610612754"
"8","7","11:22","[IND 2-0] Turner Layup Shot: Made (2 PTS)","-14","2","2","0","5","1","","1610612754","1626167","0","2","","1610612754"
"9","8","11:12","[PHI] McConnell Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","0","-80","0","0","45","5","","1610612755","204456","0","2","","1610612755"
"10","9","11:07","[IND] Turner Turnover : Traveling (1 TO)","0","-80","0","0","4","5","","1610612754","1626167","0","2","","1610612754"
"11","10","10:48","[PHI 2-2] Luwawu-Cabarrot Cutting Layup Shot: Made (2 PTS) Assist: Saric (1 AST)","10","-6","2","0","98","1","","1610612755","1627789","2","2","203967","1610612755"
"12","11","10:32","[IND 4-2] Ellis Pullup Jump shot: Made (2 PTS) Assist: George (1 AST)","-137","120","2","0","79","1","","1610612754","101145","2","4","202331","1610612754"
