"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Leonard vs Dedmon (Vonleh gains possession)","0","-80","0","0","0","10","203473","1610612757","203086","0","0","203943","1610612757"
"3","2","11:32","[POR 3-0] Napier 3pt Shot: Made (3 PTS) Assist: Connaughton (1 AST)","156","198","3","0","1","1","","1610612757","203894","3","0","1626192","1610612757"
"4","3","11:14","[SAS 2-3] Aldridge Jump Shot: Made (2 PTS) Assist: Parker (1 AST)","202","0","2","0","1","1","","1610612759","200746","3","2","2225","1610612759"
"5","4","10:53","[POR] Napier Turnover : Out of Bounds - Bad Pass Turnover (1 TO)","0","-80","0","0","45","5","","1610612757","203894","3","2","","1610612757"
"6","5","10:38","[SAS 4-3] Aldridge Jump Shot: Made (4 PTS) Assist: Parker (2 AST)","-140","159","2","0","1","1","","1610612759","200746","3","4","2225","1610612759"
"7","6","10:19","[POR 5-4] Leonard Jump Shot: Made (2 PTS) Assist: Turner (1 AST)","-7","195","2","0","1","1","","1610612757","203086","5","4","202323","1610612757"
"8","7","10:05","[SAS] Aldridge Pullup Jump shot: Missed","-16","198","2","0","79","2","","1610612759","200746","5","4","","1610612759"
"9","8","10:03","[POR] Napier Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612757","203894","5","4","","1610612759"
"10","9","09:52","[POR 8-4] Napier 3pt Shot: Made (6 PTS)","-81","242","3","0","79","1","","1610612757","203894","8","4","","1610612757"
"11","10","09:31","[SAS 6-8] Leonard Jump Shot: Made (2 PTS)","-197","11","2","0","1","1","","1610612759","202695","8","6","","1610612759"
"12","11","09:03","[POR 11-6] Leonard 3pt Shot: Made (5 PTS) Assist: Turner (2 AST)","151","188","3","0","1","1","","1610612757","203086","11","6","202323","1610612757"
"13","12","08:42","[SAS] Leonard Turnover : Lost Ball (1 TO) Steal:Turner (1 ST)","0","-80","1","0","2","5","202323","1610612759","202695","11","6","","1610612759"
"14","13","08:39","[POR 13-6] Connaughton Running Dunk Shot: Made (2 PTS) Assist: Turner (3 AST)","0","1","2","1","50","1","","1610612757","1626192","13","6","202323","1610612757"
"15","14","08:22","[SAS 8-13] Green Turnaround Jump Shot: Made (2 PTS) Assist: Parker (3 AST)","-94","159","2","0","47","1","","1610612759","201980","13","8","2225","1610612759"
"16","15","07:59","[POR] Turner Jump Shot: Missed Block: Aldridge (1 BLK)","-73","11","2","0","1","2","200746","1610612757","202323","13","8","","1610612757"
"17","16","07:57","[POR] Turner Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612757","202323","13","8","","1610612757"
"18","17","07:54","[POR] Turner 3pt Shot: Missed","-233","33","3","0","1","2","","1610612757","202323","13","8","","1610612757"
"19","18","07:54","[POR] Vonleh Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612757","203943","13","8","","1610612757"
"20","19","07:49","[POR 16-8] Connaughton 3pt Shot: Made (5 PTS) Assist: Vonleh (1 AST)","168","203","3","0","1","1","","1610612757","1626192","16","8","203943","1610612757"
"21","20","07:34","[POR] Napier Foul: Shooting (1 PF) (2 FTA) (E Lewis)","-1","28","0","0","2","6","203473","1610612757","203894","16","8","","1610612759"
