"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Drummond vs Gortat (Jennings gains possession)","0","-80","0","0","0","10","101162","1610612765","203083","0","0","201943","1610612764"
"3","2","11:41","[WAS] Gortat Jump Shot: Missed","-65","13","2","0","1","2","","1610612764","101162","0","0","","1610612764"
"4","3","11:40","[DET] Ellenson Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612765","1627740","0","0","","1610612764"
"5","4","11:29","[DET 2-0] Smith Driving Reverse Layup Shot: Made (2 PTS)","-4","-1","2","0","73","1","","1610612765","202397","2","0","","1610612765"
"6","5","11:05","[WAS 2-2] Mark Morris Step Back Jump shot: Made (2 PTS)","153","51","2","0","80","1","","1610612764","202693","2","2","","1610612764"
"7","6","10:48","[DET] Smith Turnover : Lost Ball (1 TO) Steal:Jennings (1 ST)","0","-80","1","0","2","5","201943","1610612765","202397","2","2","","1610612765"
"8","7","10:42","[WAS 4-2] Jennings Driving Layup Shot: Made (2 PTS)","-4","-5","2","1","42","1","","1610612764","201943","2","4","","1610612764"
"9","8","10:20","[DET] Marc Morris Pullup Jump shot: Missed","146","11","2","0","79","2","","1610612765","202694","2","4","","1610612765"
"10","9","10:20","[WAS] Oubre Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612764","1626162","2","4","","1610612765"
"11","10","10:14","[DET] Drummond Foul: Personal (1 PF) (K Scott)","78","18","0","1","1","6","101162","1610612765","203083","2","4","","1610612764"
"12","11","09:59","[WAS 6-2] Gortat Hook Shot: Made (2 PTS)","-66","3","2","0","3","1","","1610612764","101162","2","6","","1610612764"
"13","12","09:39","[DET 4-6] Marc Morris Pullup Jump shot: Made (2 PTS)","-104","126","2","0","79","1","","1610612765","202694","4","6","","1610612765"
"14","13","09:23","[WAS] Mark Morris Jump Shot: Missed","73","61","2","0","1","2","","1610612764","202693","4","6","","1610612764"
