"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Noel vs Plumlee (Harris gains possession)","0","-80","0","0","0","10","203486","1610612742","203457","0","0","203914","1610612743"
"3","2","11:45","[DEN] Plumlee Turnover : Lost Ball (1 TO) Steal:Barea (1 ST)","0","-80","1","0","2","5","200826","1610612743","203486","0","0","","1610612743"
"4","3","11:26","[DAL 2-0] Noel Running Reverse Layup Shot: Made (2 PTS) Assist: Barea (1 AST)","-1","-1","2","0","74","1","","1610612742","203457","2","0","200826","1610612742"
"5","4","11:09","[DEN] Plumlee Driving Hook Shot: Missed","-17","38","2","0","57","2","","1610612743","203486","2","0","","1610612743"
"6","5","11:08","[DAL] Noel Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612742","203457","2","0","","1610612743"
"7","6","10:53","[DAL] Nowitzki Jump Shot: Missed","-168","70","2","0","1","2","","1610612742","1717","2","0","","1610612742"
"8","7","10:52","[DEN] Plumlee Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612743","203486","2","0","","1610612742"
"9","8","10:42","[DEN] Jokic Driving Floating Jump Shot: Missed Block: Nowitzki (1 BLK)","37","16","2","0","101","2","1717","1610612743","203999","2","0","","1610612743"
"10","9","10:40","[DAL] Nowitzki Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612742","1717","2","0","","1610612743"
"11","10","10:30","[DAL] Nowitzki 3pt Shot: Missed","-133","203","3","0","1","2","","1610612742","1717","2","0","","1610612742"
"12","11","10:29","[DEN] Jokic Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612743","203999","2","0","","1610612742"
"13","12","10:21","[DEN 3-2] Chandler 3pt Shot: Made (3 PTS) Assist: Murray (1 AST)","-81","232","3","0","1","1","","1610612743","201163","2","3","1627750","1610612743"
"14","13","10:05","[DAL] Finney-Smith 3pt Shot: Missed","145","193","3","0","1","2","","1610612742","1627827","2","3","","1610612742"
"15","14","10:04","[DEN] Jokic Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612743","203999","2","3","","1610612742"
"16","15","09:53","[DEN 5-2] Murray Floating Jump shot: Made (2 PTS) Assist: Jokic (1 AST)","12","203","2","0","78","1","","1610612743","1627750","2","5","203999","1610612743"
