"","evt","cl","de","locX","locY","opt1","opt2","mtype","etype","opid","tid","pid","hs","vs","epid","oftid"
"1","0","12:00","Start Period","0","-80","0","0","0","12","","0","0","0","0","","0"
"2","1","12:00","Jump Ball Turner vs Humphries (Ilyasova gains possession)","0","-80","0","0","0","10","2743","1610612754","1626167","0","0","101141","1610612737"
"3","2","11:39","[IND] George Foul: Personal (1 PF) (C Kirkland)","-76","7","0","0","1","6","2743","1610612754","202331","0","0","","1610612737"
"4","3","11:31","[ATL] Prince Floating Jump shot: Missed","146","23","2","0","78","2","","1610612737","1627752","0","0","","1610612737"
"5","4","11:31","[IND] Young Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612754","201152","0","0","","1610612737"
"6","5","11:17","[ATL] Bembry Foul: Shooting (1 PF) (3 FTA) (S Foster)","132","223","0","0","2","6","201952","1610612737","1627761","0","0","","1610612754"
"7","6","11:17","[IND] Teague Free Throw 1 of 3 Missed","0","-80","2","0","13","3","","1610612754","201952","0","0","","1610612754"
"8","7","11:17","[IND] Team Rebound","0","-80","0","0","1","4","","1610612754","0","0","0","","1610612754"
"9","8","11:17","[IND] Teague Free Throw 2 of 3 Missed","0","-80","2","0","14","3","","1610612754","201952","0","0","","1610612754"
"10","9","11:17","[IND] Team Rebound","0","-80","0","0","1","4","","1610612754","0","0","0","","1610612754"
"11","10","11:17","[IND 1-0] Teague Free Throw 3 of 3 (1 PTS)","0","-80","1","0","15","3","","1610612754","201952","1","0","","1610612754"
"12","12","11:01","[ATL 2-1] Ilyasova Cutting Layup Shot: Made (2 PTS) Assist: Calderon (1 AST)","-6","7","2","0","98","1","","1610612737","101141","1","2","101181","1610612737"
"13","13","10:45","[IND] Turner 3pt Shot: Missed","204","175","3","0","1","2","","1610612754","1626167","1","2","","1610612754"
"14","14","10:43","[ATL] Team Rebound","0","-80","0","0","0","4","","1610612737","0","1","2","","1610612754"
"15","15","10:25","[ATL] Ilyasova Cutting Layup Shot: Missed","10","2","2","0","98","2","","1610612737","101141","1","2","","1610612737"
"16","16","10:24","[ATL] Humphries Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612737","2743","1","2","","1610612737"
"17","17","10:19","[ATL] Prince Floating Jump shot: Missed","-22","65","2","0","78","2","","1610612737","1627752","1","2","","1610612737"
"18","18","10:18","[IND] Turner Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612754","1626167","1","2","","1610612737"
"19","19","10:08","[IND] Young Turnover : Lost Ball (1 TO) Steal:Prince (1 ST)","0","-80","1","0","2","5","1627752","1610612754","201152","1","2","","1610612754"
"20","20","09:58","[ATL] Ilyasova 3pt Shot: Missed","-220","134","3","0","1","2","","1610612737","101141","1","2","","1610612737"
"21","21","09:57","[ATL] Bembry Rebound (Off:1 Def:0)","0","-80","1","0","0","4","","1610612737","1627761","1","2","","1610612737"
"22","22","09:54","[ATL] Bembry Turnover : Discontinue Dribble (1 TO)","0","-80","0","0","7","5","","1610612737","1627761","1","2","","1610612737"
"23","23","09:41","[IND] Turner Jump Shot: Missed","66","174","2","0","1","2","","1610612754","1626167","1","2","","1610612754"
"24","24","09:40","[ATL] Bembry Rebound (Off:1 Def:1)","0","-80","0","0","0","4","","1610612737","1627761","1","2","","1610612754"
"25","26","09:26","[ATL 4-1] Humphries Jump Shot: Made (2 PTS) Assist: Bembry (1 AST)","-169","105","2","0","1","1","","1610612737","2743","1","4","1627761","1610612737"
"26","27","09:10","[IND] Ellis Running Jump Shot: Missed","-89","-1","2","0","46","2","","1610612754","101145","1","4","","1610612754"
"27","28","09:09","[ATL] Ilyasova Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612737","101141","1","4","","1610612754"
"28","29","08:59","[ATL 7-1] Bembry 3pt Shot: Made (3 PTS) Assist: Prince (1 AST)","-230","3","3","0","1","1","","1610612737","1627761","1","7","1627752","1610612737"
"29","30","08:46","[IND 4-7] George 3pt Shot: Made (3 PTS) Assist: Teague (1 AST)","192","198","3","0","1","1","","1610612754","202331","4","7","201952","1610612754"
"30","31","08:21","[ATL] Humphries 3pt Shot: Missed","-201","193","3","0","1","2","","1610612737","2743","4","7","","1610612737"
"31","32","08:20","[IND] Turner Rebound (Off:0 Def:2)","0","-80","0","0","0","4","","1610612754","1626167","4","7","","1610612737"
"32","33","08:12","[ATL] Prince Foul: Personal (1 PF) (E Dalen)","35","26","0","0","1","6","1626167","1610612737","1627752","4","7","","1610612754"
"33","34","08:06","[IND] George 3pt Shot: Missed","137","219","3","0","1","2","","1610612754","202331","4","7","","1610612754"
"34","35","08:05","[ATL] Calderon Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612737","101181","4","7","","1610612754"
"35","36","07:55","[ATL] Calderon Turnover : Bad Pass (1 TO) Steal:Ellis (1 ST)","0","-80","1","0","1","5","101145","1610612737","101181","4","7","","1610612737"
"36","37","07:50","[ATL] Bembry Foul: Shooting (2 PF) (2 FTA) (C Kirkland)","-30","21","0","1","2","6","201152","1610612737","1627761","4","7","","1610612754"
"37","38","07:50","[IND 5-7] Young Free Throw 1 of 2 (1 PTS)","0","-80","1","1","11","3","","1610612754","201152","5","7","","1610612754"
"38","40","07:50","[ATL] Bembry Substitution replaced by Sefolosha","0","-80","0","0","0","8","","1610612737","1627761","5","7","200757","1610612754"
"39","41","07:50","[IND] Young Free Throw 2 of 2 Missed","0","-80","2","1","12","3","","1610612754","201152","5","7","","1610612754"
"40","43","07:50","[ATL] Humphries Rebound (Off:1 Def:1)","0","-80","0","0","0","4","","1610612737","2743","5","7","","1610612754"
"41","44","07:32","[ATL 10-5] Calderon 3pt Shot: Made (3 PTS) Assist: Ilyasova (1 AST)","-174","188","3","0","1","1","","1610612737","101181","5","10","101141","1610612737"
"42","45","07:18","[IND] Ellis 3pt Shot: Missed","-238","8","3","0","1","2","","1610612754","101145","5","10","","1610612754"
"43","46","07:17","[ATL] Humphries Rebound (Off:1 Def:2)","0","-80","0","0","0","4","","1610612737","2743","5","10","","1610612754"
"44","47","07:06","[ATL] Sefolosha Turnover : Step Out of Bounds Turnover (1 TO)","0","-80","0","0","39","5","","1610612737","200757","5","10","","1610612737"
"45","48","07:06","[ATL] Ilyasova Substitution replaced by Kelly","0","-80","0","0","0","8","","1610612737","101141","5","10","203527","1610612754"
"46","49","06:51","[IND 7-10] Turner Dunk Shot: Made (2 PTS) Assist: George (1 AST)","24","-5","2","0","7","1","","1610612754","1626167","7","10","202331","1610612754"
"47","50","06:25","[ATL] Team Turnover : Shot Clock Turnover","0","-80","0","0","11","5","","1610612737","0","7","10","","1610612737"
"48","51","06:08","[IND] Ellis Driving Layup Shot: Missed Block: Humphries (1 BLK)","-6","2","2","0","42","2","2743","1610612754","101145","7","10","","1610612754"
"49","52","06:07","[IND] Turner Rebound (Off:1 Def:2)","0","-80","1","0","0","4","","1610612754","1626167","7","10","","1610612754"
"50","53","06:05","[IND 9-10] Turner Reverse Layup Shot: Made (4 PTS)","4","8","2","0","44","1","","1610612754","1626167","9","10","","1610612754"
"51","54","06:01","[ATL] Team Timeout : Regular","0","-80","0","0","1","9","","1610612737","0","9","10","","1610612737"
"52","56","05:44","[ATL] Kelly Turnaround Hook Shot: Missed","-71","36","2","0","58","2","","1610612737","203527","9","10","","1610612737"
"53","57","05:43","[IND] George Rebound (Off:0 Def:1)","0","-80","0","0","0","4","","1610612754","202331","9","10","","1610612737"
"54","58","05:37","[ATL] Prince Foul: Personal (2 PF) (E Dalen)","82","80","0","0","1","6","202331","1610612737","1627752","9","10","","1610612754"
"55","59","05:37","[ATL] Prince Substitution replaced by Delaney","0","-80","0","0","0","8","","1610612737","1627752","9","10","1627098","1610612754"
"56","60","05:37","[IND] George Turnover : Backcourt Turnover (1 TO)","0","-80","0","0","13","5","","1610612754","202331","9","10","","1610612754"
"57","61","05:29","[IND] Turner Violation:Kicked Ball","0","-80","0","0","5","7","","1610612754","1626167","9","10","","1610612737"
"58","62","05:21","[ATL] Kelly Turnover : Lost Ball (1 TO) Steal:Young (1 ST)","0","-80","1","0","2","5","201152","1610612737","203527","9","10","","1610612737"
"59","63","05:13","[IND 12-10] George 3pt Shot: Made (6 PTS) Assist: Teague (2 AST)","207","154","3","0","1","1","","1610612754","202331","12","10","201952","1610612754"
"60","64","05:00","[ATL] Calderon 3pt Shot: Missed","91","249","3","0","1","2","","1610612737","101181","12","10","","1610612737"
"61","65","04:59","[IND] Turner Rebound (Off:1 Def:3)","0","-80","0","0","0","4","","1610612754","1626167","12","10","","1610612737"
"62","66","04:52","[IND] Young Turnover : Bad Pass (2 TO) Steal:Delaney (1 ST)","0","-80","1","0","1","5","1627098","1610612754","201152","12","10","","1610612754"
"63","67","04:45","[ATL] Humphries Cutting Layup Shot: Missed Block: Turner (1 BLK)","2","21","2","0","98","2","1626167","1610612737","2743","12","10","","1610612737"
